q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
210,623,3396,bad347e4a727f687,305,3091,21211,35d84ea2e11d3e84,1,293,0,cbf29ce484222325
210,624,3719,515ec76e13182fe6,356,3363,6042,bd0ef51e3e64d498,2,245,0,cbf29ce484222325
210,625,3644,593aa134abd49ed0,346,3298,5599,18c64760b263827c,1,242,0,cbf29ce484222325
220,595,3837,1acdedea0de3e2b0,412,3425,192,c9334d5549099d97,7,187,0,cbf29ce484222325
220,602,3846,f88da46eff4162e,416,3430,99,e165e2d40e30c2a7,7,189,0,cbf29ce484222325
220,606,3860,beaded53fb27916b,419,3441,10,89533f095a4ea7d7,15,185,0,cbf29ce484222325
220,608,3869,f4a569cad1f6e41,420,3449,4,2142615677c32211,16,185,0,cbf29ce484222325
220,612,3847,4494e5f4361c9f30,419,3428,21,5aca88972f7ebe5a,7,183,0,cbf29ce484222325
220,616,3555,86e48a37565b68aa,378,3177,1340,10b0e72b2f87473,2,282,0,cbf29ce484222325
220,617,3861,755d4f5f14b90e42,415,3446,114,a103fcfcb5148b51,7,137,0,cbf29ce484222325
220,618,3838,1726df9323aaef1f,416,3422,60,31e3d0e86ff6c817,7,182,0,cbf29ce484222325
220,619,3573,db6b8c4d7a8ee85a,390,3183,746,5f6339b9a0342abb,1,194,0,cbf29ce484222325
220,620,3794,f4bd322c8ff7c886,414,3380,84,6a30d9b3325011a7,7,183,0,cbf29ce484222325
220,621,3871,296f76c5c42095d8,419,3452,19,676ee0581e6ad90e,6,74,0,cbf29ce484222325
220,622,3865,7482a2d571e48a96,420,3445,4,2142615677c32211,16,187,0,cbf29ce484222325
220,625,3859,637879028d085e,418,3441,36,303b92670ed218a6,7,133,0,cbf29ce484222325
220,626,3809,e582bdcbd3057fc4,414,3395,73,a51718105e2bdd17,7,181,0,cbf29ce484222325
220,628,3792,da96368248191d15,415,3377,78,28ee33ee99995456,3,133,0,cbf29ce484222325
220,630,3789,d4794e233060c74,408,3381,156,be30b987879f7171,5,180,0,cbf29ce484222325
244,595,3862,52e1f85bf2db1250,417,3445,50,23e7a1d8fcb8359,3,127,0,cbf29ce484222325
248,612,3884,2af5713170db7cf8,418,3466,18,7e92b52d054a4f52,7,133,0,cbf29ce484222325
248,622,3885,7cdfe254713da2de,419,3466,11,15ac50c04903d072,10,111,0,cbf29ce484222325
250,626,3850,4b06448b9fd20d50,412,3438,95,5672e281219ef7fa,3,126,0,cbf29ce484222325
256,595,3218,b32b82a37726d5ed,366,2852,1864,3425aa4b01988aa,1,222,1,4c5eb0a3dc7b826
256,596,3430,455cde35c9cf75d3,409,3021,139,83b1681e2c17e816,5,128,0,cbf29ce484222325
256,597,3558,32c54eaddc163fee,409,3149,102,d4167547e99a299a,3,141,0,cbf29ce484222325
256,599,3668,4783605140b7f01d,412,3256,99,9140eee77da9af53,3,148,0,cbf29ce484222325
256,600,3740,3902f4e5f14f08cb,417,3323,41,4652ca7a677f0cf8,4,74,0,cbf29ce484222325
