q,r,grid,cells,pair_ticks,failure_patterns,min_mask,min_mass,min_margin
248,588,3958331593376160,8789,2908161986970240,2478,11640c40,252011910509164,43423988572692
254,512,74132071868574720,8661,54464518932723900,2446,200a3405,4750650603019756,2762700515945748
256,268,19554522894466560,8181,14366867450415480,2359,22088c42,1268156388731506,1675760912218638
256,283,82595969837821440,8209,60682962751300890,2391,10241207,5275375845205622,1964798896668426
256,303,29477713617031680,8249,21657033673875600,2377,01884c44,1877608207375870,378462596553090
256,307,89600575053749760,8257,65828924116685730,2382,04871108,5699157649096024,644631678050472
256,348,291858550663680,8341,214423481071800,2404,04871108,18582991792432,3294280268496
256,362,52826397670126080,8365,38810998273467420,2394,10241207,3434457356153720,5065222757180040
256,365,21305674198448640,8365,15653162350767942,2398,31202206,1386746641652594,2142341630318862
256,377,291858550663680,8397,214426505136690,2425,2888044c,18534370828200,231159521880
256,391,6712746665264640,8393,4931809770617730,2407,30249140,431747861106406,349128588645018
256,393,38233470136942080,8425,28089919693926090,2414,02289121,2428901998665396,86945368151628
256,429,291858550663680,8501,214426256404080,2453,10241207,18629098817842,6199022869326
256,450,1459292753318400,8485,1072138621814260,2394,18c0c140,93111414686240,28848111959520
256,452,32980016224995840,8541,24230122934897880,2434,04871108,2098746445967480,300961195967880
256,461,134546791855956480,8565,98850634420347810,2437,04871108,8654231646746870,7029426321226890
256,464,291858550663680,8541,214490874517920,2413,30249140,18841473419314,19578622762062
256,477,15468503185175040,8593,11364622340621550,2414,31202206,983550672698160,89679639283920
256,511,21305674198448640,8667,15653148390696960,2444,04871108,1353280571181712,33979190653296
256,524,38233470136942080,8685,28089431091441720,2453,1042d088,2443495988011028,1006366696926444
256,536,19554522894466560,8701,14364913040478000,2424,20a09640,1245993382666482,279491530122126
256,565,32980016224995840,8765,24230253228893712,2447,04871108,2107294974619706,839518501058118
256,572,291858550663680,8789,214424737826040,2440,1042d088,18736586129854,12970723526082
256,576,291858550663680,8797,213103068738560,2408,1042d088,18597070341792,4181228878176
256,577,168402383732943360,8797,123724409694655770,2467,31202206,10696097753483858,244623537709614
256,582,28310279414376960,8805,20799264867981600,2448,04871108,1809750946928566,773191998991818
256,586,85514555344458240,8813,62826787585221660,2449,3880b200,5430395683488502,56706681942666
256,609,291858550663680,8863,214426690283520,2451,04871108,18562771927164,2020428756612
256,627,291858550663680,8841,214426356310530,2470,04871108,18586677441694,3526476172002
256,628,45821792454197760,8901,33664711173093000,2449,0080501f,2914818793149556,346414151630988
