mask_hex	word_hi	word_lo	cover	multiplicity
31c00403	00000000000012a4	0000000000000000	5	1
38804448	0000000000089410	0000000000000000	5	1
38c04440	0000000000009430	0000000000000000	5	1
0050ea01	0000001000000000	3000000000020000	4	4
0080a689	0000000000010000	0800040040000000	4	1
016c1044	00000000c8800000	0000000000000000	4	5
08506209	0000001000000000	3000100000000000	4	2
08508c41	0000001000000000	2000000008000100	4	1
08e0d040	0000000027000000	0000000000000000	4	1
1020b640	0000000800420000	0000000000400000	4	2
10506441	0000001000000000	0000180000040000	4	3
1080640d	0000000600088000	0000000000000000	4	4
10c06203	0000000600008000	0000010000000000	4	8
10c0b480	0000000000010000	0000041000010000	4	1
10c0c209	000000020000a800	0000000000000000	4	1
10c49012	0000000000000000	000002000000e000	4	1
11285084	0000000000304040	0000000000000000	4	4
18804449	0000000400089000	0000000000000000	4	1
1880c049	000000000008a800	0000000000000000	4	2
2008041f	0000000000c81000	0000000000000000	4	4
2108001f	0000000002801800	0000000000000000	4	3
28642408	0000000010000000	0000000250000000	4	1
28c42408	0000000010000000	0000000150000000	4	1
3040a488	0000000000010000	0000000000110200	4	1
30603600	0000000000430000	0000000000400000	4	1
30c08488	0000000000010100	0000000000010200	4	1
30c41003	0000000000000000	000000000000a802	4	1
31484082	0000000000204041	0000000000000000	4	4
318050c0	0000000000102440	0000000000000000	4	1
38c00409	0000000000039000	0000000000000000	4	1
39480880	00000000000040c1	0000000000000000	4	1
0020b283	0000000000050000	0000000000400000	3	9
00482689	0000000000000000	0800140000000000	3	1
0054a888	0000000000000000	3000000080000000	3	6
00606449	0000000000000000	2000100200000000	3	1
00646409	0000000010000000	2000000200000000	3	1
0160102d	0000000006800000	0000000000000000	3	11
08285049	0000000c02000000	0000000000000000	3	1
08542881	0000000000000000	3000000000000800	3	1
08560281	0000000000000000	1000000008000800	3	2
08568880	0000000000000000	1000000088000000	3	1
08641448	0000000018800000	0000000000000000	3	4
08742880	0000000000000000	3000004000000000	3	1
08782880	0000000000000000	0000184000000000	3	2
10408a89	0000000000052000	0000000000000000	3	2
10cc2006	0000000000000000	0000026000000000	3	7
12041017	0000000000000000	0000002000000012	3	24
18460888	0000000000000000	0000004000004020	3	1
18468808	0000000000000000	0000020000004020	3	2
1850a801	0000001000000000	0000000000020080	3	1
18886440	0000000400080000	0000010000000000	3	1
20281249	0000000002c00000	0000000000000000	3	1
20720403	0000000000000000	0000000008040100	3	3
28024681	0000000000000000	00000000002c0000	3	3
30a09480	0000000000010300	0000000000000000	3	1
30f08002	0000000000000000	00000000000001c0	3	3
318840c0	0000000000100041	0000000000000000	3	1
32c01003	0000000000000000	0000000000000007	3	2
002092c9	0000000004040000	0000000000000000	2	1
0a022a81	0000000000000000	0000000000000009	2	19
10804487	0000000000000200	0000010000000000	2	1
10c044c4	0000000000000400	0000010000000000	2	2
12083083	0000000000000000	0000002000000008	2	5
12c03006	0000000000000000	0000002000000001	2	2
18509808	0000001000000000	0000000000001000	2	3
20683006	0000000000400008	0000000000000000	2	2
