q,r,ordinal,body_hex,truncated_mass,scaled_ticks
50,589,292,010d5510,472545250484466,18460831942303758
50,589,293,010d5520,485060497347106,19249292494650078
50,589,294,010d5540,498231147276606,20079043440208578
50,589,295,010d5580,487330067870480,19392275437622640
50,589,296,010d5604,475258668099032,18631777252021416
50,589,297,010d5620,481490613359144,19024389803408472
50,589,298,010d5700,490250800020010,19576281563043030
50,589,299,010d5c04,463751073373494,17906798784312522
50,589,300,010d5c20,472922924939486,18484625432970018
50,589,301,010d5d00,478025660655272,18806097783064536
50,589,302,010d6403,451131392676696,17111758900414248
50,589,303,010d6405,430146540412848,15789713207791824
50,589,304,010d6409,474583967385790,18589271107087170
50,589,305,010d640a,463938423607746,17918601849070398
50,589,306,010d640c,456914483424698,17476093617538374
50,589,307,010d6411,461767892412886,17781858383794218
50,589,308,010d6421,442423608922776,16563168523917288
50,589,309,010d6428,467138234913396,18120189961326348
50,589,310,010d6441,478768215796746,18852878756977398
50,589,311,010d6481,468688371221126,18217848548713338
50,589,312,010d6501,447169333625690,16862149180200870
50,589,313,010d6508,469596561557650,18275064539914350
50,589,314,010d6601,470522688095530,18333410511800790
50,589,315,010d6602,496687335295366,19981783285390458
50,589,316,010d6604,483024217955874,19121006893002462
50,589,317,010d6608,492697381539360,19730416198762080
50,589,318,010d6610,513779510149616,21058590301208208
50,589,319,010d6620,498796726358786,20114674922385918
50,589,320,010d6700,508522271220832,20727384248694816
50,589,321,010d6c01,454875636893840,17347646286094320
50,589,322,010d7401,443145824282858,16608668091602454
50,589,323,010d7402,457089423316024,17487114830691912
50,589,324,010d7404,449064498292532,16981544554211916
50,589,325,010d7420,457545009954804,17515816788935052
50,589,326,010d7500,458747846798250,17591595510072150
50,589,327,010dc403,455150022733306,17364932593980678
50,589,328,010dc40a,466800073143660,18098885769832980
50,589,329,010dc441,504517380584996,20475076138637148
50,589,330,010dc448,529319080366210,22037583224853630
50,589,331,010dc602,486467134932724,19337910662544012
50,589,332,010dc640,546801580797514,23138980752025782
50,589,333,010dd401,463109732709910,17866394322506730
50,589,334,010dd402,436133936242276,16166919145045788
50,589,335,010dd404,447108339419264,16858306545196032
50,589,336,010dd408,480462355878404,18959609582121852
50,589,337,010dd410,476225936110566,18692715136748058
50,589,338,010dd420,469430976024916,18264632651352108
50,589,339,010dd440,501911832902706,20310926634652878
50,589,340,010dd480,495807070102490,19926326578239270
50,589,341,010dd500,499297362713822,20146215012753186
50,589,342,010dd600,499695766901700,20171314476589500
50,589,343,010ddc00,490506044402042,19592361959111046
50,589,344,010de401,447188131276988,16863333432232644
50,589,345,010de408,471989831058202,18425840518449126
50,589,346,010de600,510590864854210,20857705647597630
50,589,347,010df400,467935288051380,18170404309019340
50,589,348,010e5c04,454029353736318,17294330447170434
50,589,349,010e5c20,456919903652934,17476435091917242
50,589,350,010e5d00,456553258960620,17453336476301460
50,589,351,010e6c01,462465956018430,17825836390943490
50,589,352,010ec40a,463946567411540,17919114908709420
50,589,353,010ecc02,448492794209754,16945527196996902
50,589,354,010ecc40,514278378760314,21090019023682182
50,589,355,010ed00a,441325223773980,16493970259543140
50,589,356,010edc00,473504508524010,18521265198795030
50,589,357,010eec00,493787041883970,19799064800472510
50,589,358,010f4406,466273178732156,18065691421908228
50,589,359,010f4422,462702445515356,17840735229249828
50,589,360,010f4444,484545577333336,19216852533782568
50,589,361,010f4460,501505837122856,20285348900522328
50,589,362,010f4502,449296517950046,16996161792635298
50,589,363,010f4540,512464424000016,20975739873783408
50,589,364,010f5404,453706808904242,17274010122749646
50,589,365,010f5420,452755585198914,17214083029313982
50,589,366,010f5500,459380145560844,17631430332115572
