LRC14_SIGNATURE372_DETACHED_LITERAL_AUDIT_V1
JOINT 421 FNV 20d63dd42fe8150e FIBRE 54 FNV 47ab2af18f07ff59 WITNESS 4 FNV 2f59f31ad0512a75
DELETE_INDICES 20 50 399 401 DELETE_MASKS 19801c80 19104884 3880b200 118c0540 APPEND 19801608 11842450 01180c85 11803211
REBUILT 421 FNV f63671c303bbafe4 BODY_UNIVERSE 14307150 CHECKS 406361173 MAX_PREFIX 421 FAILURES 0 ROW_FNV 7239db05659ba187
PAIR 128,343 GRID 7150534491260160 CELLS 8075 FAILURE_CLASSES 2364 PAIR_TICKS 5253453911946240 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 459969561707292 MIN_MASK 1aa28002 MAX_MARGIN 5359241826709722 LEDGER_FNV a53cc4b8ec7f24f
PAIR 128,351 GRID 437787825995520 CELLS 8085 FAILURE_CLASSES 2387 PAIR_TICKS 321641029732330 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 9217456321878 MIN_MASK 19801608 MAX_MARGIN 348980772062412 LEDGER_FNV 235d49be2a7f9422
PAIR 128,526 GRID 38379399412273920 CELLS 8437 FAILURE_CLASSES 2379 PAIR_TICKS 28197249372992700 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 368286908520636 MIN_MASK 28820c81 MAX_MARGIN 22554432138207312 LEDGER_FNV 72834f61d726293f
PAIR 135,258 GRID 2353109564725920 CELLS 7905 FAILURE_CLASSES 2328 PAIR_TICKS 1728914462026752 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 72895595703336 MIN_MASK 08c42c01 MAX_MARGIN 2058338910540402 LEDGER_FNV 52f031fd0060c1c7
PAIR 136,372 GRID 565475941910880 CELLS 8109 FAILURE_CLASSES 2363 PAIR_TICKS 415433463965520 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 43872605042616 MIN_MASK 03b40900 MAX_MARGIN 545076997718400 LEDGER_FNV f42c4ea751d1322b
PAIR 186,289 GRID 9613091012484960 CELLS 8077 FAILURE_CLASSES 2348 PAIR_TICKS 7062649913679360 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 56760222792546 MIN_MASK 30960500 MAX_MARGIN 10189617045254766 LEDGER_FNV d37610522d7ec87b
PAIR 186,297 GRID 1696427825732640 CELLS 8073 FAILURE_CLASSES 2371 PAIR_TICKS 1246360777705680 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 67591987780338 MIN_MASK 21948006 MAX_MARGIN 1632983448841668 LEDGER_FNV 23f0263c8cc3fe77
PAIR 186,329 GRID 26577369269811360 CELLS 8145 FAILURE_CLASSES 2387 PAIR_TICKS 19526230483943040 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 797074632133416 MIN_MASK 30960500 MAX_MARGIN 25993114475569164 LEDGER_FNV a8be54f8e16f94b8
PAIR 186,347 GRID 196220151843075360 CELLS 8193 FAILURE_CLASSES 2378 PAIR_TICKS 144161185808399760 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 6259463699219640 MIN_MASK 128c8900 MAX_MARGIN 216817565576146668 LEDGER_FNV 11120fc51631eab9
PAIR 186,360 GRID 565475941910880 CELLS 8205 FAILURE_CLASSES 2423 PAIR_TICKS 415507552708248 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 17636862004398 MIN_MASK 0314480c MAX_MARGIN 477912017195172 LEDGER_FNV 9ed6d211550a91b7
PAIR 186,423 GRID 26577369269811360 CELLS 8345 FAILURE_CLASSES 2398 PAIR_TICKS 19526292528702960 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 443242104349590 MIN_MASK 1844c804 MAX_MARGIN 24542946452992968 LEDGER_FNV 87e6b983fb49f57f
PAIR 186,441 GRID 3958331593376160 CELLS 8383 FAILURE_CLASSES 2439 PAIR_TICKS 2908161986970240 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 121207827214908 MIN_MASK 1a101c10 MAX_MARGIN 4346575216241580 LEDGER_FNV 8e43732efaec80a3
PAIR 186,461 GRID 260684409220915680 CELLS 8421 FAILURE_CLASSES 2406 PAIR_TICKS 191523053293331760 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 3428020159293366 MIN_MASK 30960500 MAX_MARGIN 258279071185820916 LEDGER_FNV e8507a2d16cf91df
PAIR 186,464 GRID 565475941910880 CELLS 8397 FAILURE_CLASSES 2409 PAIR_TICKS 415454386767420 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 29504729632014 MIN_MASK 11842450 MAX_MARGIN 636233182384464 LEDGER_FNV a61e2fb2af33cafa
PAIR 186,581 GRID 46934503178603040 CELLS 8663 FAILURE_CLASSES 2441 PAIR_TICKS 34482492131218560 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 730759241887038 MIN_MASK 32868100 MAX_MARGIN 45472829596615134 LEDGER_FNV e2808c3c6ae13139
PAIR 186,600 GRID 2827379709554400 CELLS 8589 FAILURE_CLASSES 2400 PAIR_TICKS 2077407469545408 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 194209069587624 MIN_MASK 10864540 MAX_MARGIN 3110881879787976 LEDGER_FNV 4ff4cc20041b6535
