scenario,deleted,obligations,obligation_fnv,witnesses,witness_fnv,deck_size,deck_fnv
92,5,50,607007395979789d,6,3360928efefda3bb,422,d196b3dfc992fb5d
93,6,83,ea6cfd823dea2c83,7,4e57576a5cb84822,422,a20a6b0d77b39292
94,25,308,e248c862e65f353a,24,6be31d3ca9b61e68,420,ed47caddbf1ae024
95,26,360,a8b7f3ad4dba9f66,25,436e9ce83e692e0d,420,9fd7e0fe9f11bc7
96,3,43,f3f4707ca0148551,5,8dc34b39486f800e,423,5c0cac5f5c59c99
97,4,77,226ed3f247190096,7,c1aac2e4dcc8aad3,424,b1bb88d59fef168a
98,23,286,32a3f145ec970e9b,22,3e8c7955514e9962,420,a63c9987a079d9cb
99,24,338,ea3a8c77ea6a07bb,23,fa0c32e5b4c13d2c,420,dfd2fc491a5540eb
100,4,47,442a116e967dc2e5,7,39d722568e6e298a,424,335f2835c51f4ec8
101,5,81,ebb97085e4fa1372,7,7c6ab6c792eeccad,423,eaafc15a50805cc1
102,24,294,aac858a7cc0f5453,22,d32cf57a69a46c88,419,79de735066b9621c
103,25,346,95f9e381383abdb3,24,11a42202279fa43a,420,bcc8d4577796c94
104,4,61,da79e43b5f794358,6,f2e506c6a406b043,423,d638a681dc520d62
105,5,95,e46c5b3b52e0d4fb,7,53b00c81e10e6458,423,22b15fe7743cd3b
106,24,330,859f29bcbce3a382,24,50650fc324d47db5,421,fecd45b2fdb14bb2
107,25,383,911327cc77c0426f,23,d0db268bb63513ec,419,fa66cd16c4572cad
108,5,65,80a1cfde9f026d0c,7,43adea5815883fc7,423,9746b972e8e27c77
109,6,99,a07102fd7315a6b7,8,8d99a902aa283c4,423,831626ea64870d02
110,25,338,5094759ae3483776,24,84fe72c1a41d3d26,420,1500e11c9beac4e4
111,26,391,72b6118c6f8ceb2f,24,e022ed96266b2bca,419,cb30e3a8059ad1a
112,4,51,a0d8a714ca23c281,6,b72bcc747349ce51,423,f9a889f25fdf3e71
113,5,85,1164a018c4c2b282,8,5c933f4100e5bf04,424,217834ec6d961a9e
114,24,296,2dc5ed687cc1c81,24,6ca1f1ef280b322a,421,c6b44fe20bf10524
115,25,348,149573718149232d,25,e3ae787b9a567784,421,3b27575d0ab2e1b8
116,5,55,25b794db3a963cc1,8,9e54e40ce836e8fa,424,2dedb9635f102a13
117,6,89,25c1293047e40b02,8,a79d6de49ca634a2,423,8f8dacfa2202edb1
118,25,304,3ff6b4f2b17c24f1,25,63fb57d635e24298,421,6aca51bdf0e37fdf
119,26,356,e612caf0c33eb53d,27,24a889a26b8fc0b2,422,96b01352d29393cb
120,5,69,b07d1e3237fab200,7,64abb5ecba35c15c,423,9dd37da40c4c2686
121,6,103,4dc29a8739e71cf7,8,eefc9236223cae3,423,643954794a977427
122,25,340,d9063b61f7489d04,24,7709beef3108bc3a,420,dd94d14e8ae20272
123,26,393,ac723951287cfbf1,26,783130024dc72f12,421,e664985147a9fa7c
124,6,73,3f3dcf7b74bdfbd8,8,21749b2793b558a2,423,33623c48d7e7703d
125,7,107,c83307838db2cf6f,9,64f8cb6aab6d87f5,423,38a14f11108e918
126,26,348,9d2e3e6e7515b188,24,cdd01a445fa6f086,419,d2eb4346df137c8f
127,27,401,a149cb077a90ef39,26,2872403c9d48f141,420,4b85ba1506848f46
