q,r,tests,first_inactive_mask,literal_mass,literal_margin,literal_grid,primary_margin,primary_den
3,41,132,30700448,47410127200154,-4712130693018,747887536075680,-197909489106756,31411276515178560
3,43,81,08940509,48529043043896,-80149707869112,784369854908640,-3366287730502704,32943533906162880
3,44,22,0202a129,1153071670098,-321122449746,18241159416480,-593434287130608,33709662601655040
3,45,25,0812412c,1153163220354,-315354783618,18241159416480,-198673513679340,11491930432382400
3,46,3,2a904060,25059236801444,-99454747825188,419546666579040,-8354198817315792,35241919992639360
3,47,132,30700448,53032408683588,-88296223232196,857334492574560,-3708441375752232,36008048688131520
3,48,1,0a10d120,1117347952244,-2571716674548,18241159416480,-1728193605296256,12258059127874560
3,50,1,0a10d120,5568849917594,-13985643521178,91205797082400,-5873970278894760,38306434774608000
3,51,76,21948006,1124858975664,-2098522199088,18241159416480,-1498344850148832,13024187823366720
3,52,244,30960500,1135133675458,-1451216112066,18241159416480,-3169455988752144,39838692165592320
3,54,81,08940509,3472409386832,-132121627344,54723478249440,-33294650090688,13790316518858880
3,55,1,0a10d120,1102143867330,-3529574024130,18241159416480,-8153315995740300,42137078252068800
3,57,24,10740051,1157140090106,-64811989242,18241159416480,-51719967415116,14556445214351040
3,58,44,22088c42,1141965289006,-1020824458542,18241159416480,-2486728381008312,44435464338545280
3,59,98,02423007,68172611430050,-10039102196130,1076228405572320,-421642292237460,45201593034037440
3,61,199,08c42c01,70501547644102,-9245396042694,1112710724405280,-388306633793148,46733850425021760
3,62,20,1804aa01,35704421247300,-12525229063620,565475941910880,-1052119241344080,47499979120513920
3,64,17,0c82044a,4498380711114,-8460565863498,72964637665920,-5685500260270656,49032236511498240
3,65,58,08c0a980,1142035937736,-1016373588552,18241159416480,-2774699896746960,49798365206990400
3,68,132,30700448,1151987077748,-389451767796,18241159416480,-1112274248825376,52096751293466880
3,69,13,12904122,25638124652300,-62984813221260,419546666579040,-2645362155292920,17620959996319680
3,70,4,09034019,1142824237458,-966710706066,18241159416480,-2842129475834040,53629008684451200
3,71,149,28144428,81088895118130,-71888881838130,1295122318570080,-3019333037201460,54395137379943360
3,72,1,0a10d120,1131742255962,-1664875540314,18241159416480,-1678194544636512,18387088691811840
3,73,32,32a40801,83885110825750,-41656567589910,1331604637403040,-1749575838776220,55927394770927680
3,74,24,10740051,41791065366622,-66854475541854,674922898409760,-5615775945515736,56693523466419840
3,75,3,2a904060,5701474960424,-5630265822888,91205797082400,-1182355822806480,19153217387304000
3,76,37,10864540,1148176580564,-629513090388,18241159416480,-2009405784518496,58225780857404160
3,77,149,28144428,1144265325350,-875922168870,18241159416480,-2832732294125580,58991909552896320
3,78,24,10740051,1121129571044,-2333474690148,18241159416480,-2548154361641616,19919346082796160
3,79,21,19801c80,91406170237468,-5617650647196,1441051593901920,-235941327182232,60524166943880640
3,81,20,1804aa01,10352397969888,-4480666890336,164170434748320,-564564028182336,20685474778288320
3,82,4,09034019,46222123188180,-79556383447380,747887536075680,-6682736209579920,62822553030357120
3,83,1,0a10d120,94808788796184,-83111232111768,1514016231567840,-3490671748694256,63588681725849280
3,86,13,12904122,49073771305870,-45831827364750,784369854908640,-3849873498639000,65887067812325760
3,87,76,21948006,1138062454222,-1266703049934,18241159416480,-1542844314819612,22217732169272640
3,89,41,0a204449,102956270996192,-7607679506784,1623463188066720,-319522539284928,68185453898802240
3,91,258,32260808,1154397526568,-237593492136,18241159416480,-908082326943792,69717711289786560
3,92,13,12904122,26116213540212,-32865213282804,419546666579040,-5521355831511072,70483839985278720
3,93,94,30168440,35709812499530,-12185580173130,565475941910880,-511794367271460,23749989560256960
3,94,24,10740051,53071475952872,-85834985267304,857334492574560,-7210138762453536,72016097376263040
3,96,1,0a10d120,2182271319696,-8446182190992,36482318832960,-5675834432346624,24516118255749120
3,98,22,0202a129,7942320844082,-10386250484274,127688115915360,-6107115284753112,75080612158231680
3,100,3,2a904060,5539437401670,-15838632024390,91205797082400,-13304450900487600,76612869549216000
3,103,76,21948006,118196557968014,-68974527604878,1878839419897440,-2896930159404876,78911255635692480
3,104,24,10740051,1106107445416,-3279868604712,18241159416480,-14326466065382016,79677384331184640
3,105,3,2a904060,1133813826024,-1534366626408,18241159416480,-2255518940819760,26814504342225600
3,106,75,0840e805,60256418666474,-70971420305898,966781449073440,-5961599305695432,81209641722168960
3,108,39,0090c4a4,3437099162290,-2356665773490,54723478249440,-1187759549838960,27580633037717760
3,110,1,0a10d120,1088194915338,-4408357999626,18241159416480,-20366613958272120,84274156504137600
3,111,32,32a40801,42535384804614,-19962350948358,674922898409760,-838418739831036,28346761733209920
3,112,3,2a904060,1153221673906,-311672209842,18241159416480,-1466106075096768,85806413895121920
3,114,17,0c82044a,1122271818964,-2261513071188,18241159416480,-3609374861616048,29112890428702080
3,115,266,20820649,26463586133984,-10980739875168,419546666579040,-2305955373785280,88104799981598400
3,116,14,2188042c,1156557336580,-101525461380,18241159416480,-494632047843360,88870928677090560
3,117,24,10740051,1124257777346,-2136397693122,18241159416480,-3499419421333836,29879019124194240
3,118,149,28144428,68282855737642,-3093710817834,1076228405572320,-259871708698056,90403186068074880
3,122,32,32a40801,69958487304914,-43458197411538,1112710724405280,-3650488582569192,93467700850043520
3,123,25,0812412c,46029556654768,-91688075052336,747887536075680,-3850899152198112,31411276515178560
3,124,149,28144428,35813200800042,-5672117240874,565475941910880,-952915696466832,94999958241027840
3,127,43,38060490,146275882898184,-51128360986248,2316627245892960,-2147391161422416,97298344327504320
3,128,1,0a10d120,8915890472914,-22016001533778,145929275331840,-14794753030698816,98064473022996480
