HUNT R=128 gamma* floor profile, d[0]=76 d[-1]=152 eff=0.597938
PHASE beam400: R=128 beam=400 ctrl=2 span=2 rank=l1deg dedup=999 (deterministic)
  row   0: kept=    4 bestdeg=126 top5L1=[168924678844171432443777716099766351655, 168957397221609675774455060433875826471, 168966083898817024766813263311327000363, 168976833162649697530245581958406534953] t=    0.0s
  row  12: kept=  400 bestdeg=114 top5L1=[334754203913439367280331225645469999, 350720513686398654295131678845718833, 397811066920845838839581701206200623, 401463540952993113533791375586775343, 421635690696292792394361962469413167] t=    5.6s
  row  13: kept=  400 bestdeg=113 top5L1=[24483642195193380252557347634555044, 26631687447340407372622016982821024, 34527515517772277082727114121947302, 37710751123582327668750072950827172, 37888195275411209188465297713801380] t=    6.8s
  row  14: kept=  400 bestdeg=112 top5L1=[10361361195450004920865826504785937, 11452886330825666981317256286306325, 11984211639463470535724124639068179, 11986792468235954268036118852141075, 15087295869539952265748185072271381] t=    8.1s
  row  15: kept=  400 bestdeg=111 top5L1=[578914448544865439198377992226406, 634141906567745053563503493482086, 750810613028314461864004854449762, 821242810941817760785804102257742, 887584480253674935847392159434340] t=    9.4s
  row  16: kept=  400 bestdeg=110 top5L1=[21427081565579549861537071896911, 23665739937526150490540860119377, 27546334752213825561113086794065, 33232293476761122856614784764357, 354363158177128724125328120617293] t=   10.7s
  row  17: kept=  400 bestdeg=109 top5L1=[6709307354954900868637010209848, 7065459022490158323645323193400, 10329871001586885716683986611252, 11402725792349705844169836112952, 14667137771446433237208499530804] t=   12.1s
  row  18: kept=  400 bestdeg=108 top5L1=[107970052969833853107516761329, 133079649010698877318048802031, 1226475078732256847956406403049, 1333796228079410209197109581731, 4209908370727804645453953361355] t=   13.4s
  row  19: kept=  400 bestdeg=107 top5L1=[24856810369161287175831035302, 25973358578212422566946020776, 27780804724026362145739382180, 48517223595006677020244450726, 53064773916378578567297652884] t=   14.8s
  row  20: kept=  400 bestdeg=106 top5L1=[212151977875767547008600009, 1022520081626204081261457787, 1417575693456581018069190601, 4221819869903338040105029059, 4436526399327913445318232821] t=   16.1s
  row  21: kept=  400 bestdeg=105 top5L1=[1801148478064697473287722, 94126156261171259635840036, 724894580116262945841755242, 725076602910282743825038954, 2013574308777620215031000698] t=   17.6s
  row  22: kept=  400 bestdeg=104 top5L1=[707004715197278229513351, 1599937532848131491906693, 177510913806114103564137501, 177692936600133901547421213, 177692936611236902320357373] t=   19.0s
  row  23: kept=  400 bestdeg=103 top5L1=[30459959678607500743036, 290893704980735518228384, 578186688233259950849948, 12336064963894854807575198, 13430754613740958177399382] t=   20.4s
  row  24: kept=  400 bestdeg=102 top5L1=[11016494564355719185459, 17479357691976929281129, 227612314585263536028341, 309030967432592607807709, 815468587983387093795943] t=   21.7s
  row  25: kept=  400 bestdeg=101 top5L1=[13579774320635408903280, 39107717466098915402964, 80234611017556188249854, 140689791324639353154558, 182414937499765311843322] t=   23.1s
  row  26: kept=  400 bestdeg=100 top5L1=[9778311890349855944383, 94899222885803596775371, 105265785430011020912239, 105265785430011108414199, 145713089786170512572367] t=   24.6s
  row  27: kept=  400 bestdeg= 99 top5L1=[3741682205768562436698, 23160288127975970432166, 32175791547283446701250, 34083071003953807178324, 34083071003953807178326] t=   26.2s
  row  28: kept=  400 bestdeg= 98 top5L1=[2892175221960683488813, 24436862083510206489395, 24436971882841700561615, 46077350651788114581039, 46077350651788114614897] t=   27.9s
  row  29: kept=  400 bestdeg= 97 top5L1=[6769696707852788759466, 6856615703560497908936, 6856615703560589365034, 15065059080706751851134, 15065059080706843307232] t=   29.6s
    [checkpoint written at row 29]
  row  30: kept=  400 bestdeg= 96 top5L1=[3312852146380407827955, 5235279592645596593933, 5235279592645688050031, 5993354718348197805841, 5993354718348289261939] t=   31.5s
  row  31: kept=  400 bestdeg= 95 top5L1=[950177743236250698990, 4401757322886595188198, 4401757322886686644296, 5295096112148175623650, 5295096112148267079748] t=   33.2s
  row  32: kept=  400 bestdeg= 94 top5L1=[264898233891668711715, 716604341356039281949, 952555730742303734391, 1427963708484094355713, 1427963708484094486783] t=   35.1s
  row  33: kept=  400 bestdeg= 95 top5L1=[444634630540721398172, 604406804158145419818, 604406807102025215234, 987594012163280679846, 987594012163295214368] t=   36.9s
  row  34: kept=  400 bestdeg= 95 top5L1=[104382810761307554149, 411206469755181773773, 591901311382944274941, 591901311382944311807, 616079926096548258665] t=   38.8s
  row  35: kept=  400 bestdeg= 96 top5L1=[69227722978982049774, 1126205340548718640790, 1126205340548760255734, 1126205340549943682892, 1126205340549985297836] t=   40.7s
  row  36: kept=  400 bestdeg= 97 top5L1=[87897356793423522683, 722778212847820863357, 797216902363831742591, 800583843197522157479, 1013208364341776269719] t=   42.7s
  row  37: kept=  400 bestdeg= 97 top5L1=[221546256861135501936, 491037779314597754178, 491037782258477549594, 514055000645546957772, 519239415622780018918] t=   44.7s
  row  38: kept=  400 bestdeg= 98 top5L1=[76174654691362036295, 520207482993519746837, 549617656365518112407, 569202868239889311441, 569204618594499472157] t=   46.7s
  row  39: kept=  400 bestdeg= 98 top5L1=[65407721911944300818, 65407721911944301204, 66201717137842013634, 66869038426528501826, 66869038426528502212] t=   48.9s
