q,r,tests,first_inactive_mask,margin_num,den
2,410,91,19c00c40,-3592996389070200,104704255050595200
2,416,91,19c00c40,-8161637901842880,106236512441579520
2,420,186,28062405,-2645567276864400,107258017368902400
2,431,422,38120016,-9236122769003760,220134311838080640
2,437,91,19c00c40,-2437054630521840,223198826620049280
2,442,422,38120016,-1891316293690824,112876294469178240
2,462,76,09828640,-5977398104358912,117983819105792640
2,466,46,0ac44140,-409413318481440,119005324033115520
2,488,419,09a2a040,-2426884499940768,124623601133391360
2,495,91,19c00c40,-9557693139677760,252822469512412800
2,512,25,0812412c,-5858781669006336,130752630697328640
2,519,91,19c00c40,-3881949841709856,265080528640287360
2,520,25,0812412c,-108402752465280,132795640551974400
2,550,91,19c00c40,-293322085721280,140456927506896000
3,6,130,30700448,-2288355622056,1532257390984320
3,7,24,10740051,-10122409877580,5362900868445120
3,11,11,04518811,-334497391864020,8427415650413760
3,12,3,2a904060,-59002921787040,3064514781968640
3,13,241,30960500,-343287161056476,9959673041398080
3,14,37,10864540,-258600175620696,10725801736890240
3,17,147,28144428,-291223390579380,13024187823366720
3,18,3,2a904060,-248907184929648,4596772172952960
3,19,1,0a10d120,-616389751491696,14556445214351040
3,22,1,0a10d120,-713455095076416,16854831300827520
3,23,3,2a904060,-4068883314422388,17620959996319680
3,24,1,0a10d120,-2789965226047104,6129029563937280
3,25,2,06411019,-3858063053435640,19153217387304000
3,26,37,10864540,-1987653628167480,19919346082796160
3,27,80,08940509,-337808427253416,6895158259429440
3,31,24,10740051,-325922203915308,23749989560256960
3,32,17,0c82044a,-436440056556672,24516118255749120
3,33,22,0202a129,-122940490182048,8427415650413760
3,35,19,2c120091,-964973479247820,26814504342225600
3,36,3,2a904060,-2573699313856608,9193544345905920
3,37,73,3a0c0a00,-1701963527450004,28346761733209920
3,38,3,2a904060,-1968587447542128,29112890428702080
3,39,20,1804aa01,-672085641319092,9959673041398080
3,41,130,30700448,-197909489106756,31411276515178560
3,43,80,08940509,-3366287730502704,32943533906162880
3,44,22,0202a129,-593434287130608,33709662601655040
3,45,25,0812412c,-198673513679340,11491930432382400
3,46,3,2a904060,-8354198817315792,35241919992639360
3,47,130,30700448,-3708441375752232,36008048688131520
3,48,1,0a10d120,-1728193605296256,12258059127874560
3,50,1,0a10d120,-5873970278894760,38306434774608000
3,51,75,21948006,-1498344850148832,13024187823366720
3,52,241,30960500,-3169455988752144,39838692165592320
3,54,80,08940509,-33294650090688,13790316518858880
3,55,1,0a10d120,-8153315995740300,42137078252068800
3,57,24,10740051,-51719967415116,14556445214351040
3,58,44,22088c42,-2486728381008312,44435464338545280
3,59,97,02423007,-421642292237460,45201593034037440
