a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
000000000010000e	0000000000000000	4	28	1c030601	8	1	27	214303695118518	2674824271434
000000000010000f	0000000000000000	5	4	1c0284c1	9	0	4	215332747613820	67505131475460
0000000000100018	0000000000000000	3	28	14410e81	9	0	28	215225278919562	60734603737206
0000000000100019	0000000000000000	4	5	14408cc1	9	0	5	215882868426042	102162742645446
000000000010001e	0000000000000000	5	6	14018325	9	0	6	218852848538892	289271489754996
0000000000100200	0000000000000000	2	55	10c01417	9	0	55	214660275497744	25139388162672
0000000000100204	0000000000000000	3	33	10809417	9	0	33	214770241580844	32067251397972
0000000000100240	0000000000000000	3	8	10c086c1	9	0	8	215266913812802	63357602011326
0000000000100241	0000000000000000	4	7	10c08cc1	9	0	7	214799133581192	33887447419896
0000000000100246	0000000000000000	5	3	108286c1	9	0	3	216050810915898	112743119506374
0000000000100247	0000000000000000	6	1	188284c1	9	0	1	216309534520440	129042706592520
0000000000100a46	0000000000000000	6	1	188286c0	9	0	1	220278719873228	379101383818164
0000000000200000	0000000000000000	1	7338	0048e441	8	624	6714	219543030866602	332752976400726
0000000000201000	0000000000000000	2	3257	0050ac41	8	210	3047	215323589674142	66928181275746
0000000000201001	0000000000000000	3	7	1842ac01	9	0	7	215247883556500	62158695864300
0000000000201010	0000000000000000	3	135	0840ec40	8	2	133	215496219815292	77803880168196
0000000000201011	0000000000000000	4	1	1860ac40	9	0	1	215468445158442	76054076786646
0000000000201110	0000000000000000	4	56	0040e127	9	0	56	216894797663202	165914284586526
0000000000203000	0000000000000000	3	539	1050c007	8	34	505	215081407359302	51670695440826
0000000000203040	0000000000000000	4	58	10708441	8	1	57	214588996049542	20648782925946
0000000000203240	0000000000000000	5	30	10508127	9	0	30	216248487143742	125196721860546
0000000000283000	0000000000000000	4	574	0050c125	8	24	550	217149542313132	181963197532116
000000000028b040	0000000000000000	6	48	00708127	9	0	48	221206664019642	437561865042246
00000000002ab240	0000000000000000	8	18	00508565	9	0	18	215096599294302	52627787345826
0000000000400000	0000000000000000	1	4959	002cc441	8	248	4711	217486016599700	203161077585900
0000000000400080	0000000000000000	2	60	004a4097	9	0	60	217250234744546	188306820711198
0000000000404000	0000000000000000	2	2121	1004c017	8	47	2074	215434460671950	73913054137650
0000000000406008	0000000000000000	4	7	1042c4c1	9	0	7	218430748859130	262679209929990
0000000000406018	0000000000000000	5	13	1040c4c3	9	0	13	214751857778642	30909071859246
0000000000406088	0000000000000000	5	4	18424a81	9	0	4	215738747980618	93083154583734
0000000000484000	0000000000000000	3	225	0004c457	9	0	225	215007239356950	46998111292650
0000000000486008	0000000000000000	5	12	0042c6c1	9	0	12	216047427572218	112529968854534
0000000000486018	0000000000000000	6	4	0060c4c3	9	0	4	215189245229422	58464481258386
0000000000486088	0000000000000000	6	7	0842ca81	9	0	7	218301585666968	254541928823784
0000000000500000	0000000000000000	2	7	104886c1	9	0	7	214725475108682	29246963651766
0000000000500080	0000000000000000	3	1	184a0a81	9	0	1	215451946641368	75014670210984
0000000000600000	0000000000000000	2	277	0048c641	8	12	265	214776043060522	32432744617686
0000000000600080	0000000000000000	3	50	0048c325	9	0	50	214964646846250	44314783118550
0000000000607008	0000000000000000	6	11	1042c443	9	0	11	215821837179840	98317774134720
0000000000607018	0000000000000000	7	17	1040c643	9	0	17	214930412933972	42158046645036
0000000000607088	0000000000000000	7	1	1843c201	9	0	1	214457618885678	12372021602514
0000000000687008	0000000000000000	7	19	0042ce41	9	0	19	214774232967838	32318708778594
0000000000687018	0000000000000000	8	9	0060c643	9	0	9	216499818800942	141030616264146
0000000000687198	0000000000000000	10	1	0041c325	9	0	1	214424024475422	10255573756386
0000000000800000	0000000000000000	1	6146	0008e4c1	8	357	5789	217026334296802	174201092503326
0000000000800002	0000000000000000	2	8	0022a6c1	9	0	8	215330238165798	67347036250074
0000000000800003	0000000000000000	3	1	0822a4c1	9	0	1	216748052053390	156669311168370
0000000000800006	0000000000000000	3	6	0802a6c1	9	0	6	218083959042848	240831451504224
0000000000800010	0000000000000000	2	24	0000e4c7	9	0	24	214727235606502	29357875014426
0000000000800110	0000000000000000	3	7	00206297	9	0	7	216569277260452	145406499213276
0000000000800800	0000000000000000	2	65	0012aec0	9	0	65	215793300212548	96519945195324
