a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9
0000000020000000	0000000000000000	1	10	2aa4100a	9	0	10
0000000020000010	0000000000000000	2	1	2aa81048	9	0	1
0000000020000012	0000000000000000	3	9	2aa8100a	9	0	9
0000000020000018	0000000000000000	3	8	2aa0104a	9	0	8
000000002000001a	0000000000000000	4	8	2aa0120c	9	0	8
0000000020080000	0000000000000000	2	18	2aa40848	9	0	18
0000000020080010	0000000000000000	3	5	2aa8004a	9	0	5
0000000020080012	0000000000000000	4	11	2aa8020a	9	0	11
0000000020800000	0000000000000000	2	11	2a849088	9	0	11
0000000020800053	0000000000000000	6	4	2a88120c	9	0	4
0000000020880000	0000000000000000	3	32	2a848188	9	0	32
0000000020880053	0000000000000000	7	3	2a88020e	9	0	3
0000000040000000	0000000000000000	1	109	0a248125	9	0	109
0000000040000020	0000000000000000	2	150	0a2081a5	9	0	150
0000000041000000	0000000000000000	2	19	0a0483a1	9	0	19
0000000041000020	0000000000000000	3	22	0a0083a5	9	0	22
0000000041200000	0000000000000000	3	17	0a048325	9	0	17
0000000041200020	0000000000000000	4	16	0a008327	9	0	16
0000000041400000	0000000000000000	3	35	0a0481a5	9	1	34
0000000041400020	0000000000000000	4	12	0a0089a5	9	0	12
0000000041600000	0000000000000000	4	36	0a048127	9	0	36
0000000041600020	0000000000000000	5	18	0a009127	9	0	18
0000000050000000	0000000000000000	2	115	0a240ac1	9	0	115
0000000050000024	0000000000000000	4	126	0a2010c7	9	0	126
0000000051000000	0000000000000000	3	14	0a041a85	9	0	14
0000000051000024	0000000000000000	5	10	0a411a81	9	0	10
0000000051200000	0000000000000000	4	1	2a8c0a01	9	0	1
0000000051400000	0000000000000000	4	11	0a0c1885	9	0	11
0000000051600000	0000000000000000	5	2	2a8c0803	9	0	2
0000000060000000	0000000000000000	2	6	2aa49040	9	0	6
0000000060000030	0000000000000000	4	1	2aa89040	9	0	1
0000000060000032	0000000000000000	5	7	2aa89002	9	0	7
0000000060000038	0000000000000000	5	4	2aa09044	9	0	4
000000006000003a	0000000000000000	6	1	2ae09080	9	0	1
0000000060080000	0000000000000000	3	8	2aac8002	9	0	8
0000000061980000	0000000000000000	6	1	2a8c8280	9	0	1
0000000061b80000	0000000000000000	7	2	2a8c8a00	9	0	2
0000000061d80000	0000000000000000	7	3	2a8c8880	9	0	3
0000000061f00000	0000000000000000	7	1	2ac49800	9	0	1
0000000061f80000	0000000000000000	8	5	2a8c8802	9	0	5
0000000070000000	0000000000000000	3	15	2aa41042	9	0	15
0000000070000034	0000000000000000	6	7	2aa81042	9	0	7
0000000070000036	0000000000000000	7	11	2aa81006	9	0	11
000000007000003c	0000000000000000	7	2	2aa01244	9	0	2
0000000070080000	0000000000000000	4	12	2aac0042	9	0	12
0000000070080034	0000000000000000	7	1	2ae80240	9	0	1
0000000070080036	0000000000000000	8	1	2aa80a80	9	0	1
0000000071980000	0000000000000000	7	1	2a8c0a80	9	0	1
0000000071980077	0000000000000000	13	1	2a880a82	9	0	1
0000000071b00000	0000000000000000	7	1	2a8c1a00	9	0	1
0000000071b80000	0000000000000000	8	2	2a8c0a02	9	0	2
0000000071d80000	0000000000000000	8	2	2a8c0882	9	0	2
0000000080000000	0000000000000000	1	1622	08064296	9	84	1538
0000000080000080	0000000000000000	2	1874	08025296	9	85	1789
0000000082000000	0000000000000000	2	425	0a260a82	9	17	408
0000000082000080	0000000000000000	3	631	0a221036	9	26	605
0000000082100000	0000000000000000	3	44	0a061286	9	0	44
0000000082100080	0000000000000000	4	26	0a021296	9	0	26
0000000082300000	0000000000000000	4	31	0a061216	9	0	31
0000000082300080	0000000000000000	5	18	0a029324	9	0	18
0000000082500000	0000000000000000	4	51	0a0681a4	9	1	50
0000000082500080	0000000000000000	5	5	2a0a0096	9	0	5
0000000082700000	0000000000000000	5	28	0a0e1016	9	0	28
0000000082700080	0000000000000000	6	7	0a429124	9	0	7
0000000100000000	0000000000000000	1	61	2a0c400e	9	2	59
0000000100000100	0000000000000000	2	82	2a08420e	9	1	81
0000000108000000	0000000000000000	2	37	2a04508c	9	1	36
0000000108000100	0000000000000000	3	44	2a20500e	9	0	44
0000000124000000	0000000000000000	3	13	2a2c1008	8	1	12
0000000124000110	0000000000000000	5	10	2a28104a	9	0	10
0000000124000112	0000000000000000	6	35	2a28100e	9	0	35
0000000124080000	0000000000000000	4	35	2a2c000e	9	0	35
0000000124080112	0000000000000000	7	3	2a280a88	9	0	3
0000000124800000	0000000000000000	4	13	2a0c108c	9	0	13
0000000124800153	0000000000000000	9	1	2a08120e	9	0	1
0000000124880000	0000000000000000	5	17	2a0c080e	9	0	17
000000012c000000	0000000000000000	4	30	2a24104a	9	0	30
000000012c000118	0000000000000000	7	3	2a20124c	9	0	3
000000012c00011a	0000000000000000	8	8	2a20120e	9	0	8
000000012c080000	0000000000000000	5	2	2a248888	9	0	2
000000012c800000	0000000000000000	5	2	2a049888	9	0	2
000000012c880000	0000000000000000	6	1	2a448888	9	0	1
0000000180000000	0000000000000000	2	74	2a0c4016	9	0	74
0000000180000180	0000000000000000	4	60	2a085206	9	1	59
0000000188000000	0000000000000000	3	31	2a245006	9	0	31
0000000188000180	0000000000000000	5	40	2a205046	9	0	40
00000001e6000000	0000000000000000	6	8	2a2c9002	9	0	8
00000001e60001b0	0000000000000000	10	4	2a289044	9	0	4
00000001e60001b2	0000000000000000	11	7	2a289006	9	0	7
00000001e6080000	0000000000000000	7	4	2a2c8880	9	0	4
00000001e7d80000	0000000000000000	11	1	2a4c8880	9	0	1
00000001ee000000	0000000000000000	7	8	2a249044	9	0	8
00000001f6000000	0000000000000000	7	23	2a2c1006	9	0	23
00000001f60001b4	0000000000000000	12	9	2a281046	9	0	9
00000001f60001b6	0000000000000000	13	12	2a281016	9	0	12
00000001f6080000	0000000000000000	8	3	2a2c0882	9	0	3
00000001fe000000	0000000000000000	8	3	2a241244	9	0	3
0000000200000000	0000000000000000	1	2964	081c812c	9	142	2822
0000000200000002	0000000000000000	2	109	0838812c	9	0	109
000000020000000a	0000000000000000	3	2	08b0812c	9	0	2
0000000200000040	0000000000000000	2	11	2898024a	9	0	11
0000000200000042	0000000000000000	3	101	0898032c	9	0	101
000000020000004a	0000000000000000	4	4	089081ac	9	0	4
0000000210000000	0000000000000000	2	63	08fc0042	9	0	63
0000000210000004	0000000000000000	3	6	28b80242	9	0	6
0000000210000006	0000000000000000	4	5	28390a80	9	0	5
0000000210000046	0000000000000000	5	5	28590a80	9	0	5
0000000400000000	0000000000000000	1	864	08a21056	9	17	847
0000000400100000	0000000000000000	2	194	08869284	9	3	191
0000000400300000	0000000000000000	3	225	08c69240	9	3	222
0000000400500000	0000000000000000	3	193	088e9084	9	4	189
0000000400700000	0000000000000000	4	168	09829124	9	3	165
0000000402000000	0000000000000000	2	1256	09221036	9	54	1202
0000000402100000	0000000000000000	3	244	09021296	9	16	228
0000000402300000	0000000000000000	4	200	09029216	9	8	192
0000000402500000	0000000000000000	4	242	09061096	9	9	233
0000000402700000	0000000000000000	5	145	090a1816	9	2	143
0000000482000000	0000000000000000	3	298	082610c6	9	6	292
0000000482000080	0000000000000000	4	241	08221076	9	0	241
0000000482100000	0000000000000000	4	45	080e0296	9	0	45
0000000482100080	0000000000000000	5	22	280a0296	9	0	22
0000000482300000	0000000000000000	5	12	280e0216	9	0	12
0000000482300080	0000000000000000	6	8	280a0256	9	0	8
0000000482500000	0000000000000000	5	15	084e8884	9	0	15
0000000482500080	0000000000000000	6	2	280a1096	9	0	2
0000000482700000	0000000000000000	6	5	280e0816	9	0	5
0000000482700080	0000000000000000	7	1	280a1816	9	0	1
0000000800800000	0000000000000000	2	1	29841888	9	0	1
0000000800800201	0000000000000000	4	1	29881888	9	0	1
0000000a00080200	0000000000000000	4	1	29a80888	9	0	1
0000000a00880000	0000000000000000	4	3	29848888	9	0	3
0000000a00880201	0000000000000000	6	6	2988088a	9	0	6
0000000a20880000	0000000000000000	5	1	288c0a88	9	0	1
0000001000000000	0000000000000000	1	6	29240981	9	0	6
0000001000000400	0000000000000000	2	22	29201883	9	0	22
0000001001000000	0000000000000000	2	6	29041a81	9	0	6
0000001001000400	0000000000000000	3	23	29001a83	9	1	22
0000001001400000	0000000000000000	3	34	29041883	9	1	33
0000001001400400	0000000000000000	4	36	29001887	9	0	36
0000001040000420	0000000000000000	4	1	28288a81	9	0	1
0000001041000000	0000000000000000	3	1	280c8a81	9	0	1
0000001041000420	0000000000000000	5	4	28089a81	9	0	4
0000001041400000	0000000000000000	4	1	284c8881	9	0	1
0000001050000000	0000000000000000	3	2	282c0a81	9	0	2
0000001050000424	0000000000000000	6	2	28281a81	9	0	2
0000001051000000	0000000000000000	4	6	280c0a83	9	0	6
0000001051000424	0000000000000000	7	8	28081a83	9	0	8
0000001c00000000	0000000000000000	3	1	29a41880	9	0	1
0000001c00000600	0000000000000000	5	2	29a018c0	9	0	2
0000001c01900601	0000000000000000	9	1	29881a80	9	0	1
0000001c01d00000	0000000000000000	7	2	29849880	9	0	2
0000001c01d00601	0000000000000000	10	2	29889880	9	0	2
0000001e00080000	0000000000000000	5	1	29ac0880	9	0	1
0000001e00080600	0000000000000000	7	1	29a80a80	9	0	1
0000001e01980000	0000000000000000	8	1	298c0a80	9	0	1
0000001e01980601	0000000000000000	11	5	29880a82	9	0	5
0000001e01d80000	0000000000000000	9	6	298c0882	9	0	6
0000001e01d80601	0000000000000000	12	1	29c88880	9	0	1
0000002000000000	0000000000000000	1	29	28880a49	9	0	29
0000002800000000	0000000000000000	2	1	29a41808	9	0	1
0000002800000200	0000000000000000	3	2	29a01848	9	0	2
0000002800800000	0000000000000000	3	2	29849808	9	0	2
0000002800800201	0000000000000000	5	4	2988180a	9	0	4
0000002820000000	0000000000000000	3	1	28ac1808	9	0	1
0000002a00080000	0000000000000000	4	1	29ac0808	9	0	1
0000002a00080200	0000000000000000	5	2	29a80848	9	0	2
0000002a00880000	0000000000000000	5	9	298c080a	9	0	9
0000002a00880201	0000000000000000	7	6	29880a0a	9	0	6
