a_hex	b_hex	cover	count	least_mask	least_rank
000000000ff80000	0000000000000000	9	7	2b448802	9
000000000ff80001	0000000000000000	10	1	2b408124	9
0000000010000000	0000000000000000	1	1641	08141a85	9
0000000010000004	0000000000000000	2	1160	08181a85	9
0000000010000006	0000000000000000	3	312	08381324	9
000000001000000c	0000000000000000	3	134	08b01164	9
000000001000000e	0000000000000000	4	166	0a301096	9
0000000010000044	0000000000000000	3	8	2a980242	9
0000000010000046	0000000000000000	4	61	28191a80	9
0000000020000000	0000000000000000	1	10	2aa4100a	9
0000000020000010	0000000000000000	2	1	2aa81048	9
0000000020000012	0000000000000000	3	9	2aa8100a	9
0000000020000018	0000000000000000	3	8	2aa0104a	9
000000002000001a	0000000000000000	4	8	2aa0120c	9
0000000020080000	0000000000000000	2	18	2aa40848	9
0000000020080010	0000000000000000	3	5	2aa8004a	9
0000000020080012	0000000000000000	4	11	2aa8020a	9
0000000020800000	0000000000000000	2	11	2a849088	9
0000000020800053	0000000000000000	6	4	2a88120c	9
0000000020880000	0000000000000000	3	32	2a848188	9
0000000020880053	0000000000000000	7	3	2a88020e	9
0000000040000000	0000000000000000	1	109	0a248125	9
0000000040000020	0000000000000000	2	150	0a2081a5	9
0000000041000000	0000000000000000	2	19	0a0483a1	9
0000000041000020	0000000000000000	3	22	0a0083a5	9
0000000041200000	0000000000000000	3	17	0a048325	9
0000000041200020	0000000000000000	4	16	0a008327	9
0000000041400000	0000000000000000	3	34	0a0481a5	9
0000000041400020	0000000000000000	4	12	0a0089a5	9
0000000041600000	0000000000000000	4	36	0a048127	9
0000000041600020	0000000000000000	5	18	0a009127	9
0000000050000000	0000000000000000	2	115	0a240ac1	9
0000000050000024	0000000000000000	4	126	0a2010c7	9
0000000051000000	0000000000000000	3	14	0a041a85	9
0000000051000024	0000000000000000	5	10	0a411a81	9
0000000051200000	0000000000000000	4	1	2a8c0a01	9
0000000051400000	0000000000000000	4	11	0a0c1885	9
0000000051600000	0000000000000000	5	2	2a8c0803	9
0000000060000000	0000000000000000	2	6	2aa49040	9
0000000060000030	0000000000000000	4	1	2aa89040	9
0000000060000032	0000000000000000	5	7	2aa89002	9
0000000060000038	0000000000000000	5	4	2aa09044	9
000000006000003a	0000000000000000	6	1	2ae09080	9
0000000060080000	0000000000000000	3	8	2aac8002	9
0000000061980000	0000000000000000	6	1	2a8c8280	9
0000000061b80000	0000000000000000	7	2	2a8c8a00	9
0000000061d80000	0000000000000000	7	3	2a8c8880	9
0000000061f00000	0000000000000000	7	1	2ac49800	9
0000000061f80000	0000000000000000	8	5	2a8c8802	9
0000000070000000	0000000000000000	3	15	2aa41042	9
0000000070000034	0000000000000000	6	7	2aa81042	9
0000000070000036	0000000000000000	7	11	2aa81006	9
000000007000003c	0000000000000000	7	2	2aa01244	9
0000000070080000	0000000000000000	4	12	2aac0042	9
0000000070080034	0000000000000000	7	1	2ae80240	9
0000000070080036	0000000000000000	8	1	2aa80a80	9
0000000071980000	0000000000000000	7	1	2a8c0a80	9
0000000071980077	0000000000000000	13	1	2a880a82	9
0000000071b00000	0000000000000000	7	1	2a8c1a00	9
0000000071b80000	0000000000000000	8	2	2a8c0a02	9
0000000071d80000	0000000000000000	8	2	2a8c0882	9
0000000080000000	0000000000000000	1	1538	08064296	9
0000000080000080	0000000000000000	2	1789	08025296	9
0000000082000000	0000000000000000	2	408	0a260a82	9
0000000082000080	0000000000000000	3	605	0a221036	9
0000000082100000	0000000000000000	3	44	0a061286	9
0000000082100080	0000000000000000	4	26	0a021296	9
0000000082300000	0000000000000000	4	31	0a061216	9
0000000082300080	0000000000000000	5	18	0a029324	9
0000000082500000	0000000000000000	4	50	0a0681a4	9
0000000082500080	0000000000000000	5	5	2a0a0096	9
0000000082700000	0000000000000000	5	28	0a0e1016	9
0000000082700080	0000000000000000	6	7	0a429124	9
0000000100000000	0000000000000000	1	59	2a0c400e	9
0000000100000100	0000000000000000	2	81	2a08420e	9
0000000108000000	0000000000000000	2	36	2a04508c	9
0000000108000100	0000000000000000	3	44	2a20500e	9
0000000124000000	0000000000000000	3	12	2a2c100a	9
0000000124000110	0000000000000000	5	10	2a28104a	9
0000000124000112	0000000000000000	6	35	2a28100e	9
0000000124080000	0000000000000000	4	35	2a2c000e	9
0000000124080112	0000000000000000	7	3	2a280a88	9
0000000124800000	0000000000000000	4	13	2a0c108c	9
0000000124800153	0000000000000000	9	1	2a08120e	9
0000000124880000	0000000000000000	5	17	2a0c080e	9
000000012c000000	0000000000000000	4	30	2a24104a	9
000000012c000118	0000000000000000	7	3	2a20124c	9
000000012c00011a	0000000000000000	8	8	2a20120e	9
000000012c080000	0000000000000000	5	2	2a248888	9
000000012c800000	0000000000000000	5	2	2a049888	9
000000012c880000	0000000000000000	6	1	2a448888	9
0000000180000000	0000000000000000	2	74	2a0c4016	9
0000000180000180	0000000000000000	4	59	2a085206	9
0000000188000000	0000000000000000	3	31	2a245006	9
0000000188000180	0000000000000000	5	40	2a205046	9
00000001e6000000	0000000000000000	6	8	2a2c9002	9
00000001e60001b0	0000000000000000	10	4	2a289044	9
00000001e60001b2	0000000000000000	11	7	2a289006	9
00000001e6080000	0000000000000000	7	4	2a2c8880	9
00000001e7d80000	0000000000000000	11	1	2a4c8880	9
00000001ee000000	0000000000000000	7	8	2a249044	9
00000001f6000000	0000000000000000	7	23	2a2c1006	9
00000001f60001b4	0000000000000000	12	9	2a281046	9
00000001f60001b6	0000000000000000	13	12	2a281016	9
00000001f6080000	0000000000000000	8	3	2a2c0882	9
00000001fe000000	0000000000000000	8	3	2a241244	9
0000000200000000	0000000000000000	1	2822	081c812c	9
0000000200000002	0000000000000000	2	109	0838812c	9
000000020000000a	0000000000000000	3	2	08b0812c	9
0000000200000040	0000000000000000	2	11	2898024a	9
0000000200000042	0000000000000000	3	101	0898032c	9
000000020000004a	0000000000000000	4	4	089081ac	9
0000000210000000	0000000000000000	2	63	08fc0042	9
0000000210000004	0000000000000000	3	6	28b80242	9
0000000210000006	0000000000000000	4	5	28390a80	9
0000000210000046	0000000000000000	5	5	28590a80	9
0000000400000000	0000000000000000	1	847	08a21056	9
0000000400100000	0000000000000000	2	191	08869284	9
0000000400300000	0000000000000000	3	222	08c69240	9
0000000400500000	0000000000000000	3	189	088e9084	9
0000000400700000	0000000000000000	4	165	09829124	9
0000000402000000	0000000000000000	2	1202	09221036	9
0000000402100000	0000000000000000	3	228	09021296	9
0000000402300000	0000000000000000	4	192	09029216	9
0000000402500000	0000000000000000	4	233	09061096	9
0000000402700000	0000000000000000	5	143	090a1816	9
0000000482000000	0000000000000000	3	292	082610c6	9
0000000482000080	0000000000000000	4	241	08221076	9
0000000482100000	0000000000000000	4	45	080e0296	9
0000000482100080	0000000000000000	5	22	280a0296	9
0000000482300000	0000000000000000	5	12	280e0216	9
0000000482300080	0000000000000000	6	8	280a0256	9
0000000482500000	0000000000000000	5	15	084e8884	9
0000000482500080	0000000000000000	6	2	280a1096	9
0000000482700000	0000000000000000	6	5	280e0816	9
0000000482700080	0000000000000000	7	1	280a1816	9
0000000800800000	0000000000000000	2	1	29841888	9
0000000800800201	0000000000000000	4	1	29881888	9
0000000a00080200	0000000000000000	4	1	29a80888	9
0000000a00880000	0000000000000000	4	3	29848888	9
0000000a00880201	0000000000000000	6	6	2988088a	9
0000000a20880000	0000000000000000	5	1	288c0a88	9
0000001000000000	0000000000000000	1	6	29240981	9
0000001000000400	0000000000000000	2	22	29201883	9
0000001001000000	0000000000000000	2	6	29041a81	9
0000001001000400	0000000000000000	3	22	29001a83	9
0000001001400000	0000000000000000	3	33	29041883	9
0000001001400400	0000000000000000	4	36	29001887	9
0000001040000420	0000000000000000	4	1	28288a81	9
