a_hex	b_hex	cover	count	least_mask	least_rank
00092401240a4112	0000000000000000	13	1	2228812c	9
0009600000000000	0000000000000000	4	14	2226104c	9
0009600000000000	0000000000000003	6	52	0226106c	9
0009600000024000	0000000000000000	6	11	2222120e	9
0009600000024000	0000000000000003	8	31	0222121e	9
000960012c000000	0000000000000000	8	16	2224904c	9
000960012c02411a	0000000000000000	14	3	2220912c	9
0009640000000000	0000000000000003	7	2	0226812c	9
0009640000024000	0000000000000003	9	1	0262812c	9
000b200082000000	0000000000000000	6	5	222e9004	9
000b200082000000	0000000000000003	8	10	022e9044	9
000b20008202d080	0000000000000000	11	9	222a9006	9
000b20008202d080	0000000000000003	13	8	022a9124	9
000b2001e6000000	0000000000000000	10	31	222c9006	9
000b2001e602d1b0	0000000000000000	18	7	22289046	9
000b2001e602d1b2	0000000000000000	19	23	22289016	9
000b2401e6080000	0000000000000000	12	1	226d8200	9
000b600082000000	0000000000000000	7	2	222690c0	9
000b600082000000	0000000000000003	9	7	02269124	9
000b60008202d080	0000000000000003	14	5	02229164	9
000b6001ee000000	0000000000000000	12	4	22249124	9
000b6001ee02d1ba	0000000000000000	22	3	222091a4	9
000ba00082000000	0000000000000000	7	11	222e1006	9
000ba00082000000	0000000000000003	9	15	022e1064	9
000ba0008202f080	0000000000000000	13	20	222a1016	9
000ba0008202f080	0000000000000003	15	16	022a1216	9
000ba001f6000000	0000000000000000	12	41	222c1016	9
000ba001f602f1b4	0000000000000000	22	8	22281056	9
000ba001f602f1b6	0000000000000000	23	23	22281096	9
000be00082000000	0000000000000003	10	2	02261216	9
000be0008202f080	0000000000000003	16	3	02621216	9
000be001fe000000	0000000000000000	14	1	22651204	9
000be001fe02f1be	0000000000000000	26	1	22611206	9
0010000000000000	0000000000000000	1	3690	0010d1ac	9
0014000000000000	0000000000000000	2	695	0214812e	9
0014000000010000	0000000000000000	3	155	0212812e	9
0014000000010042	0000000000000000	5	111	0218812e	9
0014000000010048	0000000000000000	5	3	0210916c	9
001400000001004a	0000000000000000	6	28	0210832e	9
0014000000011000	0000000000000000	4	15	02129324	9
0014000000011042	0000000000000000	6	25	02189324	9
001400000001104a	0000000000000000	7	17	02109326	9
0014800000000000	0000000000000000	3	25	221e0016	9
0014800000013000	0000000000000000	6	9	221a0096	9
0014800010000000	0000000000000000	4	35	221c0096	9
0014800010013046	0000000000000000	10	6	22181216	9
0018000000000000	0000000000000000	2	15	220e400e	9
0018000000000000	0000000000000002	3	2	020ed088	9
0018000000020000	0000000000000000	3	10	220a401e	9
0018000080000000	0000000000000000	3	3	220e4016	9
0018000080020080	0000000000000000	5	2	220a5206	9
0018000100000000	0000000000000000	3	19	220c401e	9
0018000100020100	0000000000000000	5	4	2208520e	9
0018000180000000	0000000000000000	4	14	220c4096	9
0018000180020180	0000000000000000	7	5	22085216	9
0018400000000000	0000000000000000	3	3	2206d088	9
0018400000000000	0000000000000002	4	3	0206d08c	9
0018400108000000	0000000000000000	5	3	2204c12c	9
0018400108020100	0000000000000000	7	2	2200d12c	9
0018400188000000	0000000000000000	6	1	2244c124	9
0018400188020180	0000000000000000	9	3	2240c1a4	9
001d2c0000000000	0000000000000000	7	2	220e8288	9
001d2c0124880000	0000000000000000	12	1	220c812c	9
001d2c01248b4953	0000000000000000	21	2	2208832c	9
001d680000000000	0000000000000003	9	1	02469888	9
001d6c0000000000	0000000000000003	10	1	0246812c	9
001d6c012c880000	0000000000000000	14	1	2244812c	9
001f3c01e7bbd9f3	0000000000000000	33	1	22488324	9
001f3c01e7f80000	0000000000000000	21	1	224c8124	9
0020000000000000	0000000000000000	1	1113	0036812c	9
0020000000001000	0000000000000000	2	13	00ba8124	9
0020000200000000	0000000000000000	2	1783	003481ac	9
0020000200000002	0000000000000000	3	91	0038832c	9
0020000200000008	0000000000000000	3	1	00b0816c	9
002000020000000a	0000000000000000	4	9	00b0812e	9
0020000200001000	0000000000000000	3	3	20b882c0	9
0020000200001002	0000000000000000	4	16	00b881a4	9
0020800000000000	0000000000000000	2	23	00fe00c0	9
0020800000003000	0000000000000000	4	11	203a0096	9
0020800210000000	0000000000000000	4	36	203c0096	9
0020800210003004	0000000000000000	7	1	20f90240	9
0020800210003006	0000000000000000	8	7	20b80286	9
0040000000000000	0000000000000000	1	7	21a61048	9
0040000000000000	0000000000000001	2	37	01a6104c	9
0040000000040000	0000000000000000	2	16	21a210c8	9
0040000000040000	0000000000000001	3	49	01a2112c	9
0041000000000000	0000000000000000	2	4	20ae1048	9
0041000000000000	0000000000000001	3	6	00a69248	9
0041000000044000	0000000000000000	4	5	20aa120c	9
0041000000044000	0000000000000001	5	1	00ea1248	9
0060040000000000	0000000000000000	3	6	21ae000a	9
0060040000000000	0000000000000001	4	5	01ae8088	9
0060040000040000	0000000000000000	4	5	21aa020a	9
0080000000000000	0000000000000000	1	862	01221097	9
0080100000000000	0000000000000000	2	235	01021297	9
0080100000200000	0000000000000000	3	134	01029325	9
0080100000400000	0000000000000000	3	186	010291a5	9
0080100000600000	0000000000000000	4	107	01069125	9
0082000000000000	0000000000000000	2	34	00269283	9
0082000000008000	0000000000000000	3	32	002291a5	9
0082100000000000	0000000000000000	3	17	000e9a81	9
0082100000008000	0000000000000000	4	6	00439a81	9
0082100000200000	0000000000000000	4	2	208e9201	9
0082100000208000	0000000000000000	5	1	008a8325	9
0082800000000000	0000000000000000	3	37	00261ac1	9
008280000000a000	0000000000000000	5	33	002213a5	9
0082900000000000	0000000000000000	4	13	00471a81	9
008290000000a000	0000000000000000	6	4	200a1287	9
00c0000400000000	0000000000000000	3	16	21a610c0	9
00c0000400000000	0000000000000001	4	69	01a611c0	9
00c0000400040000	0000000000000000	4	28	21a212c0	9
00c0000400040000	0000000000000001	5	69	01a29124	9
00c3000400000000	0000000000000001	6	2	00ae9240	9
00c3800400000000	0000000000000000	6	2	20ae1240	9
00c3800400000000	0000000000000001	7	1	00ee1240	9
00c380040004f000	0000000000000000	11	2	20aa12c0	9
00e0040400000000	0000000000000000	5	5	21ae0280	9
00e0040400000000	0000000000000001	6	3	01ee0240	9
00e0040400040000	0000000000000000	6	1	21aa8280	9
0100000000000000	0000000000000000	1	159	20081a8b	9
0100002000000000	0000000000000000	2	30	208c8a09	9
0100004000000000	0000000000000000	2	695	200800bf	9
0100006000000000	0000000000000000	3	351	2088003f	9
0100012000000000	0000000000000000	3	124	2028184b	9
0100016000000000	0000000000000000	4	652	2008023f	9
0100020000000000	0000000000000000	2	19	20049a89	9
0100024000000000	0000000000000000	3	45	20059289	9
0100026000000000	0000000000000000	4	11	2084812d	9
0100036000000000	0000000000000000	5	13	20219249	9
0140002800000000	0000000000000000	4	1	21ac1808	9
0140002800040200	0000000000000000	6	1	21a81908	9
0140004800000000	0000000000000000	4	6	21a410c8	9
0140004800040200	0000000000000000	6	13	21a090c8	9
0140006800000000	0000000000000000	5	19	21a41148	9
0140006800040200	0000000000000000	7	34	21a8100e	9
0141004820000000	0000000000000000	6	2	20ac1288	9
0141004820044212	0000000000000000	11	1	20a89288	9
0141006820000000	0000000000000000	7	11	20ac1148	9
0141006820044210	0000000000000000	11	1	20e81248	9
0141006820044212	0000000000000000	12	1	20e91208	9
0160044a00080000	0000000000000000	8	6	21ac008a	9
0160044a000c0200	0000000000000000	10	6	21a8028a	9
0160046a00080000	0000000000000000	9	14	21ac010a	9
0160046a000c0200	0000000000000000	11	5	21a8012c	9
0180001000000000	0000000000000000	3	15	21241883	9
0180001000000400	0000000000000000	4	41	21201887	9
0180003000000400	0000000000000000	5	2	21a81803	9
0180005000000000	0000000000000000	4	103	21241087	9
0180005000000400	0000000000000000	5	194	21201097	9
0180007000000000	0000000000000000	5	43	21a41043	9
0180007000000400	0000000000000000	6	66	21a08125	9
0180013000000000	0000000000000000	5	10	212c1803	9
0180013000000400	0000000000000000	6	18	21281807	9
0180017000000000	0000000000000000	6	88	21249007	9
0180017000000400	0000000000000000	7	85	21209125	9
0180101001000000	0000000000000000	5	16	21041a85	9
0180101001000400	0000000000000000	6	34	21009a83	9
0180101001400000	0000000000000000	6	28	21049885	9
0180101001400400	0000000000000000	7	27	21081887	9
0180103001200000	0000000000000000	7	3	218c0a03	9
0180103001200400	0000000000000000	8	3	21881a03	9
0180103001600000	0000000000000000	8	7	218c1803	9
0180103001600400	0000000000000000	9	3	21881807	9
0180105001000000	0000000000000000	6	63	21041287	9
0180105001000400	0000000000000000	7	90	210083a5	9
0180105001400000	0000000000000000	7	102	210481a5	9
0180105001400400	0000000000000000	8	61	210091a5	9
0180107001200000	0000000000000000	8	28	21849203	9
0180107001200400	0000000000000000	9	35	21808325	9
0180107001600000	0000000000000000	9	45	21848125	9
0180107001600400	0000000000000000	10	21	21808127	9
0180113001200000	0000000000000000	8	3	210c9a01	9
0180113001200400	0000000000000000	9	4	21081a07	9
0180113001600000	0000000000000000	9	9	210c1807	9
0180113001600400	0000000000000000	10	2	21481807	9
0180117001200000	0000000000000000	9	27	210c0217	9
0180117001200400	0000000000000000	10	16	21009325	9
0180117001600000	0000000000000000	10	24	21049125	9
0180117001600400	0000000000000000	11	8	21088127	9
0182001040000000	0000000000000000	5	1	202c9881	9
0182001040008420	0000000000000000	8	1	20289a81	9
0182005040000000	0000000000000000	6	12	202c8283	9
0182005040008420	0000000000000000	9	10	20289283	9
0182007040000000	0000000000000000	7	2	20ac9101	9
0182007040008420	0000000000000000	10	2	20a89203	9
0182017040000000	0000000000000000	8	6	202c9007	9
0182017040008420	0000000000000000	11	1	20289125	9
0182021040000000	0000000000000000	6	2	20249a81	9
0182021040008420	0000000000000000	9	1	20609a81	9
0182025040000000	0000000000000000	7	6	202492c1	9
0182101041000000	0000000000000000	7	3	200c9a81	9
0182101041008420	0000000000000000	10	2	20498a81	9
0182105041000000	0000000000000000	8	10	200c9283	9
0182105041008420	0000000000000000	11	3	200883a5	9
0182105041400000	0000000000000000	9	1	200c81a5	9
0182107041200000	0000000000000000	10	1	20cd8201	9
0182107041208420	0000000000000000	13	1	20888325	9
0182107041600000	0000000000000000	11	1	208c8125	9
0182117041200000	0000000000000000	11	1	200c8325	9
0182117041208420	0000000000000000	14	1	20089325	9
0182121041000000	0000000000000000	8	3	20449a81	9
0182125041400000	0000000000000000	10	1	208481a5	9
0182801050000000	0000000000000000	7	1	202c1a81	9
018280105000a424	0000000000000000	12	6	20281a83	9
0182805050000000	0000000000000000	8	17	202c1087	9
018280505000a424	0000000000000000	13	18	202811a5	9
0182807050000000	0000000000000000	9	2	20ac1203	9
0182817050000000	0000000000000000	10	2	202c1207	9
018282105000a424	0000000000000000	13	1	20611a81	9
0182901051000000	0000000000000000	9	3	204c1a81	9
018290105100a424	0000000000000000	14	2	20491a81	9
0182905051000000	0000000000000000	10	8	200c1287	9
018290505100a424	0000000000000000	15	2	208803a5	9
01c0001c00040600	0000000000000000	9	1	21a89880	9
01c0003c00000000	0000000000000000	7	5	21ac1900	9
01c0003c00040600	0000000000000000	10	4	21a81b00	9
01c0005c00000000	0000000000000000	7	23	21a411c0	9
01c0005c00040600	0000000000000000	10	41	21a091c0	9
01c0007c00000000	0000000000000000	8	58	21a41340	9
01c0007c00040600	0000000000000000	11	74	21a09124	9
01c3005c60000000	0000000000000000	11	3	20ac90c0	9
01c3007c60000000	0000000000000000	12	5	20ac9140	9
01c3007c6004d632	0000000000000000	21	1	20a89124	9
01c3805c70000000	0000000000000000	13	1	20ac12c0	9
01c3807c70000000	0000000000000000	14	4	20ac1340	9
01c3807c7004f634	0000000000000000	24	1	20e91240	9
01c3807c7004f636	0000000000000000	25	1	20a81324	9
01e0043e00080000	0000000000000000	11	1	21ec8800	9
01e0045e00080000	0000000000000000	11	19	21ac0086	9
01e0045e000c0600	0000000000000000	14	8	21a801a4	9
01e0047e00080000	0000000000000000	12	24	21ac8006	9
01e0047e000c0600	0000000000000000	15	5	21a80324	9
0200000000000000	0000000000000000	1	2781	011091ac	9
0204000000000000	0000000000000000	2	142	0094912c	9
0204000000010000	0000000000000000	3	37	0092912c	9
0204000000010040	0000000000000000	4	1	20989248	9
0204000000010042	0000000000000000	5	47	0098132c	9
020400000001004a	0000000000000000	6	5	009091ac	9
0204000000011000	0000000000000000	4	4	209a9202	9
0204000000011042	0000000000000000	6	10	00989324	9
0204800000000000	0000000000000000	3	7	209e1006	9
0204800000013000	0000000000000000	6	5	209a1016	9
0204800010000000	0000000000000000	4	19	209c1016	9
0204800010013046	0000000000000000	10	7	20981216	9
0214000000000000	0000000000000000	3	115	0016912c	9
0214000000010000	0000000000000000	4	39	001a912c	9
0214000000010042	0000000000000000	6	16	0018932c	9
021400000001004a	0000000000000000	7	1	2050912c	9
0214000000011000	0000000000000000	5	1	201a9016	9
0214000000011042	0000000000000000	7	3	201891a4	9
0214800000000000	0000000000000000	4	2	201e1016	9
0214800000013000	0000000000000000	7	3	201a1096	9
0214800010000000	0000000000000000	5	1	205d1280	9
0214800010013046	0000000000000000	11	1	201813a4	9
0220000000000000	0000000000000000	2	863	0112832c	9
0220000200000000	0000000000000000	3	1423	011481ac	9
0224000000000000	0000000000000000	3	105	0096812c	9
0224000000010000	0000000000000000	4	66	009281ac	9
0224000000011000	0000000000000000	5	4	209a8016	9
0224000200000000	0000000000000000	4	182	0094812e	9
0224000200010040	0000000000000000	6	1	2098016c	9
0224000200010042	0000000000000000	7	54	0098812e	9
022400020001004a	0000000000000000	8	11	009083ac	9
0224000200011042	0000000000000000	8	10	00d88324	9
0224800000000000	0000000000000000	4	9	209e0016	9
0224800000013000	0000000000000000	7	3	209a0216	9
0224800210000000	0000000000000000	6	18	209c0096	9
0224800210013046	0000000000000000	12	4	20980326	9
0234000000000000	0000000000000000	4	74	001e812c	9
0234000000010000	0000000000000000	5	20	001a832c	9
0234000200000000	0000000000000000	5	47	001c81ac	9
0234000200010040	0000000000000000	7	1	2018816c	9
0234000200010042	0000000000000000	8	11	2018032e	9
0234000200011042	0000000000000000	9	2	201883a4	9
0234800000000000	0000000000000000	5	3	201e0096	9
0234800000013000	0000000000000000	8	2	201a0296	9
0234800210000000	0000000000000000	7	1	205c0096	9
0240080000000000	0000000000000000	3	7	21869088	9
0240080000000000	0000000000000001	4	8	01869288	9
0240080000040800	0000000000000000	5	11	218a108c	9
0240080000040800	0000000000000001	6	1	01c29288	9
02600c0000000000	0000000000000000	5	18	218e000e	9
02600c0000000000	0000000000000001	6	6	01c68188	9
02600c0000040800	0000000000000000	7	12	218a020e	9
02c0180400100000	0000000000000000	7	2	21869280	9
02c0180400100000	0000000000000001	8	2	018e9280	9
02c0180400140800	0000000000000000	9	4	218a1282	9
02c0180400300000	0000000000000000	8	4	218e1202	9
02c0180400300000	0000000000000001	9	2	01c69240	9
02c0180400340800	0000000000000000	10	5	218a1206	9
02c0180400500000	0000000000000000	8	4	218e1084	9
02c0180400500000	0000000000000001	9	3	01c69084	9
02c0180400700000	0000000000000000	9	2	218e9004	9
02c0180400700000	0000000000000001	10	1	01ce9004	9
02e01c0400100000	0000000000000000	9	5	218e0282	9
02e01c0400140800	0000000000000000	11	5	218a0286	9
02e01c0400300000	0000000000000000	10	4	218e8202	9
02e01c0400500000	0000000000000000	10	3	218e8082	9
02e01c0400700000	0000000000000000	11	2	21ce8002	9
02e01c0400700000	0000000000000001	12	1	01c68124	9
0340084800800000	0000000000000000	7	6	218c108a	9
0340084800840a01	0000000000000000	11	10	218810ac	9
0340086800800000	0000000000000000	8	13	218c100e	9
0340086800840a01	0000000000000000	12	8	2188120e	9
03600c0a00880000	0000000000000000	10	2	218c8888	9
03600c2a00880000	0000000000000000	11	1	21cc8808	9
03600c4a00880000	0000000000000000	11	22	218c008e	9
03600c4a008c0a01	0000000000000000	15	6	2188028e	9
03600c6a00880000	0000000000000000	12	19	218c020e	9
03600c6a008c0a01	0000000000000000	16	3	2188812c	9
03650c6a20880000	0000000000000000	15	1	208c812c	9
03c0181c01d00000	0000000000000000	13	1	21c49880	9
03c0183c01f00000	0000000000000000	15	1	21cc9800	9
03c0185c01900000	0000000000000000	13	9	218c1282	9
03c0185c01940e01	0000000000000000	18	12	21881286	9
03c0185c01d00000	0000000000000000	14	14	218c1086	9
03c0185c01d40e01	0000000000000000	19	8	218810a6	9
03c0187c01b00000	0000000000000000	15	12	218c1206	9
03c0187c01b40e01	0000000000000000	20	8	21881216	9
03c0187c01f00000	0000000000000000	16	8	218c1016	9
03c0187c01f40e01	0000000000000000	21	2	21889124	9
03e01c1e01980000	0000000000000000	16	1	218c8a80	9
03e01c1e01d80000	0000000000000000	17	1	21cc8880	9
03e01c3e01b80000	0000000000000000	18	1	21cc8a00	9
03e01c3e01f80000	0000000000000000	19	1	21cc8802	9
03e01c5e01980000	0000000000000000	17	16	218c0286	9
03e01c5e019c0e01	0000000000000000	22	7	218803a4	9
03e01c5e01d80000	0000000000000000	18	18	218481a4	9
03e01c5e01dc0e01	0000000000000000	23	4	218881a4	9
03e01c7e01b80000	0000000000000000	19	13	218c0216	9
03e01c7e01bc0e01	0000000000000000	24	3	21888324	9
03e01c7e01f80000	0000000000000000	20	12	218c8016	9
03e01c7e01fc0e01	0000000000000000	25	2	21888126	9
03e71c7e61b80000	0000000000000000	24	1	208c8324	9
0400000000000000	0000000000000000	1	384	210a401e	9
0400000000000000	0000000000000002	2	226	010a528c	9
0400008000000000	0000000000000000	2	451	2108409e	9
0400018000000000	0000000000000000	3	565	2108421e	9
0400400000000000	0000000000000000	2	149	2102528c	9
0400400000000000	0000000000000002	3	246	0106528c	9
0400408008000000	0000000000000000	4	169	2100d1a4	9
0400418008000000	0000000000000000	5	170	2120512c	9
0408000000000000	0000000000000000	2	13	202e408c	9
0408000000000000	0000000000000002	3	14	002e504c	9
0408000000020000	0000000000000000	3	21	202a500e	9
0408000000020000	0000000000000002	4	7	002a50cc	9
0408000080000000	0000000000000000	3	11	202e5024	9
0408000080000000	0000000000000002	4	5	002e50c4	9
0408000080020080	0000000000000000	5	12	202a5064	9
0408008100000000	0000000000000000	4	9	202c508a	9
0408008100020100	0000000000000000	6	7	202850ac	9
0408008180000000	0000000000000000	5	16	202c5086	9
0408008180020180	0000000000000000	8	8	202851a4	9
0408018100000000	0000000000000000	5	23	202c500e	9
0408018100020100	0000000000000000	7	13	2028512c	9
0408018180000000	0000000000000000	6	18	202c5016	9
0408018180020180	0000000000000000	9	7	20285324	9
0408400000000000	0000000000000000	3	4	202650c8	9
0408400000000000	0000000000000002	4	5	0026d0c8	9
0408400000020000	0000000000000000	4	1	20635208	9
0408400000020000	0000000000000002	5	1	0063520c	9
0408418108000000	0000000000000000	7	1	20655208	9
0418000000000000	0000000000000000	3	10	200e401e	9
0418000000020000	0000000000000000	4	4	200a528c	9
0418000080000000	0000000000000000	4	1	200e5284	9
0418008100000000	0000000000000000	5	4	200c528c	9
0418008180000000	0000000000000000	6	1	204c4096	9
0418018100000000	0000000000000000	6	3	200cc12c	9
0418018100020100	0000000000000000	8	1	2049520c	9
0440200000000000	0000000000000000	3	12	212e100a	9
0440200000000000	0000000000000003	5	51	012e102c	9
0440200000040000	0000000000000000	4	54	212a100e	9
0440200000040000	0000000000000003	6	59	012a106c	9
0440600000000000	0000000000000000	4	19	2126108a	9
0440600000000000	0000000000000003	6	66	0126106c	9
0440600000040000	0000000000000000	5	14	212212c8	9
0440600000040000	0000000000000003	7	38	0122132c	9
0449200000000000	0000000000000000	5	19	202e102c	9
0449200000000000	0000000000000003	7	10	002e12c8	9
0449200000064000	0000000000000000	8	13	202a10ac	9
0449200000064000	0000000000000003	10	1	006b1248	9
0449600000000000	0000000000000003	8	1	00671248	9
0460240000000000	0000000000000000	5	20	212e000e	9
0460240000000000	0000000000000003	7	2	016e8088	9
0460240000040000	0000000000000000	6	11	212a001e	9
04c0200402000000	0000000000000000	6	40	212e1006	9
04c0200402000000	0000000000000003	8	56	012e1064	9
04c0200402040000	0000000000000000	7	76	212a1016	9
04c0200402040000	0000000000000003	9	47	012a1324	9
04c0600402000000	0000000000000000	7	12	212612c0	9
04c0600402000000	0000000000000003	9	39	01269124	9
04c0600402040000	0000000000000000	8	4	216212c0	9
04c0600402040000	0000000000000003	10	13	01229324	9
04cb200482000000	0000000000000000	10	1	202e90c0	9
04cba00482000000	0000000000000000	11	2	202e12c0	9
04e0240402000000	0000000000000000	8	5	212e8082	9
0540208804000000	0000000000000000	7	1	212c1888	9
0540208804040200	0000000000000000	9	7	2128188a	9
054020c804000000	0000000000000000	8	10	212c108a	9
054020c804040200	0000000000000000	10	37	2128108e	9
054021a804000000	0000000000000000	9	8	212c180a	9
054021a804040200	0000000000000000	11	16	2128180e	9
054021e804000000	0000000000000000	10	44	212c100e	9
054021e804040200	0000000000000000	12	75	2128101e	9
054060880c000000	0000000000000000	9	1	21249888	9
054060c80c000000	0000000000000000	10	14	212412c8	9
054060c80c040200	0000000000000000	12	4	216090c8	9
054061a80c000000	0000000000000000	11	2	21641848	9
054061e80c000000	0000000000000000	12	15	21249248	9
054061e80c040200	0000000000000000	14	5	2120912c	9
054920c924000000	0000000000000000	12	9	202c128c	9
054921e924000000	0000000000000000	14	11	202c124c	9
054921e924064310	0000000000000000	20	1	20691248	9
054921e924064312	0000000000000000	21	4	2028132c	9
0560248a04080000	0000000000000000	11	1	212c8888	9
056024ca04080000	0000000000000000	12	17	212c008e	9
056024ca040c0200	0000000000000000	14	1	21690288	9
056025aa04080000	0000000000000000	13	1	216c8808	9
056025ea04080000	0000000000000000	14	11	212c001e	9
056025ea040c0200	0000000000000000	16	2	2128812c	9
05c0209c06000000	0000000000000000	11	7	212c1882	9
05c0209c06040600	0000000000000000	14	5	21281b80	9
05c020dc06000000	0000000000000000	12	42	212c1086	9
05c020dc06040600	0000000000000000	15	76	21281096	9
05c021bc06000000	0000000000000000	13	9	212c1902	9
05c021bc06040600	0000000000000000	16	4	21681844	9
05c021fc06000000	0000000000000000	14	89	212c1016	9
05c021fc06040600	0000000000000000	17	94	21281056	9
05c0609c0e000000	0000000000000000	13	1	21649880	9
05c060dc0e000000	0000000000000000	14	22	212490c4	9
05c060dc0e040600	0000000000000000	17	7	212091a4	9
05c061bc0e000000	0000000000000000	15	1	21649840	9
05c061fc0e000000	0000000000000000	16	13	21249124	9
05c061fc0e040600	0000000000000000	19	4	21609124	9
05cb20dde6000000	0000000000000000	19	2	202c92c0	9
05cb20dde606d7b2	0000000000000000	31	1	202891a4	9
05cb21fde6000000	0000000000000000	21	2	202c9124	9
05cb21fde606d7b2	0000000000000000	33	2	20289324	9
05cba0ddf6000000	0000000000000000	21	1	206d1280	9
05cba0ddf606f7b6	0000000000000000	35	1	202813a4	9
05cba1fdf6000000	0000000000000000	23	2	206d1204	9
05cba1fdf606f7b6	0000000000000000	37	1	20291324	9
05e0249e06080000	0000000000000000	15	1	216c8880	9
05e024de06080000	0000000000000000	16	17	212c0096	9
05e024de060c0600	0000000000000000	19	5	212803a4	9
05e025fe06080000	0000000000000000	18	3	212c8124	9
05e025fe060c0600	0000000000000000	21	1	21688124	9
0640280000000000	0000000000000000	5	19	210e100e	9
0640280000000000	0000000000000003	7	5	010e9288	9
0640280000040800	0000000000000000	7	24	210a101e	9
0640680000000000	0000000000000000	6	2	21069288	9
0640680000000000	0000000000000003	8	2	01469288	9
06602c0000000000	0000000000000000	7	27	210e001e	9
06602c0000040800	0000000000000000	9	12	210a009e	9
06606c0000000000	0000000000000000	8	1	21468888	9
06c0380402100000	0000000000000000	10	4	210e1282	9
06c0380402140800	0000000000000000	12	4	210a1286	9
06c0380402300000	0000000000000000	11	5	210e1206	9
06c0380402340800	0000000000000000	13	2	210a1216	9
06c0380402500000	0000000000000000	11	4	210e1086	9
06c0380402540800	0000000000000000	13	2	210a1096	9
06c0380402700000	0000000000000000	12	2	210e1016	9
06e03c0402100000	0000000000000000	12	5	210e0286	9
06e03c0402140800	0000000000000000	14	1	210a0296	9
06e03c0402300000	0000000000000000	13	1	210e0216	9
06e03c0402500000	0000000000000000	13	3	210e0096	9
06e03c0402540800	0000000000000000	15	1	214a0096	9
06e03c0402700000	0000000000000000	14	1	214e0016	9
0740288804800000	0000000000000000	10	1	210c1a88	9
074028c804800000	0000000000000000	11	17	210c108e	9
074028c804840a01	0000000000000000	15	11	2108109e	9
074029a804800000	0000000000000000	12	1	214c9808	9
074029e804800000	0000000000000000	13	14	210c101e	9
074029e804840a01	0000000000000000	17	6	2109120e	9
07602c8a04880000	0000000000000000	14	1	214c8888	9
07602cca04880000	0000000000000000	15	14	210c009e	9
07602cca048c0a01	0000000000000000	19	2	2148009e	9
07602dea04880000	0000000000000000	17	6	210c812c	9
07602dea048c0a01	0000000000000000	21	1	2149020e	9
07c0389c07d00000	0000000000000000	18	1	214c9880	9
07c038dc07900000	0000000000000000	18	15	210c1286	9
07c038dc07940e01	0000000000000000	23	10	21081296	9
07c038dc07d00000	0000000000000000	19	11	210c1096	9
07c038dc07d40e01	0000000000000000	24	3	210891a4	9
07c039fc07b00000	0000000000000000	21	7	210c1216	9
07c039fc07b40e01	0000000000000000	26	2	21089324	9
07c039fc07f00000	0000000000000000	22	3	210c9016	9
07c039fc07f40e01	0000000000000000	27	1	21489124	9
07e03cde07980000	0000000000000000	22	9	210c0296	9
07e03cde079c0e01	0000000000000000	27	3	210883a4	9
07e03cde07d80000	0000000000000000	23	5	210c8096	9
07e03cde07dc0e01	0000000000000000	28	3	21488096	9
07e03dfe07b80000	0000000000000000	25	1	214d0206	9
07e03dfe07bc0e01	0000000000000000	30	1	21488324	9
07e03dfe07f80000	0000000000000000	26	2	214c8016	9
0800000000000000	0000000000000000	1	370	0ba0100e	9
0800000000000000	0000000000000001	2	1034	03a0101e	9
0800000000080000	0000000000000000	2	298	0ba008c8	9
0800000000800000	0000000000000000	2	40	0b84108c	9
0800000000800001	0000000000000000	3	46	0b80904c	9
0800000000880000	0000000000000000	3	76	0b84088a	9
0800000000880001	0000000000000000	4	32	0b80812c	9
0800000001900000	0000000000000000	4	4	0b841a80	9
0800000001900001	0000000000000000	5	4	0b8092c0	9
0800000001980000	0000000000000000	5	8	0b8482c0	9
0800000001980001	0000000000000000	6	1	0bc08a80	9
0800000001b00000	0000000000000000	5	16	0b841a40	9
0800000001b00001	0000000000000000	6	12	0b889202	9
0800000001b80000	0000000000000000	6	17	0b848320	9
0800000001b80001	0000000000000000	7	7	0b808324	9
0800000001d00000	0000000000000000	5	17	0b841884	9
0800000001d00001	0000000000000000	6	12	0b8098c0	9
0800000001d80000	0000000000000000	6	36	0b8480c2	9
0800000001d80001	0000000000000000	7	9	0b8081a4	9
0800000001f00000	0000000000000000	6	40	0b849006	9
0800000001f00001	0000000000000000	7	19	0b809124	9
0800000001f80000	0000000000000000	7	49	0b848124	9
0800000001f80001	0000000000000000	8	10	0b888124	9
0800000020000000	0000000000000000	2	52	0aa4104a	9
0800000020000010	0000000000000000	3	11	0aa8104a	9
0800000020000012	0000000000000000	4	28	0aa8100e	9
0800000020000018	0000000000000000	4	31	0aa0104e	9
080000002000001a	0000000000000000	5	18	0aa0120e	9
0800000020080000	0000000000000000	3	25	0aa480c8	9
0800000020080010	0000000000000000	4	1	0ae88048	9
0800000020800000	0000000000000000	3	9	0a849188	9
080000002080005b	0000000000000000	8	1	0a80912c	9
0800000020880000	0000000000000000	4	12	0a84812c	9
080000002088005b	0000000000000000	9	1	0ac0812c	9
0800000060000000	0000000000000000	3	31	0aa49042	9
0800000060000030	0000000000000000	5	7	0aa89042	9
0800000060000032	0000000000000000	6	7	0aa89204	9
0800000060000038	0000000000000000	6	16	0aa09046	9
080000006000003a	0000000000000000	7	2	0aa09124	9
0800000060080000	0000000000000000	4	14	0aac80c0	9
0800000060080030	0000000000000000	6	1	0ae88840	9
0800000061d00000	0000000000000000	7	1	0ac49880	9
