q96_lo,q96_hi,q100,q210,count8,count9,least8,least9,least8_tick96,least8_tick100,least8_tick210,least9_tick96,least9_tick100,least9_tick210
0000000000000000,0000000000000000,0000000000000007,0000000000000000,40,645,04190a82,04110ba4,1915570612620,3283666170246,1884246510258,3329911868094,3417659515746,3263017589622
0000000000000000,0000000000000000,0000000000000008,0000000000000000,152,2532,02380207,022e0017,-7762313555514,1563493260672,2041356928086,-10120845657132,1178959003488,-1282540117698
0000000000000000,0000000000000000,0000000000000008,0000000000000001,0,10,-,08720283,-,-,-,13629564886518,4870380958380,4982282448066
0000000000000000,0000000000000000,0000000000000008,0000000000000020,6,152,12750800,02b00326,-627722676126,399572530812,1077420318156,-10213871731182,4962849637158,2791438869744
0000000000000000,0000000000000000,0000000000000008,0000000000000080,0,28,-,02aa02c2,-,-,-,-14640481902564,981906626862,2669219246862
0000000000000000,0000000000000000,0000000000000008,00000000000000c0,0,147,-,022a0287,-,-,-,-9533655831798,2542111468218,4380688692324
0000000000000000,0000000000000000,0000000000000008,0000000000000180,0,21,-,02e80246,-,-,-,-14346705195018,1579398544332,292586334516
0000000000000000,0000000000000000,0000000000000008,00000000000001a0,0,2,-,0ae20242,-,-,-,-6408294618348,3412886337882,23154798366
0000000000000000,0000000000000000,0000000000000008,00000000000001c0,0,63,-,022a0217,-,-,-,-14163709157514,223262093628,340634147994
0000000000000000,0000000000000000,0000000000000008,00000000000001e0,0,3,-,12650206,-,-,-,-2841491984058,5705723612862,613068780870
0000000000000000,0000000000000000,0000000000000008,0000000000000380,0,1,-,126d0240,-,-,-,-727842752910,5314532022072,330173802504
0000000000000000,0000000000000000,0000000000000008,00000000000003c0,0,11,-,122d0203,-,-,-,-316941140880,4532918323752,1533534016014
0000000000000000,0000000000000000,0000000000000008,0000000000000401,0,15,-,08f20043,-,-,-,7534595708136,5968144599858,682683376158
0000000000000000,0000000000000000,0000000000000008,0000000000000800,0,7,-,08fc0003,-,-,-,12992407784874,21221207828478,1772226620892
0000000000000000,0000000000000000,0000000000000008,0000000000000803,0,1,-,18f40081,-,-,-,11571333457320,3960894705768,672959901978
0000000000000000,0000000000000000,0000000000000008,0000000000000c03,0,5,-,18f40003,-,-,-,15341116460670,20683030727268,377247635856
0000000000000000,0000000000000000,0000000000000008,0000000000001800,0,15,-,087c0083,-,-,-,8849081102904,14319609915618,2424105540108
0000000000000000,0000000000000000,0000000000000008,0000000000001803,0,2,-,18740083,-,-,-,12376609230258,11613408093378,1189988836218
0000000000000000,0000000000000000,0000000000000008,0000000000001c03,0,5,-,18740805,-,-,-,14316961350510,876632269968,50893732890
0000000000000000,0000000000000000,0000000000000009,0000000000000000,0,18,-,08ea00c2,-,-,-,-2532345903360,1265396669208,-96209436960
