q,r,grid,mass,ticks,active
384,626,45675863178865920,3125001124588492,14171618133611316,1
410,626,234088798791687840,15800405503631828,59070351562053804,1
412,626,588076738427898720,40494125635740284,198822961340043012,1
433,626,2472206094556117920,158802783020510632,115750952067698136,1
444,626,211250867202254880,14860312747021576,91196234253339768,1
445,626,508143977864883360,34102154502954960,115859822226629040,1
506,626,131318106639239520,9302437527861224,60781137698299032,1
512,626,182703452715463680,12047829173290156,28199427055425108,1
520,626,5709482897358240,390586524874498,1769019477660414,1
538,626,1535850899389366560,106374941217854980,558217699167397500,1
542,626,1547269865184083040,106112816812450598,496027998448055514,1
100,625,2280144927060000,162985271769934,1147492413265842,1
210,625,2280144927060000,166217248203902,1351106928605826,1
220,625,2280144927060000,162892955082160,1141676461936080,1
256,625,36482318832960000,2496466666083272,11348124631406136,1
265,625,120847681134180000,8587108379060964,57597103344120732,1
294,625,15961014489420000,1190838391081036,11178760680425268,1
320,625,9120579708240000,672249337762992,5869389446108496,1
366,625,139088840550660000,10049321960224112,76751921291479056,1
384,625,18241159416480000,1299786651635210,8921921387098230,1
530,625,120847681134180000,8532064702263370,54129351705872310,1
100,624,91205797082400,6578019708764,49592053322532,1
210,624,18241159416480,1329460507476,10791374305068,1
256,624,291858550663680,20040300118764,95104704827412,1
260,624,18241159416480,1334467181476,11106794767068,1
282,624,857334492574560,62483504017286,507122782790778,1
320,624,72964637665920,5329711826624,43913294413632,1
332,624,1514016231567840,107678524044330,727682088521430,1
372,624,565475941910880,39717726323614,240312990744162,1
384,624,145929275331840,10240882308728,61458484122504,1
100,623,8117315940333600,566237830335328,3203719549791264,1
210,623,1623463188066720,115035434802564,753379640294652,1
256,623,25975411009067520,1732741650535118,5261079947442354,1
260,623,1623463188066720,117274891377298,894465404502894,1
294,623,11364242316467040,830288532090676,6851208255844428,1
306,623,1623463188066720,115563343742318,786637903499154,1
383,623,621786401029553760,43770175524288108,270375453911935764,1
384,623,12987705504533760,914189185047524,5643096639858972,1
538,623,436711597589947680,31958340305348750,266529048877180530,1
100,622,28365002892626400,2037370314438832,14894318239140816,1
210,622,5673000578525280,412170592907628,3274745039079444,1
220,622,5673000578525280,408619999582610,3051057659603310,1
248,622,175863017934283680,12284200991428034,70452590722831422,1
260,622,5673000578525280,403103783380204,2703536038851732,1
282,622,266631027190688160,19067238241942326,134711900479613898,1
294,622,39711004049676960,2929597146994768,25720604061962544,1
306,622,5673000578525280,399393828404894,2469808875407202,1
332,622,470859048017598240,32153407764537606,142228497095476218,1
370,622,209901021405435360,14654527046406796,83631118301886708,1
384,622,45384004628202240,3272599073929136,24637723144726608,1
520,622,5673000578525280,408450540501452,3040381737490356,1
538,622,1526037155623300320,112231935397281056,966463307535505248,1
100,621,6293199998685600,460128505118818,3815295827743134,1
210,621,1258639999737120,92691785734694,805022502337242,1
220,621,1258639999737120,89760307058252,620339345721396,1
256,621,20138239995793920,1390337334058694,7038292062522042,1
260,621,1258639999737120,93623860083006,863743186280898,1
294,621,8810479998159840,665573521828290,6689211882542910,1
384,621,10069119997896960,726736123904518,5507895814396794,1
100,620,2827379709554400,203325846056434,1500009463337742,1
210,620,565475941910880,40987377660650,320301024977430,1
220,620,565475941910880,40168093272150,268686108501930,1
256,620,9047615070574080,604470754731698,1891197265800654,1
260,620,565475941910880,41296835517734,339796869973722,1
282,620,26577369269811360,1909749308340516,14004729346207068,1
294,620,3958331593376160,285405530385254,2147222040766362,1
306,620,565475941910880,39703323369366,239405604626538,1
315,620,565475941910880,42033246248272,386190745997616,1
320,620,2261903767643520,162059213506074,1162115380308582,1
366,620,34494032456563680,2483024996642692,18454444962234876,1
384,620,4523807535287040,320498671846078,2096186185154754,1
