q	r	grid	cells	atoms	active_base	active_base_fnv	active_joint	active_nonjoint	inactive_joint	inactive_joint_fnv	active_additions	addition_activity_fnv	exposed	exposed_fnv	stage0_cut0_fail	stage0_failure_fnv	stage1_cut1_fail	stage1_failure_fnv	stage2_cut2_fail	stage2_failure_fnv	stage3_cut11_fail	stage3_failure_fnv	stage4_cut42_fail	stage4_failure_fnv	stage5_cut45_fail	stage5_failure_fnv
294	652	20813162894203680	9017	2357	8477	2833fe095affda36	419	8058	2	19a6a8e163b93fee	45	dd665547f56391be	12	cca6cdb377cd0ee8	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	653	83380339692730080	9025	2341	7563	667f9810938d53cb	415	7148	6	66153538bbac45ff	45	7f9fcd4caf9ee91b	70	24e9518c29684a0e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	654	13918004634774240	9025	2343	6301	63aeec86a465cad0	395	5906	26	98580703ada3cffb	44	24610449fb0048b9	520	ae6ef05dc4e556c6	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	655	16727143184912160	9021	2331	8293	f7ad2bc6b2f6f8d7	419	7874	2	b464de94063d6d2	45	6c4b1bffc588c16d	7	a5e10fb63c075e5e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	657	9321232461821280	9029	2356	7976	41a78aff52cf4e9	420	7556	1	50e30e1e953ec46e	45	cd859cbea7a85e46	15	1c270637bfbf5901	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	659	84146468388222240	9037	2372	7942	60a1debee1c0330b	420	7522	1	c16e2c2c393d6b73	45	24d0ccd6157c2161	7	ff54e1a79a5cf463	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
308	650	91205797082400	8925	2363	7750	7e421b71a0a5232d	420	7330	1	bab4292c1119f77	44	b91e727bdfcc504b	11	fb46e4572585dedc	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
316	650	7205257969509600	8989	2290	7380	3c9b5547cdf229fb	419	6961	2	5766bf20b6467b06	45	460b816574ad7c0	26	75061efaac18822e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
332	650	7570081157839200	9021	2291	7417	8e484ec9d9b3ec56	418	6999	3	303cbd59d2dbae91	44	dcee8f3112c5bed6	59	5f319d36c4710953	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
332	654	165027769240894560	9093	2295	7441	1c9d58b3291e5538	418	7023	3	5aff0de92b0c92f	45	7662541f699f82a4	21	1fd5084bd26840b	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
335	650	6110788404520800	9025	2304	7146	9c12442ec328f704	418	6728	3	5aa4f8011de5d1dd	44	d8790273e86676	24	959d03a838327341	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
366	647	719923838690216160	9145	2332	5640	d7d0dc63b7f94a6e	414	5226	7	b0a2cd7d73125d68	43	d0b415f8eb980703	118	f421ddd659c80aac	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
366	648	10014396519647520	9133	2315	5989	e1507005151a51e5	416	5573	5	140cf4571b019d66	44	d172de7097fae1c4	63	8c3b7c5fe820b36c	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
366	650	5563553622026400	9085	2329	4262	ac3b9e5b9361d365	377	3885	44	8c5ffb80ed9c46b7	37	89ee7d67fb28ad20	1699	59e6dfe168345d33	18	d44829a29524905f	18	d44829a29524905f	18	d44829a29524905f	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
366	652	181371848078060640	9149	2318	6125	80684c17c92a0d15	417	5708	4	9d6f5327cad0f710	42	eedfce7c0a20c748	42	763e832f381b4303	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
366	654	121285468960175520	9157	2302	6548	8cc2510206652c79	420	6128	1	fb5c12d28c26c287	44	fd15447b3947e34	14	e4d9a93ce8a16d46	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
366	656	45621139700616480	9133	2328	6543	b5d2413b9ef03dbe	417	6126	4	ef849aec4b9f2793	44	d6518deb6d6e0bf6	34	c204cd81b46ba84b	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
370	650	3374614492048800	9085	2287	7823	98633387cba9b75e	420	7403	1	956cd7eea8b807ec	43	396813853bc22e49	20	1bb5ae1c6cf58069	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
370	660	674922898409760	9173	2299	8172	5afc0f0594075289	420	7752	1	3c94cf5d6ad9b378	44	76269bfd3eb5193d	11	ad82f8a539bc3b1b	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
372	647	365862934416339360	9145	2316	7752	86711ffce89a25a1	420	7332	1	277e49b941e506ea	45	7ce5dbad9f1e1278	6	8d5f23cbae6449ef	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
372	650	2827379709554400	9085	2312	6906	cdb0eade7394319f	418	6488	3	dfda13b46f8595d4	45	3e0c8d639bfe1361	27	3bc80dcd1ea6c05	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
372	653	369255790067804640	9157	2314	7504	fd7c7ffb976c5e16	420	7084	1	a8ac243310b01bd	45	2de1dd30636d2c30	12	26701566d553bb08	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
372	660	565475941910880	9173	2339	7448	df7d71e884a42ab6	419	7029	2	7866e3ca29d0f0ad	45	5daa4d402346887a	21	24c6673231ca30e2	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
381	650	11583136229464800	9125	2323	7921	d3ba4c512f82d0bc	419	7502	2	c1045f9589767d31	45	657ab2d569e3e67f	38	4640296c5e96ac2d	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
383	647	4520177544563160480	9189	2324	7145	28143f7033b0149e	419	6726	2	f557de1adaaf7044	44	b759508996ab5401	18	9075cffa20fa354e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
383	650	34931820282559200	9129	2314	7688	5bf8df74266d9a76	420	7268	1	8f6564224102b496	45	547844565bf82683	8	4ebad120ec162881	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
383	654	761513682159790560	9201	2298	8243	4d1ca8fd8d954ec8	420	7823	1	8f6564224102b496	45	560e8abd6c5e532f	8	4ebad120ec162881	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
384	647	94416241139700480	9193	2311	7475	82dd0c352def90f0	418	7057	3	5fc250b479bd4356	44	3c9d59233194451	21	1eb9349dc6a4399	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
384	648	1313363477986560	9181	2296	5479	eca7e4ee826e8f92	387	5092	34	4aad19810fb5220c	39	f7ad84025d9497f	762	a703af70923ecbe0	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
384	650	729646376659200	9133	2310	5148	2a9860bf8ee716d3	384	4764	37	d75651b4ceefe4bb	36	3e4ab6d112488b4f	1065	2e6957617d71262e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
384	653	95291816791691520	9205	2300	7616	efe5964ab84315b3	420	7196	1	f5ca19aba5c757ed	45	c4959849929576a0	7	cefe6187fd47e254	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
384	660	145929275331840	9221	2332	6479	eb08d731da1fd1cd	416	6063	5	61e941886fab5f6e	44	7d7fa57821d3eec2	47	b720626bcaf53220	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
390	654	1988286376396320	9157	2310	7946	4228c5bd2cde2b17	419	7527	2	a4d6cd97aaa70a45	45	e8ab9e65c4f4bf06	41	e0ca08354d51363e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
