======================================================================
n=5 SC TOURNAMENTS: b1 vs c3 DETAILED
======================================================================

n=5 SC: (score, c3, b1) => count
  score=(1, 1, 2, 3, 3), c3=3, b1=0: 120
  score=(1, 1, 2, 3, 3), c3=3, b1=1: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=0: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=1: 160
  score=(2, 2, 2, 2, 2), c3=5, b1=1: 24

======================================================================
SCORE (1,2,2,2,3) at n=5: b1 vs c3
======================================================================

  bits=825, b1=1, SC=True
  bits=828, b1=1, SC=True
  bits=829, b1=0, SC=True
  bits=838, b1=1, SC=True
  bits=853, b1=1, SC=True
  bits=867, b1=0, SC=True
  bits=869, b1=0, SC=True
  bits=870, b1=0, SC=True
  bits=871, b1=1, SC=True
  bits=885, b1=1, SC=True
  bits=902, b1=1, SC=True
  bits=914, b1=1, SC=True
  bits=915, b1=1, SC=True
  bits=916, b1=0, SC=True
  bits=917, b1=1, SC=True
  bits=919, b1=0, SC=True
  bits=922, b1=0, SC=True
  bits=924, b1=1, SC=True
  bits=926, b1=1, SC=True
  bits=930, b1=1, SC=True
  bits=931, b1=0, SC=True
  bits=934, b1=0, SC=True
  bits=938, b1=0, SC=True
  bits=945, b1=1, SC=True
  bits=946, b1=0, SC=True
  bits=949, b1=0, SC=True
  bits=950, b1=1, SC=True
  bits=951, b1=1, SC=True
  bits=953, b1=1, SC=True
  bits=954, b1=1, SC=True
  bits=955, b1=0, SC=True
  bits=966, b1=1, SC=True
  bits=979, b1=0, SC=True
  bits=981, b1=0, SC=True
  bits=982, b1=0, SC=True
  bits=983, b1=1, SC=True
  bits=995, b1=1, SC=True
  bits=1011, b1=1, SC=True

======================================================================
n=7 KAPPA>=2: BAD VERTEX STRUCTURE
======================================================================
  Found 100 (1s)
  Found 200 (2s)
  Found 300 (3s)
  Found 400 (4s)
  Found 500 (5s)
  Found 600 (6s)
  Found 700 (7s)
  Found 800 (8s)

n=7: 887 kappa>=2 + SC + b1=0 tournaments (9s)

Sum_v b1(T\v) distribution:
  Sum=0: 333
  Sum=1: 165
  Sum=2: 173
  Sum=3: 216

Bad vertex patterns:
  0 bad, pattern=none: 333
  1 bad, pattern=single: 165
  2 bad, pattern=trans: 173
  3 bad, pattern=trans: 216

c3(T\v) at BAD vertices:
  c3=4: 8
  c3=5: 51
  c3=6: 367
  c3=7: 161
  c3=8: 572

c3(T\v) at GOOD vertices:
  c3=4: 141
  c3=5: 308
  c3=6: 1504
  c3=7: 1756
  c3=8: 1341

Score of T\v at BAD:
  (2, 2, 2, 3, 3, 3): 572
  (1, 2, 2, 3, 3, 4): 367
  (2, 2, 2, 2, 3, 4): 93
  (1, 2, 3, 3, 3, 3): 68
  (1, 2, 2, 2, 4, 4): 26
  (1, 1, 3, 3, 3, 4): 25
  (1, 1, 2, 3, 4, 4): 8

Score of T\v at GOOD:
  (1, 2, 2, 3, 3, 4): 1504
  (2, 2, 2, 3, 3, 3): 1341
  (1, 2, 3, 3, 3, 3): 891
  (2, 2, 2, 2, 3, 4): 865
  (1, 1, 3, 3, 3, 4): 154
  (1, 2, 2, 2, 4, 4): 154
  (1, 1, 2, 3, 4, 4): 141

======================================================================
AVERAGING ARGUMENT VIA c3
======================================================================

At n=6 kappa>=2: c3(T)=8 always
  avg c3(v) = 3*8/6 = 4
  max c3(v) >= 4, so min c3(T\v) <= 4
  From data: c3(T\v)<=4 => GOOD (verified 100%)
  Therefore: good vertex always exists at n=6!

BUT: c3(T\v)=4 can be BAD (2880 cases at n=6)
This means the c3 averaging argument is NOT sufficient.

Re-examination: at n=6 kappa>=2, c3(T\v)=4:
  Good: 4320, Bad: 2880
  Key: at n=5, score (1,2,2,2,3), c3=4 has both b1=0 (120) and b1=1 (120)
  And score (2,2,2,2,2), c3=4 has b1=0 (120) and b1=1 (40)

======================================================================
SC + c3=5 at n=5: b1 ALWAYS 1?
======================================================================

Variance of c3(v) at n=6 kappa>=2:
  max_c3v=4 at bits=1332, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=1337, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=1363, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=1368, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=1426, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=1429, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2196, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2202, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2377, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2394, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2473, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2485, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2739, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2744, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2858, c3_vs=[4, 4, 4, 4, 4, 4]
