body	d1	d2	low	excess
1,5,9,11,12,14	120	24255	243	34729/119189070
1,5,9,11,12,14	120	48510	243	34729/119189070
1,5,9,11,12,14	120	97020	243	34729/119189070
1,5,9,11,12,14	126	6468	243	34729/119189070
1,5,9,11,12,14	126	8085	243	34729/119189070
1,5,9,11,12,14	126	12936	243	34729/119189070
1,5,9,11,12,14	126	16170	243	34729/119189070
1,5,9,11,12,14	126	19404	243	34729/119189070
1,5,9,11,12,14	126	24255	243	34729/119189070
1,5,9,11,12,14	126	32340	243	34729/119189070
1,5,9,11,12,14	126	38808	243	34729/119189070
1,5,9,11,12,14	126	48510	243	34729/119189070
1,5,9,11,12,14	126	64680	243	34729/119189070
1,5,9,11,12,14	126	97020	243	34729/119189070
1,5,9,11,12,14	126	194040	243	34729/119189070
1,5,9,11,12,14	132	441	243	34729/119189070
1,5,9,11,12,14	132	882	243	34729/119189070
1,5,9,11,12,14	132	1764	243	34729/119189070
1,5,9,11,12,14	132	2205	243	34729/119189070
1,5,9,11,12,14	132	4410	243	34729/119189070
1,5,9,11,12,14	132	4851	243	34729/119189070
1,5,9,11,12,14	132	8820	243	34729/119189070
1,5,9,11,12,14	132	9702	243	34729/119189070
1,5,9,11,12,14	132	19404	243	34729/119189070
1,5,9,11,12,14	132	24255	243	34729/119189070
1,5,9,11,12,14	132	48510	243	34729/119189070
1,5,9,11,12,14	132	97020	243	34729/119189070
1,5,9,11,12,14	147	396	243	34729/119189070
1,5,9,11,12,14	147	495	243	34729/119189070
1,5,9,11,12,14	147	990	243	34729/119189070
1,5,9,11,12,14	147	1980	243	34729/119189070
1,5,9,11,12,14	147	2772	243	34729/119189070
1,5,9,11,12,14	147	3465	243	34729/119189070
1,5,9,11,12,14	147	6930	243	34729/119189070
1,5,9,11,12,14	147	13860	243	34729/119189070
1,5,9,11,12,14	165	441	243	34729/119189070
1,5,9,11,12,14	165	882	243	34729/119189070
1,5,9,11,12,14	165	1764	243	34729/119189070
1,5,9,11,12,14	165	2205	243	34729/119189070
1,5,9,11,12,14	165	4410	243	34729/119189070
1,5,9,11,12,14	165	4851	243	34729/119189070
1,5,9,11,12,14	165	8820	243	34729/119189070
1,5,9,11,12,14	165	9702	243	34729/119189070
1,5,9,11,12,14	165	19404	243	34729/119189070
1,5,9,11,12,14	165	24255	243	34729/119189070
1,5,9,11,12,14	165	48510	243	34729/119189070
1,5,9,11,12,14	165	97020	243	34729/119189070
1,5,9,11,12,14	168	4851	243	34729/119189070
1,5,9,11,12,14	168	9702	243	34729/119189070
1,5,9,11,12,14	168	19404	243	34729/119189070
1,5,9,11,12,14	168	24255	243	34729/119189070
1,5,9,11,12,14	168	48510	243	34729/119189070
1,5,9,11,12,14	168	97020	243	34729/119189070
1,5,9,11,12,14	180	1617	243	34729/119189070
1,5,9,11,12,14	180	3234	243	34729/119189070
1,5,9,11,12,14	180	4851	243	34729/119189070
1,5,9,11,12,14	180	6468	243	34729/119189070
1,5,9,11,12,14	180	8085	243	34729/119189070
1,5,9,11,12,14	180	9702	243	34729/119189070
1,5,9,11,12,14	180	12936	243	34729/119189070
1,5,9,11,12,14	180	16170	243	34729/119189070
1,5,9,11,12,14	180	19404	243	34729/119189070
1,5,9,11,12,14	180	24255	243	34729/119189070
1,5,9,11,12,14	180	32340	243	34729/119189070
1,5,9,11,12,14	180	38808	243	34729/119189070
1,5,9,11,12,14	180	48510	243	34729/119189070
1,5,9,11,12,14	180	64680	243	34729/119189070
1,5,9,11,12,14	180	97020	243	34729/119189070
1,5,9,11,12,14	180	194040	243	34729/119189070
1,5,9,11,12,14	198	588	243	34729/119189070
1,5,9,11,12,14	198	735	243	34729/119189070
1,5,9,11,12,14	198	1176	243	34729/119189070
1,5,9,11,12,14	198	1470	243	34729/119189070
1,5,9,11,12,14	198	1764	243	34729/119189070
