body	d1	d2	d3	d4
2,5,9,11,12,14	165	4410	10780	21560
2,5,9,11,12,14	165	4851	10780	21560
2,5,9,11,12,14	165	8820	10780	21560
2,5,9,11,12,14	165	9702	10780	21560
2,5,9,11,12,14	165	10780	19404	21560
2,5,9,11,12,14	165	10780	21560	24255
2,5,9,11,12,14	165	10780	21560	48510
2,5,9,11,12,14	165	10780	21560	97020
2,5,9,11,12,14	168	4851	10780	21560
2,5,9,11,12,14	168	9702	10780	21560
2,5,9,11,12,14	168	9702	10780	24255
2,5,9,11,12,14	168	9702	10780	32340
2,5,9,11,12,14	168	10780	19404	21560
2,5,9,11,12,14	168	10780	19404	32340
2,5,9,11,12,14	168	10780	21560	24255
2,5,9,11,12,14	168	10780	21560	48510
2,5,9,11,12,14	168	10780	21560	97020
2,5,9,11,12,14	168	10780	24255	32340
2,5,9,11,12,14	180	1617	10780	21560
2,5,9,11,12,14	180	3234	10780	21560
2,5,9,11,12,14	180	6468	10780	21560
2,5,9,11,12,14	180	8085	10780	21560
2,5,9,11,12,14	180	10780	12936	21560
2,5,9,11,12,14	180	10780	16170	21560
2,5,9,11,12,14	180	10780	21560	32340
2,5,9,11,12,14	180	10780	21560	64680
2,5,9,11,12,14	198	588	10780	21560
2,5,9,11,12,14	198	735	10780	21560
2,5,9,11,12,14	198	1176	10780	21560
2,5,9,11,12,14	198	1470	10780	21560
2,5,9,11,12,14	198	2940	10780	21560
2,5,9,11,12,14	198	3528	8085	10780
2,5,9,11,12,14	198	3528	10780	16170
2,5,9,11,12,14	198	3528	10780	24255
2,5,9,11,12,14	198	3528	10780	32340
2,5,9,11,12,14	198	3528	10780	48510
2,5,9,11,12,14	198	3528	10780	64680
2,5,9,11,12,14	198	3528	10780	97020
2,5,9,11,12,14	198	3528	10780	194040
2,5,9,11,12,14	198	5880	10780	21560
2,5,9,11,12,14	198	5880	10780	32340
2,5,9,11,12,14	198	6468	10780	21560
2,5,9,11,12,14	198	8085	10780	21560
2,5,9,11,12,14	198	10780	12936	21560
2,5,9,11,12,14	198	10780	16170	21560
2,5,9,11,12,14	198	10780	17640	32340
2,5,9,11,12,14	198	10780	21560	32340
2,5,9,11,12,14	198	10780	21560	64680
2,5,9,11,12,14	198	10780	32340	38808
2,5,9,11,12,14	198	10780	32340	194040
2,5,9,11,12,14	210	4851	10780	21560
2,5,9,11,12,14	210	9702	10780	21560
2,5,9,11,12,14	210	10780	19404	21560
2,5,9,11,12,14	210	10780	21560	24255
2,5,9,11,12,14	210	10780	21560	48510
2,5,9,11,12,14	210	10780	21560	97020
2,5,9,11,12,14	231	1764	10780	21560
2,5,9,11,12,14	231	2205	10780	21560
2,5,9,11,12,14	231	3528	10780	24255
2,5,9,11,12,14	231	3528	10780	48510
2,5,9,11,12,14	231	4410	10780	21560
2,5,9,11,12,14	231	8820	10780	21560
2,5,9,11,12,14	231	10780	19404	21560
2,5,9,11,12,14	231	10780	21560	24255
2,5,9,11,12,14	231	10780	21560	48510
2,5,9,11,12,14	231	10780	21560	97020
2,5,9,11,12,14	252	1617	10780	21560
2,5,9,11,12,14	252	3234	10780	21560
2,5,9,11,12,14	252	4312	10780	32340
2,5,9,11,12,14	252	6468	10780	21560
2,5,9,11,12,14	252	8085	10780	21560
2,5,9,11,12,14	252	10780	12936	21560
2,5,9,11,12,14	252	10780	12936	32340
2,5,9,11,12,14	252	10780	16170	21560
2,5,9,11,12,14	252	10780	21560	32340
2,5,9,11,12,14	252	10780	21560	64680
2,5,9,11,12,14	252	10780	32340	64680
