H-SPECTRUM: n=8, m=28, EXHAUSTIVE (268435456 tournaments)
Processing lower half [0,134217728) in 174763 chunks of B=768; counts doubled by reversal symmetry. Cores: 24
  142336/174763 chunks  prefix=109314048/134217728  84203/s  ETA 296s  distinct=320
  143360/174763 chunks  prefix=110100480/134217728  84206/s  ETA 286s  distinct=320
  144384/174763 chunks  prefix=110886912/134217728  84220/s  ETA 277s  distinct=320
  145408/174763 chunks  prefix=111673344/134217728  84214/s  ETA 268s  distinct=320
  146432/174763 chunks  prefix=112459776/134217728  84204/s  ETA 258s  distinct=320
  147456/174763 chunks  prefix=113246208/134217728  84206/s  ETA 249s  distinct=320
  148480/174763 chunks  prefix=114032640/134217728  84204/s  ETA 240s  distinct=320
  149504/174763 chunks  prefix=114819072/134217728  84202/s  ETA 230s  distinct=320
  150528/174763 chunks  prefix=115605504/134217728  84198/s  ETA 221s  distinct=320
  151552/174763 chunks  prefix=116391936/134217728  84195/s  ETA 212s  distinct=320
  152576/174763 chunks  prefix=117178368/134217728  84189/s  ETA 202s  distinct=320
  153600/174763 chunks  prefix=117964800/134217728  84191/s  ETA 193s  distinct=320
  154624/174763 chunks  prefix=118751232/134217728  84188/s  ETA 184s  distinct=320
  155648/174763 chunks  prefix=119537664/134217728  84182/s  ETA 174s  distinct=320
  156672/174763 chunks  prefix=120324096/134217728  84175/s  ETA 165s  distinct=320
  157696/174763 chunks  prefix=121110528/134217728  84177/s  ETA 156s  distinct=320
  158720/174763 chunks  prefix=121896960/134217728  84164/s  ETA 146s  distinct=320
  159744/174763 chunks  prefix=122683392/134217728  84150/s  ETA 137s  distinct=320
  160768/174763 chunks  prefix=123469824/134217728  84141/s  ETA 128s  distinct=320
  161792/174763 chunks  prefix=124256256/134217728  84132/s  ETA 118s  distinct=320
  162816/174763 chunks  prefix=125042688/134217728  84129/s  ETA 109s  distinct=320
  163840/174763 chunks  prefix=125829120/134217728  84131/s  ETA 100s  distinct=320
  164864/174763 chunks  prefix=126615552/134217728  84134/s  ETA 90s  distinct=320
  165888/174763 chunks  prefix=127401984/134217728  84135/s  ETA 81s  distinct=320
