LRC H UPPER-MEDIAN TWO-STAR MATCHING -- FINITE-EXACT SCOUT
body=(1, 2, 3, 4, 6, 12);ruler=168;cell=90;edges=((0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5))
D=10;m=20;threshold_checks=111;certified_floor=13165615419819/1000000000000000;representative_margin=257781870242876202/11531708867887507915;levels=(20, 21, 22, 23, 24, 25);edge=(0, 4);gain=52660/2253889;debt=11645678754858898/11531708867887507915
D=10;m=21;threshold_checks=110;certified_floor=13216473121688/1000000000000000;representative_margin=3072563561728912/151470137189432061;levels=(21, 22, 23, 24, 25, 26);edge=(0, 4);gain=17466/821791;debt=146718976228574/151470137189432061
D=10;m=22;threshold_checks=110;certified_floor=13262697100516/1000000000000000;representative_margin=382543627664661532/19285105474083917195;levels=(22, 23, 24, 25, 26, 27);edge=(1, 5);gain=15118/727987;debt=17947348901129698/19285105474083917195
D=10;m=23;threshold_checks=110;certified_floor=13304893042792/1000000000000000;representative_margin=99207026901003802/4910141055042749435;levels=(23, 24, 25, 26, 27, 28);edge=(1, 4);gain=1284/60853;debt=4397086530953378/4910141055042749435
D=10;m=24;threshold_checks=110;certified_floor=13379138064351/1000000000000000;representative_margin=53403301153462/2636209641719115;levels=(24, 25, 26, 27, 28, 29);edge=(1, 4);gain=34712/1643517;debt=2274923704178/2636209641719115
D=10;m=25;threshold_checks=110;certified_floor=13386935096390/1000000000000000;representative_margin=3650845692098127/175163084737756675;levels=(25, 26, 27, 28, 29, 30);edge=(0, 5);gain=38135/1759381;debt=32234102733960058/38711041727044225175
D=10;m=26;threshold_checks=110;certified_floor=13419766174163/1000000000000000;representative_margin=958369412937408030/48011158323684156139;levels=(26, 27, 28, 29, 30, 31);edge=(1, 5);gain=20384/981611;debt=38623745523507586/48011158323684156139
D=10;m=27;threshold_checks=110;certified_floor=13450160910690/1000000000000000;representative_margin=141713377670055614/6566838287381973615;levels=(27, 28, 29, 30, 31, 32);edge=(0, 3);gain=127656/5709565;debt=5109770575744762/6566838287381973615
D=10;m=28;threshold_checks=110;certified_floor=13504651203495/1000000000000000;representative_margin=294238720766600194/14449537065442957135;levels=(28, 29, 30, 31, 32, 33);edge=(1, 4);gain=9204/435865;debt=10886809272143402/14449537065442957135
D=10;m=29;threshold_checks=110;certified_floor=17652709667114/1000000000000000;representative_margin=354007197846720163/17548707497421375275;levels=(29, 30, 31, 32, 33, 34);edge=(0, 3);gain=136743/6541753;debt=12815412135633362/17548707497421375275
D=10;m=30;threshold_checks=110;certified_floor=13535014937611/1000000000000000;representative_margin=231888708293455328/11768166175979921715;levels=(30, 31, 32, 33, 34, 35);edge=(1, 2);gain=10574/517997;debt=8337758548653202/11768166175979921715
D=11;m=11;threshold_checks=135;certified_floor=7493767949521/1000000000000000;representative_margin=16713379458545496/519141567544542439;levels=(11, 12, 13, 14, 15, 16);edge=(1, 5);gain=7598/224561;debt=851725925752906/519141567544542439
D=11;m=12;threshold_checks=134;certified_floor=7793543569653/1000000000000000;representative_margin=2382351739549148/89212068316478835;levels=(12, 13, 14, 15, 16, 17);edge=(0, 3);gain=7158/253487;debt=136830644594242/89212068316478835
D=11;m=13;threshold_checks=134;certified_floor=12562412699007/1000000000000000;representative_margin=40060606294670/1928241551024327;levels=(13, 14, 15, 16, 17, 18);edge=(1, 5);gain=6552/294925;debt=69421406362282/48206038775608175
D=11;m=14;threshold_checks=134;certified_floor=7928968104279/1000000000000000;representative_margin=1543127358489946/70495730424941059;levels=(14, 15, 16, 17, 18, 19);edge=(1, 5);gain=7756/333635;debt=478420863009722/352478652124705295
D=11;m=15;threshold_checks=133;certified_floor=8120024362372/1000000000000000;representative_margin=1824320983737806/93296349057753765;levels=(15, 16, 17, 18, 19, 20);edge=(1, 4);gain=14860/713133;debt=39917869879498/31098783019251255
D=11;m=16;threshold_checks=134;certified_floor=12887501211097/1000000000000000;representative_margin=70801232182957366/3528230092342276139;levels=(16, 17, 18, 19, 20, 21);edge=(0, 2);gain=57592/2705809;debt=4295652881057266/3528230092342276139
