a	b	c	denominator	E0_numerator	E1_numerator	E2_numerator	mass_numerator	raw_carriers
35	49	58	4177740	125790	114660	126672	73080	6
35	49	59	4249770	118440	129360	128856	74340	6
35	49	61	4393830	129780	188160	153720	76860	8
35	49	62	4465860	145110	158760	156240	78120	8
35	50	52	3822000	93240	55800	93600	55800	4
35	50	53	3895500	82950	128400	154230	70200	6
35	50	56	4116000	115920	75600	100800	75600	4
35	50	58	4263000	110040	104400	166020	68280	6
35	50	59	4336500	75600	126000	103710	75600	4
35	50	61	4483500	74550	147600	168090	65400	6
35	50	62	4557000	115920	124200	168780	84720	6
35	52	53	4051320	0	0	0	0	0
35	52	55	4204200	84630	165360	138270	75240	6
35	52	56	4280640	100800	78624	115584	78624	4
35	52	58	4433520	66780	90792	159480	30936	6
35	52	59	4509960	129570	109824	108354	108354	4
35	52	61	4662840	268380	376272	267192	251532	12
35	52	62	4739280	132720	110760	150336	91536	6
35	53	55	4285050	92400	146280	127380	63780	6
35	53	56	4362960	106050	135786	159516	80136	6
35	53	58	4518780	133140	114798	148212	83532	6
35	53	59	4596690	70560	139284	157632	61584	6
35	53	61	4752510	112560	200340	189192	112560	6
35	53	62	4830420	18480	128154	92256	18480	4
35	55	56	4527600	98070	140910	178080	83160	6
35	55	58	4689300	124740	124410	114540	110550	4
35	55	59	4770150	93240	144540	230640	61380	8
35	55	61	4931850	101640	120780	164460	68700	6
35	55	62	5012700	137130	119130	117660	117660	4
35	56	58	4774560	146160	173376	175392	87696	8
35	56	59	4856880	148680	208992	178416	89208	8
35	56	61	5021520	138600	153888	156282	92232	6
35	56	62	5103840	140700	139104	158844	93744	6
35	58	59	5030340	118440	254736	292320	118440	8
35	58	61	5200860	74970	178176	154332	64356	6
35	58	62	5286120	51240	66120	135204	35244	4
35	59	61	5290530	126000	162132	297360	126000	8
35	59	62	5377260	181440	144432	165108	94548	8
35	61	62	5559540	139440	170922	200364	89826	8
37	38	40	2362080	23088	76608	24000	9180	4
37	38	41	2421132	46176	68400	45264	26568	4
37	38	43	2539236	81030	93936	80238	44244	6
37	38	44	2598288	83028	92796	74712	35772	6
37	38	46	2716392	93240	36936	66240	36936	4
37	38	47	2775444	51060	60648	79524	32166	4
37	38	49	2893548	73260	80712	88248	35412	6
37	38	50	2952600	48840	29640	88716	20340	4
37	38	52	3070704	114552	74100	86184	48888	6
37	38	53	3129756	46620	75240	101232	46620	4
37	38	55	3247860	98790	151392	138522	98790	6
37	38	56	3306912	202020	278844	177840	177168	12
37	38	58	3425016	140304	83220	140556	83220	6
37	38	59	3484068	90354	64296	101232	64296	4
37	38	61	3602172	116994	98496	92340	73188	6
37	38	62	3661224	86136	42864	77028	42864	4
37	40	41	2548560	36408	72000	75666	35928	4
37	40	43	2672880	247752	164160	257358	164160	12
37	40	44	2735040	80808	77520	97632	45552	6
37	40	46	2859360	46176	75840	15456	15456	4
37	40	47	2921520	86802	153600	84882	80562	6
37	40	49	3045840	47064	83520	57624	32184	4
37	40	50	3108000	57720	74880	67980	43560	4
37	40	52	3232320	85248	77760	106560	77760	4
37	40	53	3294480	77256	104640	80136	75336	4
37	40	55	3418800	81030	104640	108720	56550	6
37	40	56	3480960	92352	113520	123840	63360	6
37	40	58	3605280	130980	122400	143412	53136	8
37	40	59	3667440	66600	87840	106560	66600	4
37	40	61	3791760	111666	73920	109122	63042	6
37	40	62	3853920	98124	105120	100152	59832	6
37	41	43	2739702	15540	86100	48504	15540	4
37	41	44	2803416	89022	101844	100548	59220	6
37	41	46	2930844	78588	101844	71208	71208	4
37	41	47	2994558	82140	68388	53016	41304	4
37	41	49	3121986	20424	95940	34692	12060	4
37	41	50	3185700	109002	56088	77400	56088	4
37	41	52	3313128	64602	62730	122004	24042	6
37	41	53	3376842	102120	92496	76320	36192	6
37	41	55	3504270	86136	97416	139752	57756	6
37	41	56	3567984	51504	75030	95604	50832	4
37	41	58	3695412	98346	100122	100548	57498	6
37	41	59	3759126	135864	97416	149484	65568	8
37	41	61	3886554	87912	137268	118296	67740	6
37	41	62	3950268	79698	82902	75144	53376	4
37	43	44	2940168	50616	71208	113244	50616	4
37	43	46	3073812	28638	120486	71208	10320	6
37	43	47	3140634	70152	75852	60348	38160	4
37	43	49	3274278	282828	202272	298008	202272	12
37	43	50	3341100	98790	86430	94200	49134	6
37	43	52	3474744	87246	86688	119676	48288	6
37	43	53	3541566	123432	86172	103068	56448	6
37	43	55	3675210	43512	88752	24420	17712	4
37	43	56	3742032	85248	60888	81312	47790	4
37	43	58	3875676	87912	71208	114552	71208	4
37	43	59	3942498	103896	143964	168432	70620	8
37	43	61	4076142	105672	115068	94428	48912	6
37	43	62	4142964	130314	202788	229104	130314	8
37	44	46	3145296	99012	78936	89148	44304	6
37	44	47	3213672	74592	62832	69936	43074	4
37	44	49	3350424	80142	97152	118686	58020	6
37	44	50	3418800	106560	93456	82800	82800	4
37	44	52	3555552	106560	224928	189960	106560	8
37	44	53	3623928	82584	79728	69960	51534	4
37	44	55	3760680	63492	90288	78738	51876	4
37	44	56	3829056	117216	128040	139392	67080	8
37	44	58	3965808	55056	80256	18096	18096	4
37	44	59	4034184	239982	330000	223416	218334	12
37	44	61	4170936	88578	102960	134418	54120	6
37	44	62	4239312	152292	114048	157392	69924	8
37	46	47	3359748	80142	111504	92214	41352	6
37	46	49	3502716	48840	96048	76440	39456	4
37	46	50	3574200	53280	122544	86400	53280	4
37	46	52	3717168	105672	154008	115248	56268	8
37	46	53	3788652	95238	98256	112788	45948	6
37	46	55	3931620	316794	241224	337926	241224	12
37	46	56	4003104	122544	207000	243960	122544	8
37	46	58	4146072	106560	137448	132264	81444	6
37	46	59	4217556	91686	115920	163224	66552	6
37	46	61	4360524	77256	122544	101166	77256	4
37	46	62	4432008	120768	82800	112236	82800	4
37	47	49	3578862	87912	140436	165504	63804	8
37	47	50	3651900	82584	87984	125208	82584	4
37	47	52	3797976	16872	106314	69888	16872	4
37	47	53	3871014	67932	125208	106848	67932	4
37	47	55	4017090	133200	107160	118044	80748	6
37	47	56	4090128	50172	46812	114348	27324	4
37	47	58	4236204	101010	187812	121068	101010	6
37	47	59	4309242	135864	144384	161724	78336	8
37	47	61	4455318	69264	106032	125208	69264	4
37	47	62	4528356	96570	111672	145932	62448	6
37	49	50	3807300	114552	204918	247536	114552	8
37	49	52	3959592	125208	95256	108576	95256	4
37	49	53	4035738	45732	99372	102792	45732	4
37	49	55	4188030	30636	153468	102960	17700	6
37	49	56	4264176	122766	130536	109536	74592	6
37	49	58	4416468	108114	146412	142524	85476	6
37	49	59	4492614	125208	97608	158724	65040	6
37	49	61	4644906	391164	282828	416256	282828	14
37	49	62	4721052	65268	4998	7440	4998	2
37	50	52	4040400	116772	122700	197160	111468	6
37	50	53	4118100	128094	100200	125748	68694	6
37	50	55	4273500	101010	126600	141840	83010	6
37	50	56	4351200	60384	95700	118944	49968	4
37	50	58	4506600	66600	92700	160560	31452	6
37	50	59	4584300	79920	119400	133200	79920	4
37	50	61	4739700	66600	4200	8418	4200	2
37	50	62	4817400	277944	381600	271584	259944	12
37	52	53	4282824	104118	156624	138966	80316	6
37	52	55	4444440	117216	187200	148428	59184	8
37	52	56	4525248	106560	108576	138528	102864	4
37	52	58	4686864	127872	86112	112752	86112	4
37	52	59	4767672	69264	2496	10266	2496	2
37	52	61	4929288	75924	138528	125994	75924	4
37	52	62	5010096	104784	185640	165312	68868	8
37	53	55	4529910	134976	111936	137916	72648	6
37	53	56	4612272	122544	194298	153288	89010	8
37	53	58	4776996	67710	1590	11136	1590	2
37	53	59	4859358	111888	116388	87084	87084	4
37	53	61	5024082	41292	177444	96624	19668	6
37	53	62	5106444	121212	165996	162108	96090	6
37	55	56	4786320	0	0	0	0	0
37	55	58	4957260	133200	168300	205500	97704	8
37	55	59	5042730	105228	146520	121068	105228	4
37	55	61	5213670	73260	147180	180924	67404	6
37	55	62	5299140	152958	144540	153612	105342	6
37	56	58	5047392	140748	153216	125628	81288	6
37	56	59	5134416	138528	173376	216648	74808	8
37	56	61	5308464	118770	173376	150720	98640	6
37	56	62	5395488	51504	67872	141924	36252	4
37	58	59	5317788	115662	174000	189828	99654	6
37	58	61	5498052	169386	252648	217800	98850	10
37	58	62	5588184	109224	142680	164304	64956	6
37	59	61	5592846	133200	314352	169356	133200	8
37	59	62	5684532	198246	169920	136620	132402	6
37	61	62	5877228	141192	325008	287496	141192	8
38	40	41	2617440	18240	83520	39360	13680	4
38	40	43	2745120	93024	122160	97008	40884	8
38	40	47	3000480	95532	69360	115632	48600	6
38	40	49	3128160	77292	96000	93528	37896	6
38	40	53	3383520	60192	90720	109440	60192	4
38	40	55	3511200	83220	148320	149700	83220	6
38	40	59	3766560	303468	227520	202896	202668	12
38	40	61	3894240	217284	120720	188496	120720	8
38	41	43	2813748	51072	67896	81114	40986	4
38	41	44	2879184	262656	177120	272832	177120	12
