Investigating H=21 at n=8
Generating 500000 random tournaments

Compiling C extension...
C extension compiled successfully.
  50000/500000 done  (12743/s, ETA 35s)
  100000/500000 done  (12542/s, ETA 32s)
  150000/500000 done  (12115/s, ETA 29s)
  200000/500000 done  (12045/s, ETA 25s)
  250000/500000 done  (12236/s, ETA 20s)
  300000/500000 done  (12142/s, ETA 16s)
  350000/500000 done  (12236/s, ETA 12s)
  400000/500000 done  (12212/s, ETA 8s)
  450000/500000 done  (12161/s, ETA 4s)
  500000/500000 done  (12154/s, ETA 0s)

Completed in 41.1s (12154 tournaments/s)

============================================================
FULL H DISTRIBUTION (sorted by H value)
============================================================
    [358, 360, 362, 364, 366, 368, 370, 372, 374, 376, 378, 380, 382, 384, 386, 388, 390, 392, 394, 396]
    [398, 400, 402, 404, 406, 408, 410, 412, 414, 416, 418, 420, 422, 424, 426, 428, 430, 432, 434, 436]
    [438, 440, 442, 444, 446, 448, 450, 452, 454, 456, 458, 460, 462, 464, 466, 468, 470, 472, 474, 476]
    [478, 480, 482, 484, 486, 488, 490, 492, 494, 496, 498, 500, 502, 504, 506, 508, 510, 512, 514, 516]
    [518, 520, 522, 524, 526, 528, 530, 532, 534, 536, 538, 540, 542, 544, 546, 548, 550, 552, 554, 556]
    [558, 560, 562, 564, 566, 568, 570, 572, 574, 576, 578, 580, 582, 584, 586, 588, 590, 592, 594, 596]
    [598, 600, 602, 604, 606, 608, 610, 611, 612, 614, 615, 616, 617, 618, 619, 620, 622, 623, 624, 625]
    [626, 628, 630, 632, 634, 635, 636, 638, 640, 642, 644, 646, 647, 648, 650, 652, 654, 655, 656, 658]
    [660]

============================================================
H MOD 4 ANALYSIS
============================================================
  H ≡ 0 (mod 4): 0 distinct, 0 total (0.0%)
  H ≡ 1 (mod 4): 163 distinct, 260625 total (52.1%)
  H ≡ 2 (mod 4): 0 distinct, 0 total (0.0%)
  H ≡ 3 (mod 4): 157 distinct, 239375 total (47.9%)
