======================================================================
SUM b1(T\v) DELETION ANALYSIS — HYP-282
======================================================================

--- n=5 exhaustive (1024 tournaments) ---
  VIOLATION: bits=805, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=806, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=810, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=814, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=817, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=821, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=822, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=823, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=825, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=838, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=853, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=885, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=902, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=914, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=915, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=918, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=924, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=926, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=945, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=947, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=950, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=951, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=953, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=966, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=995, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=1011, scores=(1, 2, 2, 2, 3), sum=4, b1=1

  b1 distribution: {0: 720, 1: 304}
  Sum_v b1(T\v) distribution:
    sum=0: 240 (23.4%)
    sum=1: 240 (23.4%)
    sum=2: 120 (11.7%)
    sum=3: 280 (27.3%)
    sum=4: 120 (11.7%)
    sum=5: 24 (2.3%)
  #bad vertices distribution:
    #bad=0: 544
    #bad=1: 240
    #bad=2: 120
    #bad=3: 120
  Max sum: 5

--- n=6 exhaustive (32768 tournaments) ---
  VIOLATION: bits=16, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=24, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=28, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=30, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=48, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=56, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=60, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=61, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=80, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=88, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=112, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=120, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=121, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=125, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=144, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=176, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=189, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=208, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=240, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=241, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=249, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=253, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=257, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=259, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=261, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=263, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=265, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=267, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=269, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=270, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=271, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=272, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=273, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=280, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=284, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=286, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=317, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=377, scores=(1, 2, 3, 3, 3, 3), sum=5, b1=1
  VIOLATION: bits=381, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=385, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=387, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=389, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=390, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=391, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=398, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=401, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=406, scores=(1, 2, 3, 3, 3, 3), sum=5, b1=1
  VIOLATION: bits=408, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=409, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=412, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=414, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=445, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=449, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=450, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=451, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=454, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=458, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=462, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=465, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=466, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=470, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=473, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=474, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=476, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=477, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=478, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=481, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=497, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=505, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=509, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=528, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=536, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=538, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=542, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=560, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=568, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=592, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=600, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=602, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=603, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=624, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=632, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=633, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=635, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=656, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=688, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=720, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=731, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=752, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=753, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=761, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=763, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
