G_9 edge computation via nauty
n=9, m=36
Read 191536 classes in 0.34s

Phase 2: Computing (score, c3, H) for 191536 classes...
  10000/191536 (18.3s)
  20000/191536 (36.4s)
  30000/191536 (55.5s)
  40000/191536 (74.3s)
  50000/191536 (92.8s)
  60000/191536 (111.3s)
  70000/191536 (129.5s)
  80000/191536 (148.1s)
  90000/191536 (167.0s)
  100000/191536 (185.8s)
  110000/191536 (205.1s)
  120000/191536 (223.8s)
  130000/191536 (243.0s)
  140000/191536 (262.2s)
  150000/191536 (281.1s)
  160000/191536 (299.7s)
  170000/191536 (318.2s)
  180000/191536 (337.6s)
  190000/191536 (356.3s)
Phase 2 done: 32210 hash groups in 359.3s
Ambiguous groups: 22074

Phase 2b: Canonical forms for ambiguous groups...
  85000/191536 (7625.6s, ETA 9558s, 1999644 edges)
  90000/191536 (8089.2s, ETA 9126s, 2090674 edges)
  95000/191536 (8536.3s, ETA 8674s, 2176465 edges)
  100000/191536 (9006.7s, ETA 8244s, 2267340 edges)
  105000/191536 (9489.0s, ETA 7820s, 2348551 edges)
  110000/191536 (9969.2s, ETA 7390s, 2422517 edges)
  115000/191536 (10438.3s, ETA 6947s, 2501210 edges)
  120000/191536 (10860.5s, ETA 6474s, 2599996 edges)
  125000/191536 (11316.9s, ETA 6024s, 2691112 edges)
  130000/191536 (11785.8s, ETA 5579s, 2774182 edges)
  135000/191536 (12266.5s, ETA 5137s, 2852926 edges)
  140000/191536 (12741.9s, ETA 4690s, 2931218 edges)
  145000/191536 (13205.4s, ETA 4238s, 2988585 edges)
  150000/191536 (13641.7s, ETA 3777s, 3040196 edges)
  155000/191536 (14110.5s, ETA 3326s, 3086420 edges)
  160000/191536 (14563.0s, ETA 2870s, 3130852 edges)
  165000/191536 (14988.4s, ETA 2411s, 3184869 edges)
  170000/191536 (15453.5s, ETA 1958s, 3231809 edges)
  175000/191536 (15943.5s, ETA 1507s, 3271865 edges)
  180000/191536 (16415.0s, ETA 1052s, 3309062 edges)
  185000/191536 (16879.4s, ETA 596s, 3344986 edges)
  190000/191536 (17329.9s, ETA 140s, 3374530 edges)

Phase 3 done in 17486.9s

============================================================
RESULTS: G_9
============================================================
  Vertices: 191536
  EDGES: 3380751
  Self-loops: 44447
  avg_deg: 35.30
  avg_deg/m: 0.9806

  T_9 = 6847200
  T_9/E = 2.0253
  T_9/(2E) = 1.0127

*** |E(G_n)| SEQUENCE ***
  n=3: 1
  n=4: 5
  n=5: 30
  n=6: 290
  n=7: 4086
  n=8: 91161
  n=9: 3380751

Total time: 17982.1s
