======================================================================
SC MAXIMIZER — FIXED COMPLEMENTARY PAIR ANALYSIS (n=6)
======================================================================

  Total regular n=6 tournaments: 2640

  H=41: 720 tournaments
    Has invol anti-aut: 720/720
    comp_both (complement pairs both cyclic): {2: 720}
    alpha_2 (from full I.P.): {2: 720}
    Full IP: {(1, 16, 2): 720}

  H=43: 1440 tournaments
    Has invol anti-aut: 0/1440
    comp_both (complement pairs both cyclic): {1: 1440}
    alpha_2 (from full I.P.): {1: 1440}
    Full IP: {(1, 19, 1): 1440}

  H=45: 480 tournaments
    Has invol anti-aut: 480/480
    comp_both (complement pairs both cyclic): {1: 240, 4: 240}
    alpha_2 (from full I.P.): {1: 240, 4: 240}
    Full IP: {(1, 14, 4): 240, (1, 20, 1): 240}

  ===== THEOREM STRUCTURE =====
  comp_both -> alpha_2 -> H mapping:
  comp_both=1: 1680 tours, H={43: 1440, 45: 240}, alpha_2={1: 1680}, anti_aut=240/1680
  bits=2264: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2265: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2266: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2289: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2297: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2314: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2316: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2318: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2328: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2330: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2332: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2345: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2348: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2349: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2360: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2361: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2364: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2377: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2378: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2379: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2392: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2393: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2394: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2409: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2425: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2435: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2437: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2438: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2439: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2441: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2442: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2443: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2444: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2445: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2446: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2449: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2450: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2451: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2452: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2453: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2454: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2456: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2457: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2458: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2460: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2469: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2473: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2477: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2481: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2485: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2489: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2499: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2505: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2507: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2513: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2515: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2521: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2616: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2618: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2706: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2714: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2737: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
