==============================================================================
S702: lower-half deletion ladder M(AP_n \ {a}), a < n/2
  a= 2: M=    2/25=0.08000  1/M=25/2  t=12/25  binders=[4, 21]
  a= 3: M=    2/25=0.08000  1/M=25/2  t=8/25  binders=[6, 19]
  a= 4: M=    2/27=0.07407  1/M=27/2  t=20/27  binders=[8, 19]
  a= 5: M=    2/27=0.07407  1/M=27/2  t=11/27  binders=[10, 17]
  a= 6: M=    2/29=0.06897  1/M=29/2  t=5/29  binders=[12, 17]
  a= 7: M=    2/29=0.06897  1/M=29/2  t=25/29  binders=[14, 15]
  a= 8: M=    2/31=0.06452  1/M=31/2  t=27/31  binders=[15, 16]
  a= 9: M=    2/31=0.06452  1/M=31/2  t=24/31  binders=[13, 18]
  a=10: M=    2/33=0.06061  1/M=33/2  t=23/33  binders=[13, 20]

--- n=23  (1/n=1/23, 2/n=2/23) ---
  a= 1: M=    1/12=0.08333  1/M=12  t=1/24  binders=[2, 22]
  a= 2: M=    2/25=0.08000  1/M=25/2  t=12/25  binders=[4, 21]
  a= 3: M=    1/13=0.07692  1/M=13  t=17/26  binders=[6, 20]
  a= 4: M=    2/27=0.07407  1/M=27/2  t=20/27  binders=[8, 19]
  a= 5: M=    1/14=0.07143  1/M=14  t=11/28  binders=[10, 18]
  a= 6: M=    2/29=0.06897  1/M=29/2  t=5/29  binders=[12, 17]
  a= 7: M=    1/15=0.06667  1/M=15  t=13/30  binders=[14, 16]
  a= 8: M=    2/31=0.06452  1/M=31/2  t=27/31  binders=[15, 16]
