THM-1097 exact three-comb component certificate
arithmetic=integer-rational (__int128 cross-products)
target=7*k3*L>1
tail_mass_lower=4*ell/7-(6/49)*(1/k1+1/k2+1/k3)
tail_component_upper=ell*(k1+k2+k3)+31/7
tail_condition=21*ell*k3-7*ell*(k1+k2)-6*(k3/k1+k3/k2)-37>0
finite_k1_guard=floor(7/ell)+1
finite_k2_guard=floor(k1*(7*ell*k1+43)/(14*ell*k1-6))+1
finite_k3_guard=floor((7*ell*(k1+k2)+37)/(21*ell-6/k1-6/k2))+1
cores=220
core=[2,3,4,5,6,7,9,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,5,8,9,11,12] ell=1/33 finite_triples=14210 failures=0 hardest_triple=(183,188,191) min_7k3L=569/183
core=[1,2,3,4,6,8,9,11,12] ell=1/33 finite_triples=14210 failures=0 hardest_triple=(158,160,161) min_7k3L=1051/320
core=[1,2,3,5,6,8,9,11,12] ell=1/33 finite_triples=14210 failures=0 hardest_triple=(160,161,163) min_7k3L=524/161
core=[1,2,4,5,6,8,9,11,12] ell=13/308 finite_triples=30 failures=0 hardest_triple=(158,162,163) min_7k3L=20864/6399
core=[1,3,4,5,6,8,9,11,12] ell=1/33 finite_triples=14210 failures=0 hardest_triple=(183,188,191) min_7k3L=569/183
core=[2,3,4,5,6,8,9,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,7,8,9,11,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(158,160,161) min_7k3L=1051/320
core=[1,2,3,5,7,8,9,11,12] ell=2/147 finite_triples=1786675 failures=0 hardest_triple=(177,199,201) min_7k3L=27/11
core=[1,2,4,5,7,8,9,11,12] ell=13/441 finite_triples=18280 failures=0 hardest_triple=(158,160,162) min_7k3L=5/2
core=[1,3,4,5,7,8,9,11,12] ell=13/616 finite_triples=193326 failures=0 hardest_triple=(158,161,166) min_7k3L=821/322
core=[2,3,4,5,7,8,9,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,6,7,8,9,11,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(160,161,162) min_7k3L=105/32
core=[1,2,4,6,7,8,9,11,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(160,167,168) min_7k3L=1093/334
core=[1,3,4,6,7,8,9,11,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(160,177,178) min_7k3L=1157/354
core=[2,3,4,6,7,8,9,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,5,6,7,8,9,11,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(158,160,162) min_7k3L=5/2
core=[1,3,5,6,7,8,9,11,12] ell=25/924 finite_triples=37129 failures=0 hardest_triple=(162,180,198) min_7k3L=25/9
core=[2,3,5,6,7,8,9,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,4,5,6,7,8,9,11,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(162,167,172) min_7k3L=421/162
core=[2,4,5,6,7,8,9,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[3,4,5,6,7,8,9,11,12] ell=3/56 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,2,3,4,5,6,10,11,12] ell=1/21 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,2,3,4,5,7,10,11,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(160,163,175) min_7k3L=3/1
