w0,w1,weight,count8,least8,count9,least9
0000000000000000,0000000120040000,3,0,,6,082ce009
0000000000000000,0000000120050000,4,0,,1,086ca808
0000000000000000,0000000120100000,3,0,,15,002e600b
0000000000000000,0000000120110000,4,0,,1,006ea808
0000000000000000,0000000120140000,4,0,,31,002c201f
0000000000000000,0000000120150000,5,0,,3,006ce00a
0000000000000000,0000000120400000,3,1,082e0209,22,082e001b
0000000000000000,0000000120400001,4,2,082a0a09,23,082a020f
0000000000000000,0000000200000000,1,10,01250609,289,00256609
0000000000000000,0000000200004000,2,30,01212609,649,0021a649
0000000000000000,0000000200010000,2,0,,2,0065e408
0000000000000000,0000000200014000,3,0,,7,0863240a
0000000000000000,0000000200200000,2,0,,1,09670201
0000000000000000,0000000200800000,2,0,,1,09650209
0000000000000000,0000000200804000,3,0,,2,09610a09
0000000000000000,0000000200a00000,3,0,,1,09654201
0000000000000000,0000000201000000,2,0,,3,0165a808
0000000000000000,0000000220000000,2,0,,86,0025a20b
0000000000000000,0000000220004000,3,2,08632208,111,0023e209
0000000000000000,0000000220140000,4,0,,2,0065a809
0000000000000000,0000000221010000,4,0,,3,08672808
0000000000000000,0000000300000000,2,11,01248449,411,00248559
0000000000000000,0000000300004000,3,24,01208649,593,00208759
0000000000000000,0000000300010000,3,0,,4,0826e408
0000000000000000,0000000300014000,4,0,,3,0862ac08
0000000000000000,0000000300140000,4,0,,1,0064e109
0000000000000000,0000000301000000,3,0,,7,0164e00c
0000000000000000,0000000302000000,3,3,01242609,102,00246649
0000000000000000,0000000302004000,4,12,01204649,185,0120061f
0000000000000000,0000000302004001,5,0,,38,00606649
0000000000000000,0000000302400000,4,2,09260209,24,0926001b
0000000000000000,0000000302404000,5,2,09220a09,26,0922020f
0000000000000000,0000000320000000,3,0,,36,0024e20b
0000000000000000,0000000320004000,4,0,,31,0060e20d
0000000000000000,0000000320100000,4,0,,1,0066a809
0000000000000000,0000000320140000,5,0,,1,0064e809
0000000000000000,0000000321010000,5,0,,2,0866a808
0000000000000000,0000000322000000,4,0,,14,00662a09
0000000000000000,0000000322004001,6,1,08622209,16,00626a09
0000000000000000,0000000322400000,5,0,,7,0826420d
0000000000000000,0000000322404001,7,0,,9,0822021f
0000000000000000,0000000400000000,1,7,010d8209,212,000d8649
0000000000000000,0000000400001000,2,0,,1,004de440
0000000000000000,0000000400002000,2,0,,1,004dc640
0000000000000000,0000000400008000,2,25,0109820d,506,0009a60b
0000000000000000,0000000400009000,3,0,,1,0049e441
0000000000000000,000000040000a000,3,0,,10,0049c644
0000000000000000,0000000400018000,3,0,,1,084ba408
0000000000000000,000000040001a000,4,0,,1,084b8c08
0000000000000000,0000000404000000,2,0,,6,014d800b
0000000000000000,0000000410000000,2,0,,33,010d0649
0000000000000000,0000000418000000,3,15,010d0609,255,010d060b
0000000000000000,0000000418200000,4,0,,1,094f0201
0000000000000000,0000000418800000,4,0,,4,090d020d
0000000000000000,0000000418a00000,5,0,,2,094d0a01
0000000000000000,000000041c000000,4,0,,4,090f000b
0000000000000000,0000000420000000,2,1,004da201,39,000da20b
0000000000000000,0000000420008000,3,3,0049a209,61,0009e20d
0000000000000000,000000042000a000,4,0,,1,084bc208
0000000000000000,0000000420100000,3,0,,1,004fa009
0000000000000000,0000000420140000,4,0,,2,004da809
0000000000000000,0000000424000000,3,0,,2,080f8809
0000000000000000,0000000498000000,4,0,,17,000d260d
0000000000000000,0000000498010000,5,0,,1,084f2408
0000000000000000,00000004b0000000,4,0,,1,004d2249
0000000000000000,00000004b8000000,5,1,004d2209,30,000d620d
0000000000000000,00000004b8140000,7,0,,1,004d600d
0000000000000000,00000004bc000000,6,0,,1,084f0809
0000000000000000,00000004d0000000,4,0,,1,004d6640
0000000000000000,00000004d8000000,5,0,,7,004d6601
0000000000000000,00000004f0000000,5,0,,1,004d6241
0000000000000000,00000004f8000000,6,0,,24,004d2213
0000000000000000,00000004f8000300,8,0,,1,080f6201
0000000000000000,0000000500000000,2,46,010c820d,763,000ca60b
0000000000000000,0000000500001000,3,0,,3,004ce441
0000000000000000,0000000500002000,3,0,,1,080ec448
0000000000000000,0000000500008000,3,86,0108860b,1169,00088759
0000000000000000,0000000500009000,4,0,,5,0048e550
0000000000000000,000000050000a000,4,0,,10,0048c558
0000000000000000,0000000500010000,3,0,,2,080ee408
0000000000000000,0000000500018000,4,0,,2,084aac08
0000000000000000,000000050001a000,5,0,,1,084acc08
0000000000000000,0000000500140000,4,0,,1,004ce109
0000000000000000,0000000504000000,3,1,090e8009,21,010c801f
0000000000000000,0000000510000000,3,0,,37,010c064b
0000000000000000,0000000510400000,4,0,,2,090e0249
0000000000000000,0000000514400000,5,0,,1,090e0849
0000000000000000,0000000518000000,4,17,010c220b,188,010c041f
0000000000000000,0000000518400000,5,2,090e0209,15,090e020b
0000000000000000,0000000518c00000,6,0,,7,090c0a0d
0000000000000000,000000051c400000,6,1,090e0809,10,090e000f
