trace_w0,trace_w1,weight,full_signature_preimages,maximal
8000000000400000,0000000000000080,3,3,0
8000010000000000,0000000000000080,3,4,0
8080000000000000,0000000000000080,3,20,0
8080000000400000,0000000000000080,4,2,0
8080010000000000,0000000000000080,4,2,0
8080800000000000,0000000000000080,4,4,0
8080800000400000,0000000000000080,5,1,1
8200000000000000,0000000000000080,3,17,0
8200000000004000,0000000000000080,4,9,0
8200010000000000,0000000000000080,4,6,0
8280000000000000,0000000000000080,4,25,0
8280000000004000,0000000000000080,5,2,1
8280010000000000,0000000000000080,5,6,0
8280800000000000,0000000000000080,5,1,1
8000000000000000,0000000000000082,3,13,0
8000000000004000,0000000000000082,4,1,0
8000000000400000,0000000000000082,4,3,0
8000010000000000,0000000000000082,4,2,0
8080000000000000,0000000000000082,4,26,0
8080800000000000,0000000000000082,5,3,1
8200000000000000,0000000000000082,4,13,0
8200000000004000,0000000000000082,5,2,0
8200010000000000,0000000000000082,5,4,0
8280000000000000,0000000000000082,5,11,0
0000000000000000,0000000000000090,2,8,0
0000000000400000,0000000000000090,3,7,0
0080000000000000,0000000000000090,3,3,0
0081000000000000,0000000000000090,4,4,0
0081000000400000,0000000000000090,5,2,0
0200000000000000,0000000000000090,3,15,0
0200010000000000,0000000000000090,4,2,0
0220000000000000,0000000000000090,4,1,0
0220010000000000,0000000000000090,5,1,1
0280000000000000,0000000000000090,4,8,0
0281000000000000,0000000000000090,5,4,0
02a1000000000000,0000000000000090,6,1,0
8000000000000000,0000000000000090,3,6,0
8000000000400000,0000000000000090,4,2,0
8080000000000000,0000000000000090,4,3,0
8081000000000000,0000000000000090,5,4,0
8200000000000000,0000000000000090,4,9,0
8200010000000000,0000000000000090,5,1,1
8220000000000000,0000000000000090,5,1,1
8280000000000000,0000000000000090,5,2,0
8281000000000000,0000000000000090,6,2,0
8000000000000000,0000000000000092,4,5,0
8200000000000000,0000000000000092,5,6,0
0000000000000000,0000000000000200,1,34,0
0000000000001000,0000000000000200,2,5,0
0000000002000000,0000000000000200,2,13,0
0000080000000000,0000000000000200,2,3,0
0000800000000000,0000000000000200,2,37,0
0000800002000000,0000000000000200,3,12,0
0080000000000000,0000000000000200,2,4,0
0200000000000000,0000000000000200,2,6,0
0200000002000000,0000000000000200,3,1,0
0200800000000000,0000000000000200,3,7,0
0200800002000000,0000000000000200,4,1,0
0000000000000000,0000000000000210,2,11,0
0000800000000000,0000000000000210,3,8,0
0000800000400000,0000000000000210,4,4,0
8000000000000000,0000000000000210,3,2,0
8000000000000000,0000000000000212,4,2,0
0000000000000000,0000000000000280,2,1,0
0000000002000000,0000000000000280,3,4,0
0000000002044000,0000000000000280,5,1,1
0000800000000000,0000000000000280,3,1,0
0000800002000000,0000000000000280,4,2,0
0001000000000000,0000000000000280,3,3,0
0001000002000000,0000000000000280,4,3,0
0001800000000000,0000000000000280,4,3,0
0001800002000000,0000000000000280,5,2,0
0080000002000000,0000000000000290,5,2,0
0081000000000000,0000000000000290,5,1,0
0081000002000000,0000000000000290,6,2,0
0081800000000000,0000000000000290,6,1,0
0081800002400000,0000000000000290,8,2,1
0280000000000000,0000000000000290,5,1,0
0281000000000000,0000000000000290,6,2,0
0281800000000000,0000000000000290,7,1,1
8081000000000000,0000000000000290,6,1,1
0000000000000000,0000000000001000,1,28,0
0000000000040000,0000000000001000,2,6,0
0000000000100000,0000000000001000,2,23,0
0000000000140000,0000000000001000,3,2,0
0000000002000000,0000000000001000,2,3,0
0000000002040000,0000000000001000,3,3,0
0000000002100000,0000000000001000,3,2,0
0000000002140000,0000000000001000,4,2,0
0000002000100000,0000000000001000,3,4,0
0000080000000000,0000000000001000,2,4,0
0000080000100000,0000000000001000,3,2,1
0200000000000000,0000000000001000,2,7,0
0000000000000000,0000000000001010,2,16,0
0000000000044000,0000000000001010,4,1,0
0000000000100000,0000000000001010,3,7,0
0020000000000000,0000000000001010,3,12,0
