q,r,body_hex,rank8_responders,rank9_responders,total_responders
256,592,06b62400,355,7768,8123
256,592,06c47400,1515,14803,16318
256,592,06d41480,1064,13484,14548
256,592,06d41600,1939,18804,20743
256,592,06d42401,252,6690,6942
256,592,07043409,213,6075,6288
256,592,0704340c,566,11884,12450
256,592,07043428,561,12556,13117
256,592,07043508,556,12429,12985
256,592,07047009,91,3458,3549
256,592,07047048,242,7246,7488
256,592,07047088,152,5353,5505
256,592,07047208,201,6040,6241
256,592,07047408,77,3094,3171
256,592,0704b408,316,8345,8661
256,592,07065408,525,9665,10190
256,592,07065600,957,13138,14095
256,592,07067008,35,3248,3283
256,592,07067400,338,5644,5982
256,592,07069600,2348,27183,29531
256,592,07103481,625,8128,8753
256,592,07103601,695,8768,9463
256,592,0710b088,448,8548,8996
256,592,07123401,479,6584,7063
256,592,07143009,67,3616,3683
256,592,07143048,34,3589,3623
256,592,07143081,508,8894,9402
256,592,07143088,52,3296,3348
256,592,07143208,66,3714,3780
256,592,07143401,28,1538,1566
256,592,07143408,4,1106,1110
256,592,07147001,248,4267,4515
256,592,0714b400,346,5799,6145
256,592,07161208,698,12879,13577
256,592,07161408,648,11455,12103
256,592,07161480,334,9610,9944
256,592,07161600,471,10946,11417
256,592,07163008,45,2975,3020
256,592,07163400,21,2279,2300
256,592,071c3001,404,7114,7518
256,592,07242409,406,7671,8077
256,592,07246048,270,7891,8161
256,592,07246088,155,5296,5451
256,592,07246208,212,5822,6034
256,592,07246408,107,3357,3464
256,592,07247008,126,4365,4491
256,592,07264408,706,10979,11685
256,592,07264600,1056,13500,14556
256,592,07266008,53,3357,3410
256,592,07302481,751,8662,9413
256,592,0730a088,509,8878,9387
256,592,07342048,46,4630,4676
256,592,07342088,53,3772,3825
256,592,07342208,71,4131,4202
256,592,07342401,37,1713,1750
256,592,07342408,4,1495,1499
256,592,07343001,387,7709,8096
256,592,07343008,67,4177,4244
256,592,0734a400,392,6306,6698
256,592,07360208,1011,15566,16577
256,592,07360408,1041,14428,15469
256,592,07362008,52,3675,3727
256,592,07362400,22,2633,2655
256,592,07441488,784,14034,14818
