mask_hex,rank,dual_numerator,in_retained_pool
001ca125,9,1390402810,0
001ca1a4,9,2268596608,0
001ca207,9,1390402810,0
001ca286,9,2268596608,0
001ca28a,9,1493393671,0
001ca28c,9,1493393671,0
001ca298,9,1493393671,0
001ca407,9,1030320121,0
001ca443,9,1030320121,0
001ca445,9,1030320121,0
001ca550,9,1035905021,0
001ca603,9,1030320121,0
001ca605,9,1030320121,0
001ca611,9,1030320121,0
001ca621,9,1030320121,0
001ca641,9,1030320121,0
001ca701,9,1030320121,0
001ca88c,9,1493393671,0
001caa88,9,1493393671,0
001cac41,9,1030320121,0
001cae01,9,1030320121,0
001cb016,9,1274878543,0
001cb086,9,1274878543,0
001cb092,9,1274878543,0
001cb094,9,1274878543,0
001cb0a4,9,1274878543,0
001cb0c4,9,1274878543,0
001cb124,9,1274878543,0
001cb184,9,1274878543,0
001cb206,9,1274878543,0
001cb282,9,1274878543,0
001cb284,9,1274878543,0
001cb290,9,1274878543,0
001cb2a0,9,1274878543,0
001cb2c0,9,1274878543,0
001cb380,9,1274878543,0
001cb884,9,1274878543,0
001cba80,9,1274878543,0
001cc125,9,1034358132,0
001cc407,9,1030320121,0
001cc641,9,1030320121,0
001ce007,9,1030320121,0
001ce124,9,1035905021,0
001ce203,9,1030320121,0
001ce205,9,1030320121,0
001ce403,9,1030320121,0
001ce405,9,1030320121,0
001ce406,9,1035905021,0
001ce411,9,1030320121,0
001ce421,9,1030320121,0
001ce441,9,1030320121,0
001ce442,9,1035905021,0
001ce444,9,1035905021,0
001ce450,9,1035905021,0
001ce501,9,1030320121,0
001ce601,9,1030320121,0
001ce602,9,1035905021,0
001ce604,9,1035905021,0
001ce640,9,1035905021,0
001ce805,9,1030320121,0
001cea01,9,1030320121,0
001cec01,9,1030320121,0
001cec04,9,1035905021,0
001cec40,9,1035905021,0
001d3284,9,1274878543,0
001d6601,9,1030320121,0
001da288,9,1493393671,0
001da601,9,1030320121,0
001db084,9,1274878543,0
001db280,9,1274878543,0
001de201,9,1030320121,0
001de401,9,1030320121,0
001ec4c0,9,1096514450,0
0020609f,9,1150376316,0
0020e1a5,9,1467748281,0
0020e287,9,1209241705,0
002291a5,9,1035646761,0
00246097,9,1531706023,0
00246287,9,1190617117,0
00246293,9,1190617117,0
002462c3,9,1190617117,0
00246383,9,1190617117,0
00246a83,9,1190617117,0
00246a85,9,1190617117,0
0024a1a5,9,1004140442,0
0024a287,9,1106133690,0
0024a649,9,1168016229,0
0024e087,9,1323072262,0
0024e283,9,1106133690,0
0024e285,9,1106133690,0
0024e291,9,1106133690,0
0024e2c1,9,1106133690,0
0024e381,9,1106133690,0
0024e4c1,9,1100668387,0
0024ea81,9,1106133690,0
00256283,9,1190617117,0
0025e281,9,1106133690,0
00269125,9,1092703052,0
0026b046,9,1256947637,0
0026b124,9,1256947637,0
0028209f,9,1183637625,0
0028601f,9,1105873464,0
00286097,9,1623168675,0
00288559,9,1036773337,0
0028e087,9,1008384521,0
002a8cc8,9,1012526597,0
002c041f,9,1238988061,0
002c2097,9,1060460759,0
002c2487,9,1060460759,0
002c2493,9,1060460759,0
002c324a,9,1144770407,0
002c6207,9,1078558894,0
002ca20b,9,1081114885,0
002ca249,9,1081114885,0
002ca641,9,1371483901,0
002caa09,9,1081114885,0
002cb04a,9,1144770407,0
002cb20a,9,1144770407,0
002cb242,9,1196901345,0
002cb248,9,1144770407,0
002cb320,9,1196901345,0
002cc44c,9,1152190756,0
002cc4c1,9,1189536366,0
002cc4c8,9,1130808573,0
002cc648,9,1088812303,0
002ce203,9,1595762394,0
002ce444,9,1157933930,0
002da209,9,1081114885,0
002e448c,9,1179120447,0
002e44c8,9,1179120447,0
002e4681,9,1038398309,0
002e4c0c,9,1283422233,0
002e4c88,9,1024489791,0
002e844c,9,1107037582,0
002e84c8,9,1240756223,0
002e8648,9,1493991214,0
00306097,9,1297845516,0
003060a7,9,1297845516,0
00306187,9,1213362089,0
003061a5,9,1297845516,0
00306887,9,1297845516,0
003083a5,9,1881583699,0
0030856c,9,1352824814,0
003085d8,9,1352824814,0
0030a127,9,1337928142,0
0030a325,9,1337928142,0
0030a3a4,9,1487813394,0
0030c127,9,1033311601,0
0030c325,9,1033311601,0
0030c925,9,1033311601,0
0030e321,9,1086340952,0
00328325,9,1500770870,0
0032c550,9,1266971566,0
00346125,9,1062328880,0
00346207,9,1062328880,0
00348127,9,1393394290,0
00348325,9,1393394290,0
0034a125,9,1337928142,0
0034a207,9,1337928142,0
0034a321,9,1446423641,0
0034a324,9,1836906713,0
0034c125,9,1033311601,0
0034c550,9,1692088250,0
0034e203,9,1086340952,0
0034e221,9,1086340952,0
0034e241,9,1086340952,0
0034e301,9,1086340952,0
0034ea01,9,1086340952,0
0035e201,9,1086340952,0
00368550,9,1281462516,0
0036c124,9,1361138380,0
0038072c,9,1352824814,0
003821ac,9,1478122820,0
003823a4,9,1487813394,0
00386017,9,1246075398,0
00386027,9,1246075398,0
00386807,9,1246075398,0
00388325,9,2218913549,0
0038846c,9,1352824814,0
003884ca,9,1352824814,0
003884cc,9,1352824814,0
003884d8,9,1352824814,0
0038852c,9,1352824814,0
00388551,9,1795986633,0
00388558,9,1352824814,0
003885c8,9,1352824814,0
0038864a,9,1352824814,0
0038864c,9,1352824814,0
00388683,9,1540869449,0
003886c1,9,1540869449,0
003886c8,9,1352824814,0
0038a125,9,1115524267,0
0038a1a4,9,1487813394,0
0038a207,9,1115524267,0
0038a286,9,1487813394,0
0038a324,9,2108598167,0
0038a524,9,1255121807,0
0038a550,9,1255121807,0
0038a642,9,1255121807,0
0038a644,9,1255121807,0
0038ae40,9,1255121807,0
0038c550,9,1593709415,0
0038cc44,9,1363871049,0
0038ccc0,9,1178376675,0
003984c8,9,1352824814,0
00398648,9,1352824814,0
003a8125,9,1326647590,0
003a812c,9,1330850770,0
003a8550,9,1858797897,0
003ac124,9,1018177311,0
003ac444,9,1018177311,0
003ac640,9,1093385021,0
003c2017,9,1115524267,0
003c2027,9,1115524267,0
003c2047,9,1115524267,0
003c2207,9,1115524267,0
003c2213,9,1115524267,0
003c2243,9,1115524267,0
003c2807,9,1115524267,0
003c2a03,9,1115524267,0
003c8125,9,1115524267,0
003c812c,9,1352123156,0
003c8207,9,1115524267,0
003c8550,9,1716695864,0
003c86c0,9,1455993780,0
003c8cc0,9,1103168965,0
003ca007,9,1115524267,0
003ca013,9,1115524267,0
003ca043,9,1115524267,0
003ca103,9,1115524267,0
003ca124,9,1614502838,0
003ca203,9,1115524267,0
003ca205,9,1115524267,0
003ca206,9,1614502838,0
003ca211,9,1115524267,0
003ca221,9,1115524267,0
003ca241,9,1115524267,0
003ca301,9,1115524267,0
003ca803,9,1115524267,0
003caa01,9,1115524267,0
003cc124,9,1518501705,0
003cc442,9,1518501705,0
003cc444,9,1518501705,0
003cc484,9,1257799621,0
003cc4c0,9,1257799621,0
003cc640,9,1518501705,0
003ccc40,9,1363871049,0
003d2203,9,1115524267,0
003da003,9,1115524267,0
003da201,9,1115524267,0
003e8444,9,1216371470,0
003e8640,9,1216371470,0
003ec404,9,1018177311,0
003ec440,9,1018177311,0
003ec600,9,1018177311,0
0040ae49,9,1056422659,0
0044a649,9,1056422659,0
0045aa09,9,1211304618,0
0048209f,9,1074174190,0
0048288f,9,1013713428,0
