mask_hex,rank,active_rows
16a40005,8,438
16e02100,8,438
192a0808,8,438
19432800,8,438
1980500a,8,438
19805300,8,438
1a205140,8,438
20382d00,8,438
203a0888,8,438
21144490,8,438
21894082,8,438
22506180,8,438
240c21a0,8,438
248d1010,8,438
280a9208,8,438
3009040d,8,438
32710200,8,438
34100039,8,438
0044e085,8,439
00522285,8,439
00b01498,8,439
00c064a8,8,439
014c9084,8,439
0481208b,8,439
060e1088,8,439
062c0501,8,439
0a228418,8,439
0b424410,8,439
0d12a100,8,439
10512680,8,439
11135010,8,439
1140e202,8,439
12111c01,8,439
1461c800,8,439
14684006,8,439
14a01288,8,439
18864280,8,439
21480309,8,439
21490403,8,439
21e02088,8,439
224844c0,8,439
2404e410,8,439
249c0044,8,439
25810809,8,439
28295004,8,439
30584014,8,439
3c104300,8,439
008e4409,8,440
010ce101,8,440
02201685,8,440
02722180,8,440
03490089,8,440
04201869,8,440
04423092,8,440
05a80411,8,440
06626010,8,440
09ba0040,8,440
0a025403,8,440
0a906048,8,440
0e602500,8,440
14621202,8,440
15021091,8,440
15040621,8,440
17880108,8,440
18911408,8,440
198c1002,8,440
1a881402,8,440
20097003,8,440
20182650,8,440
2098001e,8,440
21246003,8,440
22143a00,8,440
25080a0c,8,440
28180483,8,440
2822d200,8,440
2d040c01,8,440
34928200,8,440
00f0100d,8,441
010a30c4,8,441
010a5203,8,441
01342610,8,441
0146600c,8,441
01942620,8,441
03048548,8,441
03199080,8,441
0401f180,8,441
0410ce40,8,441
041bc200,8,441
04223184,8,441
05802d80,8,441
05851410,8,441
05d28004,8,441
06840c82,8,441
06c22208,8,441
07804182,8,441
0998a004,8,441
0a446081,8,441
0a806604,8,441
0b024a80,8,441
0c490418,8,441
0c80580a,8,441
1404a884,8,441
14262401,8,441
1500c284,8,441
15802a08,8,441
18305030,8,441
1b084201,8,441
20087a04,8,441
2014a441,8,441
20195808,8,441
202c5280,8,441
21649004,8,441
21826c00,8,441
24506042,8,441
285820a0,8,441
28882580,8,441
29490a00,8,441
2c188084,8,441
30a80680,8,441
35900810,8,441
001a028b,8,442
005c4007,8,442
01182298,8,442
018162a0,8,442
02a1b080,8,442
03246101,8,442
0340ac20,8,442
03c84802,8,442
04060499,8,442
0408504d,8,442
04092690,8,442
0448c488,8,442
049048c4,8,442
04c42049,8,442
05284301,8,442
05834500,8,442
059410a0,8,442
0c426011,8,442
0d026101,8,442
0d990002,8,442
10b42440,8,442
11302205,8,442
11c48500,8,442
12182881,8,442
1680c140,8,442
170880c0,8,442
19980402,8,442
1d8a8000,8,442
200a7028,8,442
2094c048,8,442
20c02682,8,442
210a2504,8,442
21e01420,8,442
22a2a080,8,442
24006581,8,442
2404ac80,8,442
24212206,8,442
25078001,8,442
27c00804,8,442
281b0404,8,442
2e082108,8,442
2e440808,8,442
310c8044,8,442
32189020,8,442
34833000,8,442
39c14000,8,442
0008f448,8,443
000a7098,8,443
00788881,8,443
01341214,8,443
01a03424,8,443
02668440,8,443
03500e02,8,443
03802e40,8,443
03e04009,8,443
04213103,8,443
04893300,8,443
05096042,8,443
0548001d,8,443
06890c80,8,443
09ae1000,8,443
0c1c1440,8,443
0c302a80,8,443
0c542082,8,443
0cc64002,8,443
0e091088,8,443
10b04482,8,443
16a24080,8,443
20195028,8,443
202c3022,8,443
2100e604,8,443
22059440,8,443
22a8100a,8,443
24403092,8,443
25102015,8,443
25480c20,8,443
2580480c,8,443
28942408,8,443
29080883,8,443
298a4800,8,443
2ca42400,8,443
3040d408,8,443
304a20c0,8,443
30540c08,8,443
3401208a,8,443
34084218,8,443
35204140,8,443
39288001,8,443
01047025,8,444
01342c40,8,444
014064d0,8,444
01589090,8,444
0180d124,8,444
02142588,8,444
