a_hex	b_hex	cover	count	least_mask	labels
d482c001b280c000	0000000000000000	16	3	0846a082	1,7,13,15,17,18,22,27
d482c04030800000	0000000000000000	12	2	08662082	1,7,13,17,18,21,22,27
d482c041b280c800	0000000000000000	18	4	08462882	1,7,11,13,17,18,22,27
d4c489cdb3f7dec1	0000000000000000	36	1	08432a80	7,9,11,13,16,17,22,27
d4c4c08db3f3d6c0	0000000000000000	31	1	0843a880	7,11,13,15,16,17,22,27
d4c6808c31f206c0	0000000000000000	24	1	0862a280	7,9,13,15,17,21,22,27
d4c6808db3f3d6c0	0000000000000000	31	1	0842aa80	7,9,11,13,15,17,22,27
d4c689cc31f606c0	0000000000000000	28	2	08622282	1,7,9,13,17,21,22,27
d4c689cdb3f7dec1	0000000000000000	37	4	08422a82	1,7,9,11,13,17,22,27
d4c6c08c31f206c0	0000000000000000	25	1	0862a880	7,11,13,15,17,21,22,27
d4c6c9cc31f606c0	0000000000000000	29	1	08622882	1,7,11,13,17,21,22,27
e002000200000000	0000000000000000	5	1	0044e680	7,9,10,13,14,15,18,22
e002200200000000	0000000000000000	6	1	0044e640	6,9,10,13,14,15,18,22
e002400200000000	0000000000000000	6	6	0044e4c0	6,7,10,13,14,15,18,22
e002600200000000	0000000000000000	7	5	0044e442	1,6,10,13,14,15,18,22
e003000200080000	0000000000000000	7	1	0044c6c0	6,7,9,10,14,15,18,22
e003200200080000	0000000000000000	8	1	0064c640	6,9,10,14,15,18,21,22
e003400200080000	0000000000000000	8	3	0044c4d0	4,6,7,10,14,15,18,22
e003600200080000	0000000000000000	9	4	0064c442	1,6,10,14,15,18,21,22
e006000200300000	0000000000000000	8	1	0040e6c0	6,7,9,10,13,14,15,22
e006200200300000	0000000000000000	9	1	0060e640	6,9,10,13,14,15,21,22
e006400200300000	0000000000000000	9	3	0040ecc0	6,7,10,11,13,14,15,22
e007400200380000	0000000000000000	11	1	0060ccc0	6,7,10,11,14,15,21,22
e008400200000000	0000000000000000	6	1	0005e4c0	6,7,10,13,14,15,16,18
e00a000200000000	0000000000000000	6	1	0004e6c0	6,7,9,10,13,14,15,18
e00a400200000000	0000000000000000	7	8	0004e4c2	1,6,7,10,13,14,15,18
e00a600200000000	0000000000000000	8	1	0024e442	1,6,10,13,14,15,18,21
e00b400200080000	0000000000000000	9	1	0024c4c2	1,6,7,10,14,15,18,21
e482400270000000	0000000000000000	11	1	0064a4c0	6,7,10,13,15,18,21,22
ec82000370000000	0000000000000000	12	1	0044a6c0	6,7,9,10,13,15,18,22
ec82400370000000	0000000000000000	13	2	0044acc0	6,7,10,11,13,15,18,22
f002c00200000000	0000000000000000	8	6	00446096	1,2,4,7,13,14,18,22
f00ac00200000000	0000000000000000	9	2	00246096	1,2,4,7,13,14,18,21
