a_hex	b_hex	cover	count	least_mask	labels
0006600000000000	0000000000000000	4	1	1048e440	6,10,13,14,15,19,22,28
0006600000300000	0000000000000000	6	1	1060e440	6,10,13,14,15,21,22,28
0006608000000000	0000000000000000	5	1	1068a440	6,10,13,15,19,21,22,28
0006790000000000	0000000000000000	7	1	10686440	6,10,13,14,19,21,22,28
0006808c0073d6c0	0000000000000000	18	1	1842a280	7,9,13,15,17,22,27,28
0006890000000000	0000000000000000	5	1	104a6280	7,9,13,14,17,19,22,28
0006890000260000	0000000000000000	8	1	10426281	0,7,9,13,14,17,22,28
0006890000360000	0000000000000000	9	1	18426280	7,9,13,14,17,22,27,28
0006898800668c81	0000000000000000	16	1	18422281	0,7,9,13,17,22,27,28
000689cc00000000	0000000000000000	9	1	184a2280	7,9,13,17,19,22,27,28
000689cc007606c0	0000000000000000	18	1	18622280	7,9,13,17,21,22,27,28
000689cc0077dec1	0000000000000000	24	1	18422a80	7,9,11,13,17,22,27,28
0006a90000000000	0000000000000000	6	1	184a6200	9,13,14,17,19,22,27,28
0006a90000260000	0000000000000000	9	1	18426201	0,9,13,14,17,22,27,28
0006c00000000000	0000000000000000	4	2	104ae080	7,13,14,15,17,19,22,28
0006c00000220000	0000000000000000	6	1	1042e081	0,7,13,14,15,17,22,28
0006c00000320000	0000000000000000	7	1	1842e080	7,13,14,15,17,22,27,28
0006c08800628480	0000000000000000	12	1	1842a081	0,7,13,15,17,22,27,28
0006c08c00000000	0000000000000000	7	1	184aa080	7,13,15,17,19,22,27,28
0006c08c0073d6c0	0000000000000000	19	1	1842a880	7,11,13,15,17,22,27,28
0006c90000000000	0000000000000000	6	5	104a6081	0,7,13,14,17,19,22,28
0006c90000260000	0000000000000000	9	1	18426081	0,7,13,14,17,22,27,28
0006c90000360000	0000000000000000	10	6	18426082	1,7,13,14,17,22,27,28
0006c98800000000	0000000000000000	8	1	184a2081	0,7,13,17,19,22,27,28
0006c98800668c81	0000000000000000	17	1	18422881	0,7,11,13,17,22,27,28
0006c9cc00000000	0000000000000000	10	4	106a2082	1,7,13,17,19,21,22,28
