SINGLETON_IDEAL_AGGREGATE_V1
UNIVERSE LIVE 22647 SINGLETON_GROUPS 192 SINGLETON_ROWS 3738
SUCCESS_GROUPS 110 SUCCESS_ROWS 1219 DISJOINT YES
SUCCESS_UNION FNV 3706723fd3574334 SHA256 fdef599768aba3cc1738e330f35c9b431486ab845023ef59050c546f22605ef1 MAX_ENDPOINT 626
REMAINING COUNT 21428 FNV ab885eb54c33882a SHA256 e0b6bb5ac69acd3e9fd9f56957257affe247cf6debf2778bb0ad6fda4511d989 MAX_ENDPOINT 636
REMAINING_TOP 100,636 256,636 294,636 338,636 372,636 384,636
WITNESS_LEDGER ROWS 110 SHA256 e914b3f60477a7bc4637064b8b5c53117d40a05f38e38a4461b1525d5502aa07
NODE J 400 ROWS 7 IDEAL_FNV d1cad80b9601652c OLD 0d600c40 OBLIGATIONS 8 OBLIGATION_FNV 42ab963c6e9e6be7 RESPONDERS 495 COMMON 1 WITNESS 2d600440 WEAKEST 270,454 GAP 11984609083/4597420267440 MARGIN_FNV 7d434924889bea3c REBUILT_FNV fa1b60a4f34fbbc6
NODE J 16 ROWS 6 IDEAL_FNV 5ea78e3731b849ca OLD 0c82044a OBLIGATIONS 4 OBLIGATION_FNV ac2be96fd8c23e2 RESPONDERS 495 COMMON 5 WITNESS 0c82240a WEAKEST 155,431 GAP 82916624887861/30465016370448660 MARGIN_FNV 9fa4dbddd54b1990 REBUILT_FNV 557fb049c5702f26
NODE J 130 ROWS 6 IDEAL_FNV 3dd825ebdaef5f61 OLD 2b02080a OBLIGATIONS 14 OBLIGATION_FNV d3d7bc742c7804c RESPONDERS 495 COMMON 16 WITNESS 0b02280a WEAKEST 116,406 GAP 2216833/2148040440 MARGIN_FNV 19b901e66ad75799 REBUILT_FNV aedc18dbe009c22e
NODE J 155 ROWS 6 IDEAL_FNV baf50005bbb807c7 OLD 0314480c OBLIGATIONS 7 OBLIGATION_FNV d94feb4d35709c9a RESPONDERS 3003 COMMON 43 WITNESS 0114601c WEAKEST 110,351 GAP 28740139/4725688968 MARGIN_FNV ba7c55da099a247e REBUILT_FNV 5cb575975e036bf4
NODE J 50 ROWS 5 IDEAL_FNV effa831f9ef44ad OLD 19104884 OBLIGATIONS 2 OBLIGATION_FNV 224c8a961f590865 RESPONDERS 12870 COMMON 589 WITNESS 00084497 WEAKEST 318,372 GAP 1015176281527/1665012495626480 MARGIN_FNV ed696c2a826493c REBUILT_FNV f67ab1a59c7ee5be
NODE J 214 ROWS 5 IDEAL_FNV d5aa93ffd64499d0 OLD 0110c125 OBLIGATIONS 7 OBLIGATION_FNV cd3259ef54d02ff2 RESPONDERS 3003 COMMON 122 WITNESS 00106a07 WEAKEST 443,462 GAP 179274745667/808083362150064 MARGIN_FNV 93f6dd07e73c4f1a REBUILT_FNV 807d90ee2004dba2
NODE J 292 ROWS 5 IDEAL_FNV 53cdb759a605752e OLD 09a44044 OBLIGATIONS 3 OBLIGATION_FNV 14e93d87d5f6b65e RESPONDERS 12870 COMMON 906 WITNESS 002562c0 WEAKEST 186,342 GAP 382812431/713984775140 MARGIN_FNV 61cf2e358965c7aa REBUILT_FNV d312aa9d400897ea
NODE J 72 ROWS 4 IDEAL_FNV 827151364a050db8 OLD 11420c88 OBLIGATIONS 9 OBLIGATION_FNV ae5a025a1f8f852a RESPONDERS 495 COMMON 33 WITNESS 01422498 WEAKEST 358,540 GAP 2955955183/1268847487908 MARGIN_FNV bac3a319ce9b7e5 REBUILT_FNV f01f3722edaeb762
NODE J 111 ROWS 4 IDEAL_FNV ff490c3874e4501d OLD 082a1828 OBLIGATIONS 6 OBLIGATION_FNV 7feeee968a491917 RESPONDERS 3003 COMMON 40 WITNESS 080b1888 WEAKEST 237,366 GAP 1723037411765/1098801840350214 MARGIN_FNV 424346d4464f2bf2 REBUILT_FNV 2953621e0aed4717
NODE J 163 ROWS 4 IDEAL_FNV fc639e556a744cfa OLD 390084c0 OBLIGATIONS 8 OBLIGATION_FNV f7d91cda34d32248 RESPONDERS 495 COMMON 22 WITNESS 1100a4c4 WEAKEST 372,543 GAP 425564074571/265158407994480 MARGIN_FNV 14776cab247248a6 REBUILT_FNV c2984f4e6f2e8f0e
NODE J 283 ROWS 4 IDEAL_FNV ac247a6a7787abe3 OLD 01a48441 OBLIGATIONS 3 OBLIGATION_FNV 7689a52ac81e2413 RESPONDERS 24310 COMMON 2213 WITNESS 0004203f WEAKEST 136,308 GAP 1436334223/1302939958320 MARGIN_FNV 8636922c2d5bdaae REBUILT_FNV eeb3759064ffdb03
NODE J 387 ROWS 4 IDEAL_FNV 45721327cb80ea65 OLD 08423818 OBLIGATIONS 10 OBLIGATION_FNV 4c777fb7cf769e58 RESPONDERS 165 COMMON 16 WITNESS 09023818 WEAKEST 246,282 GAP 44975774773/18212805282672 MARGIN_FNV 56ee5fb0f41beee0 REBUILT_FNV b25d7b60fdd60461
NODE J 388 ROWS 4 IDEAL_FNV de12e16cbc937f39 OLD 18246c00 OBLIGATIONS 6 OBLIGATION_FNV bb9f84c2caa53e68 RESPONDERS 495 COMMON 1 WITNESS 18256400 WEAKEST 318,416 GAP 30098726533/12394633962480 MARGIN_FNV d4b22114eaa264ce REBUILT_FNV 94fa40d37bfa5527
NODE J 5 ROWS 3 IDEAL_FNV c6a968239f2665b OLD 024085d0 OBLIGATIONS 8 OBLIGATION_FNV 35bf83d990c0e84d RESPONDERS 495 COMMON 1 WITNESS 02418cc0 WEAKEST 118,160 GAP 1112100598591/358742801857440 MARGIN_FNV 62e7f4d5eff6b2e7 REBUILT_FNV 30509a03e819dcf0
NODE J 151 ROWS 3 IDEAL_FNV 83cbe80ae888ace0 OLD 00da0809 OBLIGATIONS 3 OBLIGATION_FNV 23ce24881d67948b RESPONDERS 3003 COMMON 26 WITNESS 101a080d WEAKEST 35,49 GAP 225696623/446461943760 MARGIN_FNV aa99ce3b1f07003a REBUILT_FNV 5a4d788c0413dd8a
NODE J 162 ROWS 3 IDEAL_FNV 6408a911e2464dd2 OLD 0184c121 OBLIGATIONS 8 OBLIGATION_FNV 32d25b818d147805 RESPONDERS 495 COMMON 28 WITNESS 0184c013 WEAKEST 166,518 GAP 1059037241/509213713008 MARGIN_FNV 609b99289372d6d6 REBUILT_FNV 519150399a665eb3
NODE J 180 ROWS 3 IDEAL_FNV 95d63ba5952a82bd OLD 04710841 OBLIGATIONS 12 OBLIGATION_FNV 74323bed85ddbb66 RESPONDERS 1287 COMMON 11 WITNESS 04312124 WEAKEST 335,550 GAP 547945425473/1527697101130200 MARGIN_FNV dab3def2e0fcc312 REBUILT_FNV 4aa39e5337199bf4
