184,00662680,00642292,2,9dda14bd4d1e3b52,7,1c47ce0a29e0be05,3003,e22144131ef3f2d,1,188,270,24246077825/85733449257456,f072272bd03841a7,86f9288d40d824e6,405189153,10c4c3ed46d44bf1
194,18c0c140,0028601e,21,702610e9a0c45159,1,7985fdfd912eb1a4,203490,c2f9d58ab439ce09,32905,94,375,768017668679/1071668115718200,ca2dfe5187cdcbbe,3b5ec83aa7ae5723,405174039,10c4c3ed46d44bf1
195,0200c5d0,000025da,1,6f10aefa59d1245c,4,a9795e1bba9b6983,6435,f476b92c33ce0265,2214,160,370,49121659/7757734464480,f2c424b3de851b0a,4dc8d2d2a6e639da,405208020,10c4c3ed46d44bf1
203,118284c0,0180a4c2,7,569ecadfe833575b,6,5b2d9dd990b8e467,12870,c45a2715dc6dd73c,172,272,384,223483937/189027558720,e3ecf520ab202ca8,335db1e0dea9dc82,405177671,10c4c3ed46d44bf1
206,014a8809,0000c327,2,c3a146a442326d66,1,16b2299a2ffb969a,203490,6c350e128412124d,58995,33,140,2054501819/3040193236080,74d8824ed747a31a,df3b0097cb74b10c,405164556,10c4c3ed46d44bf1
212,20611608,0820164a,1,48a219eec1fb7dd6,4,48a00a07964af4a0,6435,9f45d59ad638bac5,142,11,383,17341096/856172065749,c2ad4f902db91189,407f4e6c23d49fd1,405168640,10c4c3ed46d44bf1
213,210804a5,21080097,10,1bde8e166e4807e6,4,bb529658deaab285,3003,4d1134ac9146462d,7,304,366,1299671/764634024,58c9cd6849bd4743,c63e645055819eb0,405173028,10c4c3ed46d44bf1
214,0110c125,00106a07,5,d5aa93ffd64499d0,7,cd3259ef54d02ff2,3003,f60121f0e00014c5,122,211,462,3248729639/68730082801380,588e32a7612e2a71,807d90ee2004dba2,405172749,10c4c3ed46d44bf1
217,0481a288,000422b6,1,a7c5d34453d3a80,5,e2a0a413dc5194a7,12870,5c486e2644e8556f,1113,180,330,217973417/506698872680,8fbb40532795bf6,5155fd86a202f1d,405180899,10c4c3ed46d44bf1
219,002c248c,002d2488,1,d7b676a0c44df319,8,95269c261fec6274,495,aa454f8dc35e78a9,1,372,488,13688718558299/17247016228281840,1b51eb830c7ea8de,f82e721ac5c48a03,405182219,10c4c3ed46d44bf1
224,01b00548,00b0260a,26,c55db33319cc446,3,558257b5c8992671,43758,2a5dfeab9e432e65,3277,271,385,179488814269/274630788992560,e764dd1677aaab83,20c927b19e4d35ca,405173355,10c4c3ed46d44bf1
227,03c04043,00496013,1,ffc613fbaf1c7aac,8,b9f84075ccb796a8,1287,3b4e402d6f497e89,344,46,460,218694024853/209773333289520,224bdf1ce7d45919,d7d84d446656db16,405179517,10c4c3ed46d44bf1
229,0b044881,01040ec1,2,cfdd75965b6b504d,8,6d729c7cd4ef7b0,6435,ffd5e50f4dde461d,150,370,495,2420071/24284790530,d2af0d9d3b069370,fca295ee1c8ed7c2,405181325,10c4c3ed46d44bf1
233,00aa3402,022a1502,1,6d7ee76cdeac8391,8,e9e9289a2d3c77e8,495,551801ad0af5da6d,14,135,147,82433207/201189258270,d5f2c5399db79c43,408e6ab3998774c7,405171993,10c4c3ed46d44bf1
234,24908c40,0490a602,3,9ec2f8e80db23ee3,8,cc46f610b0215270,1287,fc736c199a67b9b5,21,381,550,947924171/120657669056925,31ddf5baa58f97cb,918448deb21ce6ba,405173784,10c4c3ed46d44bf1
240,002490c9,20249089,2,8deda41fb68e20ed,7,36e6d326a3ef8fac,1287,b0d6bc4f3007f205,1,366,473,24009599/41428750545,7e9e7b7c3b0b5168,ab2714dde1897cbe,405175875,10c4c3ed46d44bf1
243,30960500,01962404,71,bc2b645be809d8a,7,6a870fe395a1c46e,3003,effa1db526c306d,186,6,243,112549523/45569143620,f4c7eff0a2eff83e,d1fecaef063b52ae,405168743,10c4c3ed46d44bf1
247,2380c108,0380e00a,18,5f10a36c14e47705,4,8250782ec2aeee0e,495,b5f8bc1748e37911,45,294,367,347813723/638962892568,564039f1d8e6f46b,2c8d5f3385a32393,405172960,10c4c3ed46d44bf1
249,18324404,003041a5,3,aa1b169be4b84bde,2,3daeb0be87f60187,24310,bd01158f07b4dcf5,1073,64,507,807662029/23713507241424,36e77269ffe91bad,c4e65d18959ee48e,405174265,10c4c3ed46d44bf1
250,21344440,01146450,1,2640bc89370c8201,4,411b418fb91b86c5,3003,708017d403b349dd,685,204,232,3087983/15752296560,bca1bb076fdef94f,d0ccc25d8e79ace2,405174199,10c4c3ed46d44bf1
257,32260808,12262808,31,b4c3325d417aaafb,12,cd177e0236a074d0,495,ceb6c32ac2b0dad1,11,254,344,622717649/22019224485720,d12ec4a28eab7e62,32a08ce19f553662,405172280,10c4c3ed46d44bf1
262,0d0a0884,000b2891,1,d61bee9a4d6d1405,4,7c744b9df7d08371,24310,f1f771ef7a5e75b5,6495,103,360,3311022577/21350447953380,ac55b28371d75680,5cd573238e1973ed,405169260,10c4c3ed46d44bf1
266,22360081,22340083,2,f227b42d61837bf4,4,7232da93ccd192ed,3003,96a7f1d74c4dc5a5,2,31,67,943547504583/2104827117112720,4f86c2b12622eb42,2371d1d9216f94a,405171899,10c4c3ed46d44bf1
267,005c4481,00044077,1,afc3be5407254950,2,795976dd2e02d71c,12870,90654a10ac0fbff3,493,35,150,240944713/1753957636200,edde0bd4c136a8a6,fc80799eb29f7cc0,405170154,10c4c3ed46d44bf1
269,1844c804,18048125,3,6f9be31f8175c203,9,b66127cd9f3936f2,3003,c5727b088d3754dd,5,107,186,97880308297/332450141672880,f076c61f5b138de2,76d9274830ec25bc,405172657,10c4c3ed46d44bf1
271,2848280a,2848201a,1,1f6694380eb66eb,25,224b2dcb4aac7c28,495,3dfce6fcf313d6e9,6,140,584,804138217/1913225053740,3da8012fdf4d4cf1,e8fef91a563b0fa6,405177330,10c4c3ed46d44bf1
276,0d068084,000222b6,1,3c9c6b7eb7306e91,3,8db82a6c1d22e4d7,24310,fb0f5a44a8203aa9,3772,14,250,4636964089/7600483090200,66bc86b123ebeca0,dfe7a9f3a97bd1e1,405170332,10c4c3ed46d44bf1
280,2140448c,00406c8c,2,ae0207de36260c36,8,6f7928e23f6355fb,3003,28afcbd61d5009e5,641,83,258,51399052405/74830687307376,66abe4cfe4914e94,9b9dae30be7aac5,405171539,10c4c3ed46d44bf1
281,2b420880,03451090,3,3f957db0c793ea51,4,5881dd500e71d716,3003,c3f3dd3eae01cd3d,104,28,246,209585879/129168831792,e60db9a693c71946,42c33c5cb9585981,405170877,10c4c3ed46d44bf1
282,0030912c,00119a88,1,4ba426d4fa9f6c1e,4,762c5b0272287b3f,43758,9748ed880260482d,1825,90,390,3860756027/4560289854120,4e35214891c70569,e480d3c4a249a4ce,405169447,10c4c3ed46d44bf1
283,01a48441,0004203f,4,ac247a6a7787abe3,3,7689a52ac81e2413,24310,98f8b1e5501445ad,2213,136,308,1436334223/1302939958320,12ba401a13d42532,eeb3759064ffdb03,405170443,10c4c3ed46d44bf1
285,1380020b,0380201b,2,402786dddae60a3,5,5fa02df6bc9c0f68,1287,c96bc73ca3ab58c5,45,172,514,126303264233/522235887853680,4b783dae43944f30,399cb57b0de66a84,405170296,10c4c3ed46d44bf1
292,09a44044,002562c0,5,53cdb759a605752e,3,14e93d87d5f6b65e,12870,2533036350d76386,906,186,342,382812431/713984775140,c3ccc3d39b826b64,d312aa9d400897ea,405171733,10c4c3ed46d44bf1
295,04110a91,04130a81,2,418a6defd8a8792c,7,554be46718f5e008,495,67332ed838011575,1,238,270,446048963/235877061420,33594ccaabfc456a,ec89e3a1d25ae020,405172568,10c4c3ed46d44bf1
300,20a09640,02009d50,3,3da8fe1179c6e63,4,dde222dafab170b,6435,8a231d341946d1c5,224,294,547,15988305754/28346347161405,6b41788a6dd05b3c,a597e282439e6915,405170170,10c4c3ed46d44bf1
313,01e44140,01646050,3,956841b075e687c,17,d047e9d9c88bec2e,165,3e6241a92b7be2cd,29,280,306,2390567/3635145360,9592f59d356145b0,714232bb0c0ef199,405171521,10c4c3ed46d44bf1
314,0520c441,00026233,2,636d10475d3d4e41,2,5031a14c9fc0f0cc,24310,ed2893149dcedcd9,5247,22,78,129781711/536504688720,3fe7bb640cc46cc8,5aab51a8370d057f,405169900,10c4c3ed46d44bf1
316,10ec8040,10ac8102,1,ca69ae21a1025e46,7,83899943c40afc70,12870,da5de8a05e6174fe,291,244,496,143250180551/442231185340560,f0ecda0baa41e92b,4e9efb79d11d9eb7,405169443,10c4c3ed46d44bf1
320,0806c80c,0080660e,11,bffbd52a0da9f5d3,2,dd2b418a292f8371,125970,6ddbe7e82f04476d,8601,166,253,4857965809/38182426892610,df59c6650c96a2bf,fb15c2e04db74944,405171015,10c4c3ed46d44bf1
321,0b2c0088,032c000e,3,ece67e15e287ca0b,5,e6ddaf0ee241d450,6435,3210c8df5f69816d,4,54,384,291249857/567082676160,d6fb30c82413552c,3626d8803eed5544,405170321,10c4c3ed46d44bf1
322,0c380c40,01192412,2,e794fa574c164543,4,686c338a649d38a4,12870,c2f6e1e21dae02d2,2078,275,540,1910603/236284448400,741afc97a804c38c,f2a9b575d623df36,405170919,10c4c3ed46d44bf1
326,16010219,04012619,7,b84537cc26a4fa15,6,d1cea57a181f9a13,495,2f45bf9aca1d9735,55,162,204,43566319/146319460560,3cf599d4cd4254c9,91490812bd3eb84c,405170384,10c4c3ed46d44bf1
327,19328040,0433a800,17,e275a06a208a4d42,5,fafadc24bc3b9310,6435,77d030c19462d885,721,103,187,414361903/737378108280,9d99f8375360cfdb,22fc2a642c8622dc,405170679,10c4c3ed46d44bf1
329,301414c0,30151480,1,e610bdd101e326a8,3,9849cd6878b00f7,3003,e30b3cdd325409fd,1,116,338,57898840243/118567536207120,b0f8d5893cb733c0,738d2f10951fb247,405169915,10c4c3ed46d44bf1
336,2888044c,28890c08,2,3a31a411b12fc107,7,360a4a9999e50f53,1287,bb67a4e5172f1de1,1,127,297,149149118/1497819340017,a72fad5c2effbf15,8f4f596aa9171c93,405170336,10c4c3ed46d44bf1
339,01e08c40,0102a125,13,d9f67bde789052f2,2,d868b9711d2c8af9,75582,ff99fc7b27896c85,1995,195,488,3365/3313414104,4b754877586d389a,293500a8b09d125e,405169828,10c4c3ed46d44bf1
340,020885d0,02098cc0,1,a01e009f0af9cf2d,8,f6f11943ed4ff0bd,1287,9f4e43e57b1cf039,284,160,311,970793852033/1891000192841760,17a6d3a9f37052c5,bb4095fd51dcbb6c,405170801,10c4c3ed46d44bf1
