q,r,body_hex,hits,first_mask_hex,second_mask_hex
210,590,041ab081,2,12c14242,31240608
210,590,041ab280,2,1204003f,23804501
210,590,041ab401,1,12c14242,
210,590,041ab600,1,1204003f,
210,590,041ad208,2,11642081,318404c0
210,590,041ad280,2,1204003f,23602408
210,590,041ad401,2,10452216,19052208
210,590,041ad600,2,11642081,1204003f
210,590,041b9401,2,32c06002,33046080
210,590,041b9402,2,11642081,33046080
210,590,041b9480,2,1204003f,32c06002
210,590,041bb400,1,1204003f,
210,590,041bd008,2,11642081,318404c0
210,590,041bd400,2,11642081,1204003f
210,590,041c3608,2,11e0c040,2080c127
210,590,041c50c8,2,03208321,28632200
210,590,041c5248,2,0340a484,22a2a080
210,590,041c5481,2,28632200,32a0800a
210,590,041c5488,2,03208321,28632200
210,590,041c5601,2,22a2a080,32a0800a
210,590,041c5602,2,22a2a080,28438809
210,590,041c5608,1,22a2a080,
210,590,041c5680,2,28438809,32a0800a
210,590,041c7048,1,03208321,
210,590,041c7401,2,0a430a88,32a0800a
210,590,041c7408,1,03208321,
210,590,041c7600,2,28438809,32a0800a
210,590,041c9601,2,2842488c,32c06002
210,590,041c9602,2,08834149,2842488c
210,590,041c9604,2,08834149,32c06002
210,590,041c9608,1,32c06002,
210,590,041c9680,2,08834149,32c06002
210,590,041cb081,2,11c24240,12c14242
210,590,041cb408,2,11c24240,12c14242
210,590,041cb600,2,08834149,2842488c
210,590,041cd088,2,00e12642,28632200
210,590,041cd201,2,134004c8,23602408
210,590,041cd208,0,,
210,590,041cd280,2,02630409,23602408
210,590,041cd600,1,0802209f,
210,590,041cf001,2,0a430a88,134004c8
210,590,041cf008,1,08a206c1,
210,590,041cf080,2,02630409,23410209
210,590,041cf400,2,0a430a88,23410209
210,590,041d7400,2,03208321,32a0800a
210,590,041db080,2,11c24240,23804501
210,590,041db400,2,11c24240,2842488c
210,590,041dd008,2,08422a82,08a206c1
210,590,041dd080,2,2002221f,23602408
210,590,041e5600,1,32a0800a,
210,590,041e9600,1,32c06002,
210,590,041eb400,2,12c14242,23410209
210,590,041ed008,1,00e12642,
210,590,041ed400,2,08412a89,23410209
210,590,041f9400,1,32c06002,
210,590,0428d488,2,10452216,3ad10800
210,590,0428d608,2,23d00880,3ad10800
210,590,042ed080,2,23410209,3ad10800
210,590,04384681,2,1284812c,3304a004
210,590,04384684,2,1b021009,28438809
210,590,04384688,2,19048125,3304a004
210,590,04385604,2,2244a088,28438809
210,590,04385608,2,19048125,3304a004
210,590,04386409,1,29070a80,
210,590,04386481,1,1284812c,
210,590,04386601,1,1284812c,
210,590,04386608,2,19048125,23801083
210,590,04386c01,1,1284812c,
210,590,0438b081,2,11c24240,12c14242
210,590,0438c08a,2,1b031400,32c01c00
210,590,0438c288,2,1b031400,32c01c00
210,590,0438c488,2,10452216,23403202
210,590,0438c601,2,03423082,21443090
210,590,0438c602,2,1b021009,21443090
210,590,0438d081,2,10452216,19052208
210,590,0438d082,2,19052208,23410209
210,590,0438d084,2,19052208,23410209
210,590,0438d088,1,10452216,
210,590,0438d090,2,19052208,23410209
210,590,0438d208,1,318404c0,
210,590,0438d280,2,1204003f,1806001f
210,590,0438e088,2,1b031400,32c01c00
210,590,04396401,2,1284812c,18068a88
210,590,0439c088,2,23403202,32c01c00
210,590,0439d008,2,08422a82,318404c0
210,590,043a6401,1,1284812c,
210,590,043c4481,1,23403202,
210,590,043c4680,2,1b021009,28438809
210,590,043c5600,2,0802209f,28438809
210,590,043c6401,1,0a430a88,
210,590,043cd080,2,2002221f,23410209
210,590,04583409,2,2084c324,29070a80
210,590,04583428,2,29070a80,31250201
210,590,04583508,2,29070a80,31250201
210,590,04589089,1,32806440,
210,590,045890c1,2,19052208,31240608
210,590,045890c8,2,23804501,31250201
210,590,04589188,2,31250201,32806440
210,590,04589281,1,32806440,
210,590,04589288,2,23804501,32806440
210,590,04589481,1,19052208,
210,590,04589488,1,31250201,
210,590,04589601,2,1a262080,33046080
210,590,04589608,2,1a262080,33046080
210,590,0458b081,1,31240608,
210,590,0458b088,2,23804501,31250201
210,590,0458b201,2,13804482,318404c0
210,590,0458b401,2,28070a88,29070a80
210,590,0458b408,2,29070a80,31250201
210,590,0458d081,2,19052208,31240608
210,590,0458d088,1,31250201,
210,590,0458d208,2,1a262080,318404c0
210,590,0458d280,2,1204003f,1806001f
210,590,04599081,2,31240608,32806440
210,590,04599088,2,23804501,32806440
210,590,0459b400,2,1204003f,1806001f
210,590,045a9401,2,19052208,33046080
210,590,045a9408,2,31250201,33046080
210,590,045a9600,2,1204003f,33046080
210,590,045ab400,2,1204003f,31250201
210,590,045ad008,2,31250201,318404c0
210,590,045b9400,2,1204003f,33046080
210,590,045c1488,2,03208321,2080c127
210,590,045c1580,2,2002221f,32a0800a
210,590,045c1608,2,2080c127,22a2a080
210,590,045c3408,2,03208321,2080c127
210,590,045c3500,1,32a0800a,
210,590,045c7400,2,03208321,32a0800a
210,590,045c9081,1,32806440,
210,590,045c9088,2,23804501,32806440
210,590,045c90c0,2,2002221f,23804501
210,590,045c9180,2,2002221f,32806440
210,590,045c9201,2,13804482,32806440
210,590,045c9401,2,08222a88,088262c4
210,590,045c9404,2,08222a88,08834149
210,590,045c9408,1,088262c4,
210,590,045c9480,2,08834149,2002221f
210,590,045c9600,2,0802209f,08834149
210,590,045cb001,2,03214680,13804482
210,590,045cb080,2,08834149,23804501
210,590,045cb400,1,08834149,
210,590,045cd001,2,00a0268a,08222a88
210,590,045cd008,1,08a206c1,
210,590,045cd080,1,2002221f,
210,590,045cf000,2,08a206c1,11200c89
210,590,045e1500,2,2120a282,32a0800a
210,590,045e9080,2,23804501,32806440
210,590,045e9400,0,,
210,590,045ed000,2,00a0268a,11200c89
210,590,04782428,2,23801083,29070a80
210,590,04782508,2,23801083,29070a80
210,590,04784488,2,19048125,3304a004
210,590,04789081,2,19052208,32806440
210,590,04789088,2,23804501,32806440
210,590,0478a408,2,23801083,29070a80
210,590,0478c088,1,1b031400,
210,590,0478c408,2,23801083,29070a80
210,590,047c4401,1,1100b08c,
210,590,047c4408,2,2101b081,23801083
210,590,047c5400,2,0802209f,2002221f
210,590,048ab401,2,31504082,32710200
210,590,04983248,2,19048125,32048481
210,590,04983409,1,29070a80,
210,590,04983481,0,,
210,590,04983601,2,1224808a,2842488c
210,590,04983604,2,1224808a,28438809
210,590,04983608,1,19048125,
210,590,04983c01,1,1224808a,
210,590,04989288,2,18672040,38662000
210,590,0498b081,1,31240608,
210,590,0498b088,1,31250201,
210,590,0498b201,2,134004c8,2842488c
210,590,0498b208,0,,
210,590,04991481,2,3304a004,38662000
210,590,04991484,2,03208321,38662000
210,590,04993408,2,03208321,19048125
210,590,04999088,1,38662000,
210,590,0499b008,1,03044681,
210,590,049a3401,1,1224808a,
210,590,049a9208,2,11642081,33046080
210,590,049a9280,2,1204003f,23602408
210,590,049c1248,1,0340a484,
210,590,049c1288,2,0301ac40,2b008442
210,590,049c1481,2,23416200,28632200
210,590,049c1601,1,2842488c,
210,590,049c1602,2,2842488c,28438809
210,590,049c1604,1,28438809,
210,590,049c1608,0,,
210,590,049c1610,2,2842488c,28438809
210,590,049c1680,1,28438809,
210,590,049c1e00,1,0802209f,
210,590,049c3048,2,03208321,03214680
210,590,049c3401,2,0a430a88,2842488c
210,590,049c3408,1,03208321,
210,590,049c3600,2,2842488c,28438809
210,590,049c3c00,2,03208321,23410209
210,590,049c5600,2,0802209f,28438809
210,590,049c9088,2,23416200,28632200
210,590,049c9208,0,,
210,590,049c9280,2,02630409,23602408
210,590,049c9600,2,0802209f,2842488c
210,590,049cb008,1,03214680,
210,590,049cb080,2,02630409,23410209
210,590,049d1480,2,03208321,2002221f
210,590,049d1600,2,0802209f,2842488c
210,590,049d3400,2,03208321,2842488c
210,590,049d9008,1,08422a82,
210,590,049d9080,2,2002221f,23602408
210,590,049e1401,2,2120a282,23416200
210,590,049e1600,0,,
210,590,049e9008,2,03214680,23416200
210,590,049f1400,2,03208321,2120a282
210,590,04a8b081,2,03530408,13140c10
210,590,04b82409,2,1044d084,29070a80
210,590,04b82481,1,09425208,
210,590,04b82601,2,1044d084,2842488c
210,590,04b82608,2,1044d084,19048125
210,590,04b82c01,2,09425208,1044d084
210,590,04b89088,2,10452216,23416200
210,590,04b89208,1,33046080,
210,590,04b89280,2,1204003f,1806001f
210,590,04b8a088,2,1b031400,2b005c00
210,590,04b8a408,2,18450a81,29070a80
210,590,04ba2401,1,1044d084,
210,590,04bc2408,2,11419201,11429201
210,590,04d81481,2,19052208,3304a004
210,590,04d89081,2,19052208,31240608
210,590,04d89088,1,31250201,
210,590,04d89208,2,1a262080,33046080
210,590,04d89280,2,1204003f,1806001f
210,590,04dc10c0,2,03208321,2002221f
210,590,04dc1480,2,03208321,2002221f
210,590,04dc1600,1,0802209f,
210,590,04dc3400,1,03208321,
210,590,04dc9001,2,03214680,08222a88
210,590,04dc9008,1,03214680,
210,590,04dc9080,1,2002221f,
210,590,04dcb000,2,03214680,11200c89
210,590,04de1400,2,03208321,2120a282
210,590,04de9000,2,03214680,11200c89
210,590,04f82408,2,19048125,29070a80
210,590,05087409,2,32710200,3ad10800
210,590,05087488,2,32710200,3ad10800
210,590,0508f201,2,2a920402,3ad10800
210,590,0508f801,2,2a920402,32710200
210,590,05097408,2,22360081,2a308081
210,590,0509f001,2,08120e88,2a920402
210,590,0510360a,2,22a8c020,22cc4080
210,590,05107089,2,20898640,22088c42
210,590,0510708a,2,02008751,20898640
210,590,05107098,2,20898640,22088c42
210,590,051070c8,0,,
210,590,05107188,2,20898640,22088c42
210,590,05107288,1,22088c42,
210,590,05107409,1,284a0892,
210,590,05107488,0,,
210,590,05107608,2,284a0892,302c0083
210,590,05107888,2,02008751,20898640
210,590,05107c08,2,302c0083,302c0281
210,590,0510f081,1,088b0648,
210,590,0510f088,0,,
210,590,0510f201,1,284a0892,
210,590,0510f208,2,284a0892,302c0083
210,590,0510f801,2,088b0648,30a80680
210,590,05117088,2,02008751,22088c42
210,590,0511d081,2,284a2012,38662000
210,590,0511d082,2,02ac0409,38662000
210,590,0512f001,1,30a80680,
210,590,05145288,2,22088c42,284a2012
210,590,05145488,2,284a2012,28632200
210,590,05147408,2,282a0a81,284a0892
210,590,0514d202,2,02630409,30482881
210,590,0514d210,2,02630409,30482881
210,590,0514d280,2,02630409,284a2012
210,590,05183248,2,2080c127,32048481
210,590,05183508,2,12c14242,18450a81
210,590,05183608,1,2080c127,
210,590,05185288,2,18672040,38662000
210,590,05187088,1,02008751,
210,590,05187408,1,18450a81,
210,590,0518b048,2,18070e80,18450a81
210,590,0518b081,1,12c14242,
210,590,0518b082,2,02630409,08834149
210,590,0518b088,1,12c14242,
210,590,0518b201,2,00c045d4,2842488c
210,590,0518b204,2,02630409,08834149
210,590,0518b208,1,00c045d4,
210,590,0518b408,2,12c14242,18450a81
210,590,0518b801,2,00c045d4,12c14242
210,590,05193408,2,2080c127,2084c324
210,590,05195088,2,02008751,38662000
210,590,05199082,2,32806440,38662000
210,590,0519b001,2,00c045d4,2842488c
210,590,0519b004,1,08a206c1,
210,590,0519b008,2,00c045d4,08a206c1
210,590,0519b010,2,08a206c1,2842488c
210,590,0519b080,2,1204003f,1806001f
210,590,051a9082,1,32806440,
210,590,051a9402,2,08412a89,18450a81
210,590,051a9600,2,1204003f,32c06002
210,590,051ab001,2,00c045d4,12c14242
210,590,051ab002,2,00c045d4,18450a81
210,590,051ab004,2,12c14242,18450a81
210,590,051ab010,2,12c14242,18450a81
210,590,051ab040,2,1204003f,18450a81
210,590,051ab080,2,1204003f,12c14242
210,590,051ab200,2,00c045d4,1204003f
210,590,051ad200,1,1204003f,
210,590,051af000,2,1204003f,18450a81
210,590,051b9400,2,1204003f,32c06002
210,590,051bb000,2,00c045d4,1204003f
210,590,051bd000,2,00a0268a,1204003f
210,590,051c3048,2,02c1c300,2080c127
210,590,051c3108,2,08a206c1,12c14242
210,590,051c5208,2,024085d0,22a2a080
210,590,051cd200,2,02630409,0802209f
210,590,051eb000,2,00c045d4,12c14242
210,590,05286488,2,3a131000,3ad10800
210,590,05286c08,2,12109083,3a131000
210,590,0528c608,2,3a131000,3ad10800
210,590,053060c8,2,12cc9000,32c01c00
210,590,05306409,2,12cc9000,284a0892
210,590,05306488,1,12cc9000,
210,590,05306608,2,12cc9000,284a0892
210,590,05306c08,1,12cc9000,
210,590,05307408,2,18450a81,284a0892
210,590,0530e088,1,32c01c00,
210,590,0530e408,2,18450a81,284a0892
210,590,0530e808,2,124c1480,288216c0
210,590,05319082,2,30c86004,32806440
210,590,05326401,2,1284812c,12cc9000
210,590,05326408,2,12cc9000,18450a81
210,590,05344488,2,284a2012,2a483200
210,590,05344680,2,28438809,284a2012
210,590,05346408,2,080a9a81,284a0892
210,590,05384098,2,22059440,32c01c00
210,590,053840c8,2,10452216,32c01c00
210,590,05384488,1,10452216,
210,590,05384608,1,1241b080,
210,590,05385088,2,02008751,10452216
210,590,05386408,1,18450a81,
210,590,05389082,2,08834149,32806440
210,590,0538c088,2,10452216,32c01c00
210,590,0538c201,2,08c31c08,32c01c00
210,590,0538c202,2,08c31c08,32c01c00
210,590,0538c204,2,08c31c08,32c01c00
210,590,0538c208,1,32c01c00,
210,590,0538c210,2,08c31c08,32c01c00
210,590,053ac200,2,1204003f,32c01c00
210,590,053bc000,2,1204003f,32c01c00
210,590,053c4088,2,02008751,32c01c00
210,590,05485488,2,12342102,2210a301
210,590,05487408,2,22360081,2a308081
210,590,05505488,2,2a2ca000,328d2000
210,590,0550d081,2,088b0648,328d2000
210,590,0550d088,2,20882603,328d2000
210,590,0554d200,1,0802209f,
210,590,05581188,2,1084e204,32806440
210,590,05581288,2,2080c127,32806440
210,590,05583408,2,2080c127,2084c324
210,590,05585081,2,1284812c,32a0800a
210,590,05585088,1,02008751,
210,590,05585090,2,1284812c,32a0800a
210,590,05585408,2,1a262080,22a2a080
210,590,05589081,1,32806440,
210,590,05589082,2,08834149,32806440
210,590,05589084,2,08834149,32806440
210,590,05589088,1,32806440,
210,590,05589090,2,08834149,32806440
210,590,05589408,2,088262c4,1a262080
210,590,0558b001,2,18070e80,28070a88
210,590,0558b008,2,08a206c1,18070e80
210,590,055a9002,2,30046488,32806440
210,590,055a9008,1,32806440,
210,590,055a9080,2,1204003f,32806440
210,590,055a9400,1,1204003f,
210,590,055ab000,1,1204003f,
210,590,055ad000,2,00a0268a,1204003f
210,590,055cb000,2,08834149,08a206c1
210,590,055e9000,2,00a0268a,32806440
210,590,05706408,1,080a9a81,
210,590,0570e008,2,18070e80,288216c0
210,590,0574c200,2,0802209f,3008108d
210,590,05780608,2,2080c127,208470c0
210,590,05782408,2,2080c127,2084c324
210,590,05784081,2,1284812c,22059440
210,590,05784088,2,02008751,22059440
210,590,05784090,2,1284812c,22059440
210,590,05784201,2,1284812c,22059440
210,590,05784408,1,1004b282,
210,590,0578c008,2,18070e80,288216c0
210,590,057ac000,1,1204003f,
210,590,057c4001,1,288216c0,
210,590,057c4040,2,0802209f,2002221f
210,590,057c4400,2,0802209f,2002221f
210,590,0584b808,2,20084687,32710200
210,590,0588b208,2,12324c00,22360081
210,590,0588b801,2,18524088,32710200
210,590,0588b808,2,22360081,32710200
210,590,0589b008,2,12324c00,22360081
210,590,058ab001,2,02710e02,32710200
210,590,058bb000,2,1204003f,38140089
210,590,05903049,2,18070e80,284a0892
210,590,05903089,2,22088c42,3045c440
210,590,0590308a,2,02008751,3045c440
210,590,05903098,2,22088c42,3045c440
210,590,059030c1,1,0228832c,
210,590,059030c8,0,,
210,590,05903188,2,22088c42,3045c440
210,590,05903288,2,22088c42,3045c440
210,590,05903409,1,284a0892,
210,590,05903481,1,0228832c,
210,590,05903488,0,,
210,590,05903608,2,284a0892,302c0083
210,590,05903888,2,02008751,3045c440
210,590,05903c08,2,302c0083,302c0281
210,590,05907088,2,02008751,22088c42
210,590,0590b009,2,18070e80,284a0892
210,590,0590b081,0,,
210,590,0590b088,0,,
210,590,0590b208,2,284a0892,302c0083
210,590,0590b801,1,30284488,
210,590,05913088,2,02008751,22088c42
210,590,05919082,2,302a6200,38662000
210,590,05919090,2,302a6200,38662000
210,590,0591b080,2,1204003f,1806001f
210,590,05923401,2,0228832c,1224808a
210,590,05929081,2,10452216,30296004
210,590,05929084,2,20494209,28490a09
210,590,05929088,2,10452216,30296004
210,590,05929280,2,1204003f,30296004
210,590,0592b001,1,30284488,
210,590,05939080,1,1204003f,
210,590,05943088,2,02008751,22088c42
210,590,05943408,2,282a0a81,284a0892
210,590,05983081,2,2200cc48,3045c440
210,590,05983088,2,02008751,3045c440
210,590,05983408,1,18450a81,
210,590,0598b008,2,18070e80,18450a81
210,590,05991081,2,2200cc48,38662000
210,590,05991088,2,02008751,38662000
210,590,059a9080,2,10452216,1204003f
210,590,059a9200,2,1204003f,30046488
210,590,059ab000,2,1204003f,18450a81
210,590,059b9000,2,1204003f,30046488
210,590,059c1081,2,2200cc48,28632200
210,590,059c1088,2,02008751,28632200
210,590,059c1208,2,0200c5d0,024085d0
210,590,059e1040,2,00418a89,08412a89
210,590,059e1080,2,02008751,2200cc48
210,590,059e1400,2,00418a89,08412a89
210,590,059e9000,1,08412a89,
210,590,05a89081,1,10452216,
210,590,05a89082,2,1014240d,30160109
210,590,05a89084,1,30160109,
210,590,05a89088,1,10452216,
210,590,05a89090,2,1014240d,30160109
210,590,05a89208,1,02566080,
210,590,05ac9080,1,2002221f,
210,590,05b020c8,0,,
210,590,05b02409,2,1044d084,284a0892
210,590,05b02481,2,280a9208,32485008
210,590,05b02488,0,,
210,590,05b02c08,2,1044d084,220a5081
210,590,05b03408,2,18450a81,284a0892
210,590,05b09081,2,10452216,284a2012
210,590,05b09082,2,20494209,28490a09
210,590,05b09088,2,10452216,284a2012
210,590,05b09090,2,20494209,28490a09
210,590,05b0a081,1,32485008,
210,590,05b0a088,0,,
210,590,05b22408,2,1044d084,18450a81
210,590,05b80288,2,22059440,3045c440
210,590,05b80608,2,1044d084,1241b080
210,590,05b82408,2,1044d084,18450a81
210,590,05b88208,0,,
210,590,05b8a008,2,18070e80,18450a81
210,590,05bc0088,2,02008751,32007204
210,590,05d03088,2,02008751,22088c42
210,590,05d09081,2,30296004,302a6200
210,590,05d09082,2,30296004,302a6200
210,590,05d09084,1,302a6200,
210,590,05d09088,2,30296004,302a6200
210,590,05d09090,2,30296004,302a6200
210,590,05d0b080,2,1204003f,1806001f
210,590,05d29080,2,1204003f,30296004
210,590,05d81081,1,2200cc48,
210,590,05d81082,2,02008751,2200cc48
210,590,05d81084,2,02008751,2200cc48
210,590,05d81088,1,02008751,
210,590,05d81090,1,2200cc48,
210,590,05d81408,2,1a262080,3002e280
210,590,05d89008,2,18070e80,1a262080
210,590,05da1400,2,1204003f,1224808a
210,590,05da9000,2,1204003f,30046488
210,590,05e89008,2,18070e80,38112a80
210,590,05f01081,2,2200cc48,22088c42
210,590,05f01088,2,02008751,22088c42
210,590,05f02408,2,080a9a81,220a5081
210,590,0608f088,2,31250201,31f40000
210,590,060c5601,1,31d28000,
210,590,060cd088,2,00e12642,28632200
210,590,060cd280,2,01b00548,11300c09
210,590,060cd600,1,0802209f,
210,590,060cf400,2,18920209,19120a80
210,590,060ed400,2,08412a89,38112a80
210,590,06183241,2,2842488c,3104c408
210,590,06183601,2,11e0c040,2842488c
210,590,06185241,2,1104248c,38662000
210,590,06185601,2,18672040,38662000
210,590,06186601,2,01609124,3124100a
210,590,0618b081,2,11c24240,31240608
210,590,0618b088,2,11c24240,31250201
210,590,0618b208,2,00c045d4,318404c0
210,590,0618b280,2,08834149,1806001f
210,590,061a1601,1,11e0c040,
210,590,061a1620,2,11642081,11e0c040
210,590,061a1700,2,11642081,11e0c040
210,590,061a5600,2,11642081,19048125
210,590,061a9280,0,,
210,590,061a9401,2,10452216,19052208
210,590,061a9600,1,11642081,
210,590,061ab080,2,31240608,31250201
210,590,061ab400,2,18450a81,31250201
210,590,061b9080,1,31240608,
210,590,061b9400,1,11642081,
210,590,061c1601,2,11e0c040,2842488c
210,590,061c1608,2,11e0c040,2080c127
210,590,061c3041,2,01e1c200,2842488c
210,590,061c5201,1,01e08c40,
210,590,061c5208,1,01e08c40,
210,590,061c5600,2,0802209f,28438809
210,590,061c7001,2,01e08c40,09828640
210,590,061c7400,2,00418a89,28438809
210,590,061c90c0,2,2002221f,28632200
210,590,061c9201,2,00c045d4,2842488c
210,590,061c9208,1,00c045d4,
210,590,061c9280,1,08834149,
210,590,061cb080,2,08834149,11c24240
210,590,061cf000,2,08a206c1,11200c89
210,590,061d9080,2,11c24240,2002221f
210,590,061e1600,2,11e0c040,2080c127
210,590,061e9080,1,00e12642,
210,590,061e9200,2,00c045d4,11200c89
210,590,061e9400,1,08412a89,
210,590,0628d088,2,10452216,31142600
210,590,062cd080,2,18920209,2002221f
210,590,06305281,2,21888126,284a2012
210,590,0630c282,2,08c31c08,31081418
210,590,0630c288,2,21491402,284a2012
210,590,0630c290,2,08c31c08,21491402
210,590,0630c680,2,1806001f,284a2012
210,590,0630d280,2,1806001f,284a2012
210,590,0632c280,2,21491402,31081418
210,590,06381601,2,11c66000,2842488c
210,590,06384281,2,00c49550,08c31c08
210,590,06384288,2,00c49550,19048125
210,590,06384601,2,1100b08c,21443090
210,590,06388288,2,11c15001,11c66000
210,590,0638a088,2,11c15001,11c24240
210,590,0638c088,1,10452216,
210,590,0638c208,2,21443090,318404c0
210,590,0638c280,2,08c31c08,1806001f
210,590,063a9080,2,10452216,19052208
210,590,063c4201,2,08c31c08,1100b08c
210,590,063c4208,1,2101b081,
210,590,063e9000,2,00c045d4,08412a89
210,590,0648d088,2,31142600,31250201
210,590,064c5600,2,0802209f,2110808d
210,590,06581601,0,,
210,590,06581604,2,0184c121,08834149
210,590,06581700,2,0802209f,1806001f
210,590,06585201,2,1104248c,318404c0
210,590,06585208,2,19048125,318404c0
210,590,06589081,2,19052208,31240608
210,590,06589088,1,31250201,
210,590,06589208,2,20866480,318404c0
210,590,06589280,2,08834149,1806001f
210,590,065a9400,2,19052208,31250201
210,590,065c1201,2,11a0e400,2120c448
210,590,065c1208,2,11a0e400,2080c127
210,590,065c3001,2,09828640,2120c448
210,590,065c3400,2,08834149,2080c127
210,590,065c9080,2,08834149,2002221f
210,590,065e1400,2,2080c127,2120a282
210,590,0670c280,2,1806001f,31081418
210,590,06784088,2,09828640,19048125
210,590,06788088,2,01827220,10047205
210,590,06983208,2,19048125,3045c440
210,590,06991088,2,19048125,38662000
210,590,06993008,1,19048125,
210,590,069a1600,2,11642081,19048125
210,590,069c1081,2,2120c448,28632200
210,590,069c1088,1,28632200,
210,590,069c1201,2,2120c448,2842488c
210,590,069c1208,0,,
210,590,069c1280,2,2120c448,28438809
210,590,069c3001,2,2120c448,2842488c
210,590,069c3008,0,,
210,590,069c3080,2,2120c448,28438809
210,590,069c3800,1,2120c448,
210,590,069c9080,2,2002221f,28632200
210,590,069cb000,2,11200c89,2842488c
210,590,069d1080,2,2002221f,2120c448
210,590,069e1001,2,2120a282,2120c448
210,590,069e1008,1,2120a282,
210,590,069e1080,1,2120c448,
210,590,069e1200,2,11200c89,2120c448
210,590,069e1800,2,2120a282,2120c448
210,590,069e9000,2,08412a89,11200c89
210,590,06b81208,2,19048125,3045c440
210,590,06b88088,2,10047205,10452216
210,590,06b88208,2,11045481,21443090
210,590,06bc0208,2,2101b081,3100d440
210,590,06bc1080,2,2002221f,28438809
210,590,06be1000,2,00418a89,08412a89
210,590,06d81088,2,19048125,31250201
210,590,06d81208,1,19048125,
210,590,06dc1008,2,2120a282,3002e280
210,590,06dc1080,2,2002221f,2120c448
210,590,06dc3000,2,11200c89,2120c448
210,590,0702f080,2,2098001e,28490a09
210,590,07085608,2,18672040,38662000
210,590,07087088,2,00108576,20908525
210,590,07087408,2,10550a81,18450a81
210,590,070a5600,2,30d48008,38140089
210,590,070c5201,2,00108576,08d22480
210,590,070c5600,2,0802209f,28438809
210,590,07103481,2,10c9c200,2084c324
210,590,07103601,2,2842488c,284a0892
210,590,07103c01,2,10c9c200,2084c324
210,590,07107088,1,20898640,
210,590,07123401,2,10c9c200,2084c324
210,590,07125280,2,10448c49,10808559
210,590,0718b080,2,08834149,1806001f
210,590,071a1240,2,2080c127,30046488
210,590,071a1600,1,2080c127,
210,590,071a9080,2,00e12642,10452216
210,590,071a9200,2,00c045d4,30046488
210,590,071ab000,2,00c045d4,18450a81
210,590,071c1081,2,00e12642,28632200
210,590,071c1201,2,00c045d4,2842488c
210,590,071c1208,2,00c045d4,2080c127
210,590,071c3001,2,00c045d4,2842488c
210,590,0720e088,2,185f0200,281a0816
210,590,0728c208,2,08d22480,20903482
210,590,07304288,2,00c49550,284a2012
210,590,07306088,2,00c49550,20898640
210,590,0730a081,2,088b0648,08c31c08
210,590,0730a088,0,,
