mask_hex,rank,private_obligations,private_rows
302a6200,8,6,3
3032400a,8,1,1
3040a4c0,8,1,1
3045c440,9,3,2
30862402,8,1,1
30964400,8,1,1
30d48008,8,1,1
31081418,8,1,1
310c8003,8,2,1
31142600,8,3,2
31240608,8,1,1
31250201,8,2,1
318404c0,8,1,1
31d28000,8,2,2
31f40000,8,2,2
32140007,8,2,1
32306020,8,4,2
32806440,8,1,1
3280c108,8,1,1
32850206,9,4,4
32884202,8,2,1
32c01c00,8,2,2
32c05100,8,1,1
32e40400,8,2,1
33002206,8,2,1
3300408a,8,1,1
33046080,8,1,1
34036200,8,3,2
34485200,8,1,1
348c8004,8,2,1
34b00003,8,1,1
34c10201,8,1,1
36200428,8,1,1
38112a80,9,7,4
38408409,8,3,2
38662000,8,6,4
3882a082,9,1,1
39201280,8,2,2
39805008,8,1,1
3a131000,8,1,1
3ad10800,9,5,2
3ae00840,9,2,1
3c006208,8,2,2
