id,label,deleted,witnesses,obligations,obligation_fnv,deck_size,deck_fnv,candidates,common,common_fnv
95,greedy,26,25,360,a8b7f3ad4dba9f66,420,9fd7e0fe9f11bc7,580,384,c052a8b47dc5fbb6
96,greedy,3,5,43,f3f4707ca0148551,423,5c0cac5f5c59c99,93,62,f27cd0a0132825ef
97,greedy,4,7,77,226ed3f247190096,424,b1bb88d59fef168a,162,114,9285e0af433b1299
98,greedy,23,22,286,32a3f145ec970e9b,420,a63c9987a079d9cb,435,313,73a682ba7de1e497
99,greedy,24,23,338,ea3a8c77ea6a07bb,420,dfd2fc491a5540eb,519,388,29166b548e21c154
100,greedy,4,7,47,442a116e967dc2e5,424,335f2835c51f4ec8,134,81,11ca7a0dfc93367b
101,greedy,5,7,81,ebb97085e4fa1372,423,eaafc15a50805cc1,203,111,b58c70802ffae23f
102,greedy,24,22,294,aac858a7cc0f5453,419,79de735066b9621c,476,367,9c341b770fa64a04
103,greedy,25,24,346,95f9e381383abdb3,420,bcc8d4577796c94,560,440,6dacc9e560cbc9bf
104,greedy,4,6,61,da79e43b5f794358,423,d638a681dc520d62,131,89,654c69eb6d8c63ee
105,greedy,5,7,95,e46c5b3b52e0d4fb,423,22b15fe7743cd3b,202,162,10df0c0d99d5d163
106,greedy,24,24,330,859f29bcbce3a382,421,fecd45b2fdb14bb2,475,403,2bbe63c05f220ea
107,greedy,25,23,383,911327cc77c0426f,419,fa66cd16c4572cad,561,367,60e23152fbcfb1f5
108,greedy,5,7,65,80a1cfde9f026d0c,423,9746b972e8e27c77,172,110,cd21af9cc7056d4a
109,greedy,6,8,99,a07102fd7315a6b7,423,831626ea64870d02,243,148,e53c6aeec9201d45
110,greedy,25,24,338,5094759ae3483776,420,1500e11c9beac4e4,516,422,2de3a598eb365c56
111,greedy,26,24,391,72b6118c6f8ceb2f,419,cb30e3a8059ad1a,602,426,6a9c4e7d7530070e
112,greedy,4,6,51,a0d8a714ca23c281,423,f9a889f25fdf3e71,129,94,8f7b69b0de989e51
113,greedy,5,8,85,1164a018c4c2b282,424,217834ec6d961a9e,199,155,7e2ea85a130d215e
114,greedy,24,24,296,2dc5ed687cc1c81,421,c6b44fe20bf10524,472,332,d9cbc0565aec73b3
115,greedy,25,25,348,149573718149232d,421,3b27575d0ab2e1b8,557,387,4efb4bfc76747ad2
116,greedy,5,8,55,25b794db3a963cc1,424,2dedb9635f102a13,170,135,a683c9a3e96aa050
117,greedy,6,8,89,25c1293047e40b02,423,8f8dacfa2202edb1,240,146,be0f958c527c89ff
118,greedy,25,25,304,3ff6b4f2b17c24f1,421,6aca51bdf0e37fdf,513,390,bf55fe026d70fad
119,greedy,26,27,356,e612caf0c33eb53d,422,96b01352d29393cb,598,415,6ef2c63e7da22686
120,greedy,5,7,69,b07d1e3237fab200,423,9dd37da40c4c2686,167,123,ad7f6011a5edb150
121,greedy,6,8,103,4dc29a8739e71cf7,423,643954794a977427,239,198,a1d9bdf46422bc8f
122,greedy,25,24,340,d9063b61f7489d04,420,dd94d14e8ae20272,512,336,aa8c083b9ed8e569
123,greedy,26,26,393,ac723951287cfbf1,421,e664985147a9fa7c,599,377,d10fe0c2dea399e0
124,greedy,6,8,73,3f3dcf7b74bdfbd8,423,33623c48d7e7703d,208,143,94743cd9e1b517ff
125,greedy,7,9,107,c83307838db2cf6f,423,38a14f11108e918,280,182,ee15c6a6b80727e8
126,greedy,26,24,348,9d2e3e6e7515b188,419,d2eb4346df137c8f,553,373,66517ba49b031420
127,greedy,27,26,401,a149cb077a90ef39,420,4b85ba1506848f46,640,460,8c7b0a66f392017d
128,optimized_q258,1,1,4,62caa0b8e1f1041d,421,f598de26f1f454fb,39,33,e09d53800abc9a01
129,optimized_q366,1,1,8,e3fd616a4aa21839,421,1b2cd4f2728db49a,36,36,3d92ab45b46a72c0
130,target_206_263_s002,21,20,235,9d3ecac607ebedc9,420,7af5e8fba00c61e9,344,251,31f0d146ba604737
131,target_250_256_s010,22,21,275,f736e0cc3c1016ff,420,736207470a8cefd7,383,292,aeee05a227b4b463
132,target_256_394_s002,21,20,235,9d3ecac607ebedc9,420,410dfffaa2e31dbf,344,251,e2af8771fcf2511e
133,target_256_400_s002,21,21,235,9d3ecac607ebedc9,421,78280ad1f7d48696,344,258,67bc127f5b76bc9b
