w0,w1,w2,w3,count8,least8,count9,least9,weight
0e800203a96c0000,0006a00080485000,0000000000000000,0000000000000000,0,,1,00c32a88,24
0e80000ab84c8000,0006a000004a10c0,0000000000000000,0000000000000000,0,,1,02c2a188,24
0e800003a96c0000,0006a00060485000,0000000000000000,0000000000000000,0,,1,02432a88,24
0c023a0e00dc4c6e,0000000000000000,0000000000000000,0000000000000002,0,,1,2050a324,24
0c023a0601f84cfc,0000000000000000,0000000000000000,0000000000000000,0,,1,20d12212,24
0c023a0601f44cfa,0000000000000000,0000000000000000,0000000000000000,0,,1,20d12242,24
0c02380e00fc1c7e,0000000000000000,0000000000000000,0000000000000000,0,,1,22d0a802,24
0c02380e00de1c6f,0000000000000000,0000000000000000,0000000000000000,0,,1,22d08124,24
0c02380601fc0cfe,0000000000000000,0000000000000000,0000000000000000,0,,2,22d12202,24
0c0213aa015c74ae,0000000000000000,0000000000000000,0000000000000000,0,,1,2090212e,24
0a404408a0008000,0007cbc0001c0042,0000000000000000,0000000000000000,0,,1,02408b89,24
0a400108f0008000,000fc000033e0040,0000000000000000,0000000000000000,0,,1,0282812d,24
0381b800e8dc826e,0000000000000000,0000000000000000,0000000000000000,0,,2,2260a320,24
0380b801a9ec80f6,0000000000000000,0000000000000000,0000000000000000,0,,1,22e02282,24
0380020189e48000,0004a00180087040,0000000000000400,0000000000000000,0,,1,00e222c2,24
02811201e97c42be,0000000000000000,0000000000000000,0000000000000000,0,,1,20e1220a,24
02800201a96c8000,0006a00180085040,0000000000000400,0000000000000000,0,,1,00e2228a,24
02414000e0008200,0007c3c0003c0042,0000000000000000,0000000000000000,0,,1,02e08309,24
02414000e0000200,0007cbc0003c0002,0000000000000000,0000000000000200,0,,1,02618309,24
015dc40000000000,000fc7c000800004,0000000000000000,00000000000000c0,0,,1,02848325,24
015dc00000000000,000fcfc000800004,0000000000000000,00000000000000c0,0,,1,02248325,24
015cc40000000000,000fcfc000800004,0000000000000000,00000000000000c0,0,,1,020483a5,24
000c3a2001fc60fe,0000000000000000,0000000000000000,0000000000000002,0,,1,20b12206,24
00000207e9dc4eee,0000000000000000,0000000000000000,0000000000000000,0,,1,30c12302,24
00000206e8fc4e7e,0000000000000000,0000000000000000,0000000000000002,0,,1,30c1a202,24
00000201613c429e,0000000180204c00,0000000000000000,0000000000000500,0,,1,10e12602,24
000001eaf85cb62e,0000000000000000,0000000000000000,0000000000000000,0,,1,3200a12c,24
000001eaa86c8000,000000002d481060,0000000000000080,0000000000000000,0,,1,1202aa88,24
0000000afe5e972f,0000000000000000,0000000000000000,0000000000000000,0,,1,3240812c,24
00000007e9fc0efe,0000000000000000,0000000000000000,0000000000000000,0,,1,32c12202,24
c000380001ec00f6,0000200060007000,0000000000000000,0000000000000000,0,,1,02712a80,23
c000380000fc007e,0000200000003c00,0000000000000000,0000000000000020,0,,1,02f1a200,23
c000380000dc006e,0000200030003c00,0000000000000000,0000000000000020,0,,1,0271a300,23
c000380000dc006e,0000200000003cc0,0000000000000000,0000000000000020,0,,1,02f0a120,23
c000002001ec20f6,0000000001807044,0000000000000000,0000000000000000,0,,1,12b02282,23
c000002000dc206e,0000000001803c44,0000000000000000,0000000000000020,0,,1,12b0a300,23
c000000001fc00fe,0000000000007c40,0000000000000000,0000000000000020,0,,2,12f02202,23
c000000001dc00ee,0000000070007c00,0000000000000000,0000000000000020,0,,1,12712300,23
c000000000fc007e,0000000030003cc0,0000000000000000,0000000000000020,0,,1,1270a802,23
902c200000800040,0008040103802a5c,0000000000000000,0000000000000003,0,,1,00b08325,23
8b01a004e0800a40,0006800000282800,0000000000000000,0000000000000200,0,,1,0241a321,23
880c210c00801840,0008040003802a4c,0000000000000000,0000000000000000,0,,2,02908127,23
8301a000f0808240,00068000002a2840,0000000000000000,0000000000000000,0,,1,0260a125,23
8000010cf0809a40,0000000001aa2844,0000000000000000,0000000000000000,0,,1,1280a125,23
60001000005e002f,00002004300015c0,0000000000000000,0000000000000020,0,,1,0270812c,23
60000030005e202f,0000000003001548,0000000000000000,0000000000000020,0,,1,12b08308,23
40001200017c40be,0000200180005400,0000000000000000,0000000000000020,0,,1,00f1220a,23
40001200005c402e,00002003b00014c0,0000000000000000,0000000000000020,0,,1,0070a12c,23
40000220015c60ae,0000000181005440,0000000000000000,0000000000000020,0,,1,10b0230a,23
40000202017c44be,0000000180405400,0000000000000000,0000000000000000,0,,1,10d1220a,23
40000200017440ba,00000003f0005400,0000000000000000,0000000000000020,0,,1,10712248,23
40000200015c40ae,00000003f0005400,0000000000000000,0000000000000020,0,,1,10712308,23
400001aa006c2436,0000000025401040,0000000000000080,0000000000000000,0,,1,1210aa88,23
40000020017c20be,0000000071005400,0000000000000000,0000000000000020,0,,1,1231220a,23
40000002017c04be,0000000070405400,0000000000000000,0000000000000020,0,,1,12512a08,23
12604000a0008000,0007c3c0001c0052,0000000000000000,0000000000000000,0,,1,00e08a89,23
10000230005e0000,00083005830015c0,0000000000000000,0000000000000020,0,,1,00b2812c,23
0e800202a86c0000,0006a002a0481000,0000000000000000,0000000000000000,0,,1,0043aa88,23
0e80000aa86c8000,0006a00020481040,0000000000000000,0000000000000000,0,,1,0242aa88,23
0e800002b86c0000,0006a000204a1080,0000000000000000,0000000000000000,0,,1,0243a888,23
0c023a0600dc4c6e,0000000000000000,0000000000000000,0000000000000002,0,,1,20d1a300,23
0c02380e00fc0c7e,0000000000000000,0000000000000000,0000000000000000,0,,2,22d0a202,23
0c0213aa015c64ae,0000000000000000,0000000000000000,0000000000000000,0,,1,2090232c,23
0c0211ba005e342f,0000000000000000,0000000000000000,0000000000000000,0,,1,2290812c,23
0b5de50ce0808a40,0000000000000000,0000000000000000,0000000000000000,0,,1,22808325,23
0b1da50cf0809a40,0000000000000000,0000000000000000,0000000000000000,0,,2,2200a127,23
0a414000e0000200,0007c3c0003c0002,0000000000000000,0000000000000000,0,,1,02c18309,23
0a404408a0008000,0007c3c0001c0042,0000000000000000,0000000000000000,0,,1,02c08a89,23
0381b800e8dc026e,0000000000000000,0000000000000000,0000000000000000,0,,1,2261a300,23
0380b801a9ec00f6,0000000000000000,0000000000000000,0000000000000000,0,,1,22612282,23
03800001a9ec8000,0006a00000087040,0000000000000000,0000000000000000,0,,1,02e22282,23
03800001a9ec0000,0006a00060087000,0000000000000000,0000000000000000,0,,1,02632282,23
02911060f85ca22e,0000000000000000,0000000000000000,0000000000000000,0,,1,2220a12c,23
02811201e95cc2ae,0000000000000000,0000000000000000,0000000000000000,0,,1,20e0230a,23
02811001e97c82be,0000000000000000,0000000000000000,0000000000000000,0,,1,22e0220a,23
02800201a96c0000,0006a002e0085000,0000000000000000,0000000000000000,0,,1,00632a88,23
02800060a86c8000,0006b00021081060,0000000000000000,0000000000000000,0,,1,0222aa88,23
015dc00000000000,000fc7c000800004,0000000000000000,00000000000000c0,0,,1,02a48125,23
00010201613c429e,0002000180204400,0000000000000000,0000000000000000,0,,1,00e1260a,23
00000261e97c62be,0000000000000000,0000000000000000,0000000000000000,0,,1,30a1220a,23
00000260e8fc627e,0000000000000000,0000000000000000,0000000000000002,0,,1,30a1a202,23
00000230011c608e,0000000182004418,0000000000000000,0000000000004804,0,,1,10b0052c,23
00000207c9f44efa,0000000000000000,0000000000000000,0000000000000000,0,,1,30c12242,23
00000207a9ec4cf6,0000000000000000,0000000000000000,0000000000000002,0,,1,30c12282,23
00000201e9fcc2fe,0000000000000000,0000000000000000,0000000000000000,0,,1,30e02206,23
